reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b2,Predicting variations to missed nursing care: A three-nation comparison,Predicting Variations To Missed Nursing Care: A Three-Nation Comparison,65,10.1111/jonm.12514,https://w3id.org/oc/meta/br/061903351793,author_title
b5,Care erosion in hospitals: Problems in reflective nursing practice and the role of cognitive dissonance,Care Erosion In Hospitals: Problems In Reflective Nursing Practice And The Role Of Cognitive Dissonance,65,10.1016/j.nedt.2015.12.007,https://w3id.org/oc/meta/br/06230855151,author_title
b6,Teaching psychology to nursing students-a discussion of the potential contribution of psychology towards building resilience to lapses in compassionate caring,Teaching Psychology To Nursing Students-A Discussion Of The Potential Contribution Of Psychology Towards Building Resilience To Lapses In Compassionate Caring,65,10.1016/j.nepr.2017.06.004,https://w3id.org/oc/meta/br/06902649742,author_title
b7,N/A,A Theory Of Cognitive Dissonance,70,10.1515/9781503620766,https://w3id.org/oc/meta/br/06801697484,author_title
b8,The impact of ‘missed care’ on the professional socialisation of nursing students: A qualitative research study,The Impact Of ‘Missed Care’ On The Professional Socialisation Of Nursing Students: A Qualitative Research Study,70,10.1016/j.nedt.2018.04.002,https://w3id.org/oc/meta/br/06220856818,author_title
b12,Cultural challenges and barriers through the voices of nurses,Cultural Challenges And Barriers Through The Voices Of Nurses,65,10.1111/jocn.12500,https://w3id.org/oc/meta/br/0660997577,author_title
b13,Care and compassion: the experiences of newly qualified staff nurses,Care And Compassion: The Experiences Of Newly Qualified Staff Nurses,70,10.1111/jocn.12141,https://w3id.org/oc/meta/br/0670987631,author_title
b15,"Unfinished nursing care, missed care, and implicitly rationed care: State of the science review","Unfinished Nursing Care, Missed Care, And Implicitly Rationed Care: State Of The Science Review",70,10.1016/j.ijnurstu.2015.02.012,https://w3id.org/oc/meta/br/06160407419,author_title
b16,Recognising and responding to ‘cutting corners’ when providing nursing care: a qualitative study,Recognising And Responding To ‘Cutting Corners’ When Providing Nursing Care: A Qualitative Study,70,10.1111/jocn.13352,https://w3id.org/oc/meta/br/06501001428,author_title
b21,"Developing Tools to Promote Culturally Competent Compassion, Courage, and Intercultural Communication in Healthcare","Developing Tools To Promote Culturally Competent Compassion, Courage, And Intercultural Communication In Healthcare",70,10.1186/s40639-016-0019-6,https://w3id.org/oc/meta/br/06201085092,author_title
b22,Cross-cultural communication barriers in health care,Cross-cultural Communication Barriers In Health Care,70,10.7748/ns2013.04.27.31.35.e7040,https://w3id.org/oc/meta/br/0690758410,author_title
b23,Interventions to improve cultural competency in healthcare: a systematic review of reviews,Interventions To Improve Cultural Competency In Healthcare: A Systematic Review Of Reviews,70,10.1186/1472-6963-14-99,https://w3id.org/oc/meta/br/0650182351,author_title
