reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b3,"Red-emissive carbon dots for fluorescent, photoacoustic, and thermal theranostics in living mice","Red-Emissive Carbon Dots For Fluorescent, Photoacoustic, And Thermal Theranostics In Living Mice",70,10.1002/adma.201500323,https://w3id.org/oc/meta/br/06603017395,author_title
b4,Tumor-penetrating nanotherapeutics loading a near-infrared probe inhibit growth and metastasis of breast cancer,Tumor-Penetrating Nanotherapeutics Loading A Near-Infrared Probe Inhibit Growth And Metastasis Of Breast Cancer,70,10.1002/adfm.201500772,https://w3id.org/oc/meta/br/062502832164,author_title
b5,Degradable molybdenum oxide nanosheets with rapid clearance and efficient tumor homing capabilities as a therapeutic nanoplatform,Degradable Molybdenum Oxide Nanosheets With Rapid Clearance And Efficient Tumor Homing Capabilities As A Therapeutic Nanoplatform,65,10.1002/ange.201510597,https://w3id.org/oc/meta/br/061201438502,author_title
b7,A self-assembled albumin-based nanoprobe for in vivo ratiometric photoacoustic pH imaging,A Self-Assembled Albumin-Based Nanoprobe For In Vivo Ratiometric Photoacoustic pH Imaging,70,10.1002/adma.201503194,https://w3id.org/oc/meta/br/06603017021,author_title
b10,Copper manganese sulfide nanoplates: a new two-dimensional theranostic nanoplatform for MRI/MSOT dual-modal imaging-guided photothermal therapy in the second near-infrared window,Copper Manganese Sulfide Nanoplates: A New Two-Dimensional Theranostic Nanoplatform For MRI/MSOT Dual-Modal Imaging-Guided Photothermal Therapy In The Second Near-Infrared Window,70,10.7150/thno.21694,https://w3id.org/oc/meta/br/06103238548,author_title
b11,Nanomaterials for theranostics: recent advances and future challenges,Nanomaterials For Theranostics: Recent Advances And Future Challenges *,50,10.1201/9780429027819-16,https://w3id.org/oc/meta/br/061601958024,author_title
b13,Chemotherapeutic drug-photothermal agent co-self-assembling nanoparticles for near-infrared fluorescence and photoacoustic dual-modal imaging-guided chemo-photothermal synergistic therapy,Chemotherapeutic Drug-Photothermal Agent Co-Self-Assembling Nanoparticles For Near-Infrared Fluorescence And Photoacoustic Dual-Modal Imaging-Guided Chemo-Photothermal Synergistic Therapy,70,10.1016/j.jconrel.2017.05.011,https://w3id.org/oc/meta/br/06803278269,author_title
b14,Near-infrared laser light mediated cancer therapy by photothermal effect of Fe3O4 magnetic nanoparticles,Near-infrared Laser Light Mediated Cancer Therapy By Photothermal Effect Of Fe3O4 Magnetic Nanoparticles,70,10.1016/j.biomaterials.2013.01.086,https://w3id.org/oc/meta/br/06250558067,author_title
b15,Magnetic nanoparticle clusters for photothermal therapy with near-infrared irradiation,Magnetic Nanoparticle Clusters For Photothermal Therapy With Near-Infrared Irradiation,70,10.1016/j.biomaterials.2014.10.064,https://w3id.org/oc/meta/br/06230566578,author_title
b16,"Anisotropic gold nanoparticles: synthesis, properties, applications, and toxicity","Anisotropic Gold Nanoparticles: Synthesis, Properties, Applications, And Toxicity",70,10.1002/anie.201300441,https://w3id.org/oc/meta/br/0650100109,author_title
b18,Laser-triggered small interfering RNA releasing gold nanoshells against heat shock protein for sensitized photothermal therapy,Laser-Triggered Small Interfering RNA Releasing Gold Nanoshells Against Heat Shock Protein For Sensitized Photothermal Therapy,65,10.1002/advs.201600327,https://w3id.org/oc/meta/br/061501101306,author_title
b19,Nanoshell-mediated near-infrared thermal therapy of tumors under magnetic resonance guidance,Nanoshell-mediated Near-Infrared Thermal Therapy Of Tumors Under Magnetic Resonance Guidance,70,10.1073/pnas.2232479100,https://w3id.org/oc/meta/br/062203052672,author_title
b20,Near-infrared resonant nanoshells for combined optical imaging and photothermal cancer therapy,Near-Infrared Resonant Nanoshells For Combined Optical Imaging And Photothermal Cancer Therapy,70,10.1021/nl070610y,https://w3id.org/oc/meta/br/061801472839,author_title
b22,Advances and potential applications of chitosan derivatives as mucoadhesive biomaterials in modern drug delivery,Advances And Potential Applications Of Chitosan Derivatives As Mucoadhesive Biomaterials In Modern Drug Delivery,70,10.1211/jpp.58.8.0002,https://w3id.org/oc/meta/br/06240468411,author_title
b24,"Multidentate zwitterionic chitosan oligosaccharide modified gold nanoparticles: stability, biocompatibility and cell interactions","Multidentate Zwitterionic Chitosan Oligosaccharide Modified Gold Nanoparticles: Stability, Biocompatibility And Cell Interactions",70,10.1039/c3nr00284e,https://w3id.org/oc/meta/br/06190718122,author_title
b26,Development of biocompatible and VEGF-targeted paclitaxel nanodrugs on albumin and graphene oxide dual-carrier for photothermal-triggered drug delivery in vitro and in vivo,Development Of Biocompatible And VEGF-targeted Paclitaxel Nanodrugs On Albumin And Graphene Oxide Dual-Carrier For Photothermal-Triggered Drug Delivery In Vitro And In Vivo,70,10.2147/ijn.s150977,https://w3id.org/oc/meta/br/0620762294,author_title
b28,Co-delivery of paclitaxel and indocyanine green by PEGylated graphene oxide: a potential integrated nanoplatform for tumor theranostics,Co-delivery Of Paclitaxel And Indocyanine Green By PEGylated Graphene Oxide: A Potential Integrated Nanoplatform For Tumor Theranostics,70,10.1039/c5ra25518j,https://w3id.org/oc/meta/br/0630979494,author_title
b30,Epidermal growth factor receptor targeting in cancer: a review of trends and strategies,Epidermal Growth Factor Receptor Targeting In Cancer: A Review Of Trends And Strategies,70,10.1016/j.biomaterials.2013.07.100,https://w3id.org/oc/meta/br/06240552370,author_title
b31,EGRF conjugated PEGylated nanographene oxide for targeted chemotherapy and photothermal therapy,EGRF Conjugated PEGylated Nanographene Oxide For Targeted Chemotherapy And Photothermal Therapy,70,10.1016/j.biomaterials.2013.06.007,https://w3id.org/oc/meta/br/06240552518,author_title
b32,Cetuximab-modified mesoporous silica nano-medicine specifically targets EGFR-mutant lung cancer and overcomes drug resistance,Cetuximab-modified Mesoporous Silica Nano-Medicine Specifically Targets EGFR-mutant Lung Cancer And Overcomes Drug Resistance,70,10.1038/srep25468,https://w3id.org/oc/meta/br/06403039650,author_title
b33,Nanoengineering of optical resonances,Nanoengineering Of Optical Resonances,70,10.1016/s0009-2614(98)00277-2,https://w3id.org/oc/meta/br/0690126911,author_title
b34,Controlled growth of monodisperse silica spheres in the micron size range,Controlled Growth Of Monodisperse Silica Spheres In The Micron Size Range,70,10.1016/0021-9797(68)90272-5,https://w3id.org/oc/meta/br/06140613444,author_title
b36,Kinetics and products of the degradation of chitosan by hydrogen peroxide,Kinetics And Products Of The Degradation Of Chitosan By Hydrogen Peroxide,70,10.1021/jf001469g,https://w3id.org/oc/meta/br/0660943805,author_title
b37,Gold nanorod stabilized by thiolated chitosan as photothermal absorber for cancer cell treatment,Gold Nanorod Stabilized By Thiolated Chitosan As Photothermal Absorber For Cancer Cell Treatment,65,10.1007/s11051-010-0162-5,https://w3id.org/oc/meta/br/062402717607,author_title
b38,Development of chitosan oligosaccharide-modified gold nanorods for in vivo targeted delivery and noninvasive imaging by NIR irradiation,Development Of Chitosan Oligosaccharide-Modified Gold Nanorods For In Vivo Targeted Delivery And Noninvasive Imaging By NIR Irradiation,70,10.1021/bc3001276,https://w3id.org/oc/meta/br/0660335660,author_title
b39,Biocompatible chitosan oligosaccharide modified gold nanorods as highly effective photothermal agents for ablation of breast cancer cells,Biocompatible Chitosan Oligosaccharide Modified Gold Nanorods As Highly Effective Photothermal Agents For Ablation Of Breast Cancer Cells,70,10.3390/polym10030232,https://w3id.org/oc/meta/br/06901833985,author_title
b40,Tuning LCST with thiol-responsiveness of thermoresponsive copolymers containing pendant disulfides,Tuning LCST With Thiol-Responsiveness Of Thermoresponsive Copolymers Containing Pendant Disulfides,70,10.1039/c2cc37804c,https://w3id.org/oc/meta/br/061103093114,author_title
b41,Polymerizable disulfide paclitaxel prodrug for controlled drug delivery,Polymerizable Disulfide Paclitaxel Prodrug For Controlled Drug Delivery,70,10.1016/j.msec.2014.08.046,https://w3id.org/oc/meta/br/0610143254,author_title
b42,Well-defined polymer-drug conjugate engineered with redox and pH-sensitive release mechanism for efficient delivery of paclitaxel,Well-defined Polymer-Drug Conjugate Engineered With Redox And pH-sensitive Release Mechanism For Efficient Delivery Of Paclitaxel,70,10.1016/j.jconrel.2014.09.009,https://w3id.org/oc/meta/br/06902892538,author_title
b45,Microscale heat transfer transduced by surface plasmon resonant gold nanoparticles,Microscale Heat Transfer Transduced By Surface Plasmon Resonant Gold Nanoparticles,70,10.1021/jp064341w,https://w3id.org/oc/meta/br/06301536078,author_title
b46,Facile synthesis of biocompatible cysteine-coated CuS nanoparticles with high photothermal conversion efficiency for cancer therapy,Facile Synthesis Of Biocompatible Cysteine-Coated CuS Nanoparticles With High Photothermal Conversion Efficiency For Cancer Therapy,70,10.1039/c4dt00424h,https://w3id.org/oc/meta/br/06260451979,author_title
b51,In vivo photoacoustic monitoring using 700-nm region Raman source for targeting Prussian blue nanoparticles in mouse tumor model,In Vivo Photoacoustic Monitoring Using 700-Nm Region Raman Source For Targeting Prussian Blue Nanoparticles In Mouse Tumor Model,70,10.1038/s41598-018-20139-0,https://w3id.org/oc/meta/br/061102629378,author_title
b52,Tumor-targeted and multi-stimuli responsive drug delivery system for near-infrared light induced chemo-phototherapy and photoacoustic tomography,Tumor-targeted And Multi-Stimuli Responsive Drug Delivery System For Near-Infrared Light Induced Chemo-Phototherapy And Photoacoustic Tomography,70,10.1016/j.actbio.2016.04.024,https://w3id.org/oc/meta/br/06250580165,author_title
b53,Exceptionally high payload of doxorubicin in hollow gold nanospheres for near-infrared light-triggered drug release,Exceptionally High Payload Of Doxorubicin In Hollow Gold Nanospheres For Near-Infrared Light-Triggered Drug Release,70,10.1021/nn901181c,https://w3id.org/oc/meta/br/0690664671,author_title
b54,18F-FDG PET/CT-based early treatment response evaluation of nanoparticle-assisted photothermal cancer therapy,18F-FDG PET/CT-based Early Treatment Response Evaluation Of Nanoparticle-Assisted Photothermal Cancer Therapy,70,10.1371/journal.pone.0177997,https://w3id.org/oc/meta/br/061701521004,author_title
b56,Glycyrrhetinic acid-graft-hyaluronic acid conjugate as a carrier for synergistic targeted delivery of antitumor drugs,Glycyrrhetinic Acid-Graft-Hyaluronic Acid Conjugate As A Carrier For Synergistic Targeted Delivery Of Antitumor Drugs,70,10.1016/j.ijpharm.2012.10.030,https://w3id.org/oc/meta/br/062402826798,author_title
b60,Application of microwave superheating for the synthesis of TiO2 rods,Application Of Microwave Superheating For The Synthesis Of TiO2 Rods,70,10.1021/la7020116,https://w3id.org/oc/meta/br/062301741516,author_title
b61,Multidentate polyethylene glycol modified gold nanorods for in vivo near-infrared photothermal cancer therapy,Multidentate Polyethylene Glycol Modified Gold Nanorods For In Vivo Near-Infrared Photothermal Cancer Therapy,70,10.1021/am5001823,https://w3id.org/oc/meta/br/061902692802,author_title
b64,Copper selenide nanocrystals for photothermal therapy,Copper Selenide Nanocrystals For Photothermal Therapy,70,10.1021/nl201400z,https://w3id.org/oc/meta/br/061501477328,author_title
b66,Photothermal efficiencies of nanoshells and nanorods for clinical therapeutic applications,Photothermal Efficiencies Of Nanoshells And Nanorods For Clinical Therapeutic Applications,70,10.1021/jp9003592,https://w3id.org/oc/meta/br/062301527464,author_title
