reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Note on the radiation field of the electron,Note On The Radiation Field Of The Electron,70,10.1103/physrev.52.54,https://w3id.org/oc/meta/br/06803902921,author_title
b1,The low frequency radiation of a scattered electron,The Low Frequency Radiation Of A Scattered Electron,70,10.1103/physrev.52.59,https://w3id.org/oc/meta/br/062203487123,author_title
b4,Bremsstrahlung of very low-energy quanta in elementary particle collisions,Bremsstrahlung Of Very Low-Energy Quanta In Elementary Particle Collisions,70,10.1103/physrev.110.974,https://w3id.org/oc/meta/br/062503479579,author_title
b5,The infrared divergence phenomena and high-energy processes,The Infrared Divergence Phenomena And High-Energy Processes,70,10.1016/0003-4916(61)90151-8,https://w3id.org/oc/meta/br/06102299567,author_title
b6,Infrared photons and gravitons,Infrared Photons And Gravitons,50,10.1103/physrev.140.b516,https://w3id.org/oc/meta/br/06103920890,author_title
b9,New symmetries of massless QED,New Symmetries Of Massless QED,70,10.1007/jhep10(2014)112,https://w3id.org/oc/meta/br/06701821368,author_title
b10,A note on asymptotic symmetries and soft-photon theorem,A Note On Asymptotic Symmetries And Soft-Photon Theorem,70,10.1007/jhep02(2015)060,https://w3id.org/oc/meta/br/06701820789,author_title
b12,Asymptotic symmetries of QED and Weinberg’s soft photon theorem,Asymptotic Symmetries Of QED And Weinberg’s Soft Photon Theorem,70,10.1007/jhep07(2015)115,https://w3id.org/oc/meta/br/06601834045,author_title
b13,New symmetries of QED,New Symmetries Of QED,70,10.4310/atmp.2017.v21.n7.a7,https://w3id.org/oc/meta/br/062601268492,author_title
b14,Magnetic corrections to the soft photon theorem,Magnetic Corrections To The Soft Photon Theorem,50,10.1103/physrevlett.116.031602,https://w3id.org/oc/meta/br/06902085053,author_title
b15,Large gauge symmetries and asymptotic states in QED,Large Gauge Symmetries And Asymptotic States In QED,70,10.1007/jhep12(2016)095,https://w3id.org/oc/meta/br/06301832317,author_title
b16,BMS supertranslations and Weinberg’s soft graviton theorem,BMS Supertranslations And Weinberg’s Soft Graviton Theorem,70,10.1007/jhep05(2015)151,https://w3id.org/oc/meta/br/06601834355,author_title
b17,New symmetries for the gravitational S-matrix,New Symmetries For The Gravitational S-matrix,70,10.1007/jhep04(2015)076,https://w3id.org/oc/meta/br/06601834486,author_title
b18,Asymptotic symmetries of gravity and soft theorems for massive particles,Asymptotic Symmetries Of Gravity And Soft Theorems For Massive Particles,70,10.1007/jhep12(2015)094,https://w3id.org/oc/meta/br/06501843606,author_title
b21,Subleading soft factor for string disk amplitudes,Subleading Soft Factor For String Disk Amplitudes,70,10.1007/jhep08(2014)062,https://w3id.org/oc/meta/br/06801833302,author_title
b22,Next to subleading soft-graviton theorem in arbitrary dimensions,Next To Subleading Soft-Graviton Theorem In Arbitrary Dimensions,70,10.1007/jhep01(2015)107,https://w3id.org/oc/meta/br/06701820918,author_title
b25,Subleading soft graviton theorem for loop amplitudes,Subleading Soft Graviton Theorem For Loop Amplitudes,70,10.1007/jhep11(2017)123,https://w3id.org/oc/meta/br/06101849305,author_title
b26,Asymptotic symmetries and subleading soft photon theorem in effective field theories,Asymptotic Symmetries And Subleading Soft Photon Theorem In Effective Field Theories,70,10.1007/jhep05(2018)132,https://w3id.org/oc/meta/br/06801832272,author_title
b27,Conservation laws from asymptotic symmetry and subleading charges in QED,Conservation Laws From Asymptotic Symmetry And Subleading Charges In QED,70,10.1007/jhep07(2018)122,https://w3id.org/oc/meta/br/06701820506,author_title
b30,Asymptotic symmetries and subleading soft graviton theorem,Asymptotic Symmetries And Subleading Soft Graviton Theorem,70,10.1103/physrevd.90.124028,https://w3id.org/oc/meta/br/062301428116,author_title
b31,Low’s subleading soft theorem as a symmetry of QED,Low’s Subleading Soft Theorem As A Symmetry Of QED,70,10.1103/physrevlett.113.111601,https://w3id.org/oc/meta/br/061302056578,author_title
b32,Sub-subleading soft gravitons: new symmetries of quantum gravity?,Sub-subleading Soft Gravitons: New Symmetries Of Quantum Gravity?,70,10.1016/j.physletb.2016.11.046,https://w3id.org/oc/meta/br/06802828469,author_title
b33,Subleading soft photons and large gauge transformations,Subleading Soft Photons And Large Gauge Transformations,70,10.1007/jhep11(2016)012,https://w3id.org/oc/meta/br/06301832560,author_title
b34,Remarks on asymptotic symmetries and the subleading soft photon theorem,Remarks On Asymptotic Symmetries And The Subleading Soft Photon Theorem,70,10.1103/physrevd.95.021701,https://w3id.org/oc/meta/br/06250563902,author_title
b35,Sub-subleading soft gravitons and large diffeomorphisms,Sub-subleading Soft Gravitons And Large Diffeomorphisms,70,10.1007/jhep01(2017)036,https://w3id.org/oc/meta/br/06301832203,author_title
b36,BMS supertranslations and not so soft gravitons,BMS Supertranslations And Not So Soft Gravitons,70,10.1007/jhep05(2017)060,https://w3id.org/oc/meta/br/06201833594,author_title
b37,Sub-subleading soft graviton theorem in generic theories of quantum gravity,Sub-subleading Soft Graviton Theorem In Generic Theories Of Quantum Gravity,70,10.1007/jhep10(2017)065,https://w3id.org/oc/meta/br/06101849557,author_title
b38,Subleading soft theorem in arbitrary dimensions from scattering equations,Subleading Soft Theorem In Arbitrary Dimensions From Scattering Equations,70,10.1103/physrevlett.113.101601,https://w3id.org/oc/meta/br/061302056638,author_title
b39,Asymptotic symmetries of massless QED in even dimensions,Asymptotic Symmetries Of Massless QED In Even Dimensions,70,10.4310/atmp.2017.v21.n7.a6,https://w3id.org/oc/meta/br/062601268493,author_title
b41,Gravitational-wave bursts with memory: the Christodoulou effect,Gravitational-wave Bursts With Memory: The Christodoulou Effect,70,10.1103/physrevd.45.520,https://w3id.org/oc/meta/br/062301730231,author_title
b42,"Gravitational memory, BMS supertranslations and soft theorems","Gravitational Memory, BMS Supertranslations And Soft Theorems",70,10.1007/jhep01(2016)086,https://w3id.org/oc/meta/br/06501843446,author_title
b43,Asymptotic symmetries and electromagnetic memory,Asymptotic Symmetries And Electromagnetic Memory,70,10.1007/jhep09(2017)154,https://w3id.org/oc/meta/br/06101849634,author_title
