reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,A neural link between affective understanding and interpersonal attraction,A Neural Link Between Affective Understanding And Interpersonal Attraction,70,10.1073/pnas.1516191113,https://w3id.org/oc/meta/br/061503057610,author_title
b2,N/A,Mindblindness,70,10.7551/mitpress/4635.001.0001,https://w3id.org/oc/meta/br/06102549892,author_title
b5,Interaction takes two: Typical adults exhibit mind-blindness towards those with autism spectrum disorder,Interaction Takes Two: Typical Adults Exhibit Mind-Blindness Towards Those With Autism Spectrum Disorder.,70,10.1037/abn0000199,https://w3id.org/oc/meta/br/062201468585,author_title
b6,Evaluating Posed and Evoked Facial Expressions of Emotion from Adults with Autism Spectrum Disorder,Evaluating Posed And Evoked Facial Expressions Of Emotion From Adults With Autism Spectrum Disorder,65,10.1007/s10803-014-2194-7,https://w3id.org/oc/meta/br/06120579877,author_title
b7,Mirror neurons and the simulation theory of mind-reading,Mirror Neurons And The Simulation Theory Of Mind-Reading.,70,10.1016/s1364-6613(98)01262-5,https://w3id.org/oc/meta/br/06110221334,author_title
b8,Emotional Facial and Vocal Expressions During Story Retelling by Children and Adolescents With High-Functioning Autism,Emotional Facial And Vocal Expressions During Story Retelling By Children And Adolescents With High-Functioning Autism.,70,10.1044/1092-4388(2012/12-0067),https://w3id.org/oc/meta/br/062202773619,author_title
b9,An Experimental Study of Apparent Behavior,An Experimental Study Of Apparent Behavior,70,10.2307/1416950,https://w3id.org/oc/meta/br/061302194471,author_title
b10,Development itself is the key to understanding developmental disorders,Development Itself Is The Key To Understanding Developmental Disorders.,70,10.1016/s1364-6613(98)01230-3,https://w3id.org/oc/meta/br/06110221092,author_title
b11,Beyond Modularisation: The Need of a Socio-Neuro-Constructionist Model of Autism,Beyond Modularisation: The Need Of A Socio-Neuro-Constructionist Model Of Autism,50,10.1007/s10803-013-1966-9,https://w3id.org/oc/meta/br/06120580082,author_title
b12,Recognition and Expression of Emotional Cues by Autistic and Normal Adults,Recognition And Expression Of Emotional Cues By Autistic And Normal Adults,70,10.1111/j.1469-7610.1989.tb00288.x,https://w3id.org/oc/meta/br/0660948571,author_title
b13,On the ontological status of autism: the ‘double empathy problem’,On The Ontological Status Of Autism: The ‘Double Empathy Problem’,70,10.1080/09687599.2012.710008,https://w3id.org/oc/meta/br/06250730058,author_title
b15,PsychoPy—Psychophysics software in Python,PsychoPy—Psychophysics Software In Python,70,10.1016/j.jneumeth.2006.11.017,https://w3id.org/oc/meta/br/0630463067,author_title
b16,Can People Guess What Happened to Others from Their Reactions?,Can People Guess What Happened To Others From Their Reactions?,70,10.1371/journal.pone.0049859,https://w3id.org/oc/meta/br/062401503459,author_title
b17,Using Other Minds as a Window Onto the World: Guessing What Happened from Clues in Behaviour,Using Other Minds As A Window Onto The World: Guessing What Happened From Clues In Behaviour,70,10.1007/s10803-014-2106-x,https://w3id.org/oc/meta/br/06120579955,author_title
b19,Intact imitation of emotional facial actions in autism spectrum conditions,Intact Imitation Of Emotional Facial Actions In Autism Spectrum Conditions,70,10.1016/j.neuropsychologia.2010.07.012,https://w3id.org/oc/meta/br/061402105157,author_title
b20,Neurotypical Peers are Less Willing to Interact with Those with Autism based on Thin Slice Judgments,Neurotypical Peers Are Less Willing To Interact With Those With Autism Based On Thin Slice Judgments,70,10.1038/srep40700,https://w3id.org/oc/meta/br/061302609529,author_title
b21,First impressions of adults with autism improve with diagnostic disclosure and increased autism knowledge of peers,First Impressions Of Adults With Autism Improve With Diagnostic Disclosure And Increased Autism Knowledge Of Peers,70,10.1177/1362361317729526,https://w3id.org/oc/meta/br/061101187868,author_title
b23,Does facial expressivity count? How typically developing children respond initially to children with autism,Does Facial Expressivity Count? How Typically Developing Children Respond Initially To Children With Autism,65,10.1177/1362361313492392,https://w3id.org/oc/meta/br/061901194133,author_title
b24,Seeing the world through others’ minds: Inferring social context from behaviour,Seeing The World Through Others’ Minds: Inferring Social Context From Behaviour,70,10.1016/j.cognition.2016.11.003,https://w3id.org/oc/meta/br/06250486294,author_title
b25,"Man, I feel like a woman: When and how gender-role motivation helps mind-reading","Man, I Feel Like A Woman: When And How Gender-Role Motivation Helps Mind-Reading.",70,10.1037/a0013067,https://w3id.org/oc/meta/br/0632038598,author_title
b26,Facial Encoding of Children with High-Functioning Autism Spectrum Disorders,Facial Encoding Of Children With High-Functioning Autism Spectrum Disorders,70,10.1177/1088357609347325,https://w3id.org/oc/meta/br/061802701548,author_title
