Type,Reference ID,DOI,File
Missed Matches:
missed,b25,10.1016/j.applanim.2007.03.015,AGR-BIO-SCI_1
missed,b27,10.18174/402122,AGR-BIO-SCI_1
missed,b33,10.3168/jds.s0022-0302(02)74057-5,AGR-BIO-SCI_1
missed,b28,10.3168/jds.s0022-0302(02)74058-7,AGR-BIO-SCI_1
missed,b8,10.3168/jds.2012-6129,AGR-BIO-SCI_1
missed,b27,10.1016/j.lfs.2018.04.049,AGR-BIO-SCI_2
missed,b26,10.1155/2014/843908,AGR-BIO-SCI_2
missed,b21,10.1016/j.foodchem.2017.11.013,AGR-BIO-SCI_2
missed,b36,10.1111/oik.02788,AGR-BIO-SCI_3
missed,b47,10.1111/1365-2656.12218,AGR-BIO-SCI_3
missed,b24,10.1111/j.1463-6409.1990.tb00255.x,AGR-BIO-SCI_3
missed,b33,10.1111/j.1365-2656.2008.01462.x,AGR-BIO-SCI_3
missed,b4,10.1890/03-9000,AGR-BIO-SCI_3
missed,b8,10.1016/j.soilbio.2014.05.009,AGR-BIO-SCI_3
missed,b23,10.2307/3235676,AGR-BIO-SCI_3
missed,b3,10.1111/1365-2435.12943,AGR-BIO-SCI_3
missed,b40,10.1016/j.baae.2014.03.007,AGR-BIO-SCI_3
missed,b50,10.1111/j.1469-7998.2009.00628.x,AGR-BIO-SCI_3
missed,b43,10.2307/1942161,AGR-BIO-SCI_3
missed,b15,10.1603/0046-225x-33.5.1282,AGR-BIO-SCI_3
missed,b1,10.2307/1313226,AGR-BIO-SCI_3
missed,b46,10.1111/j.1095-8312.1979.tb00063.x,AGR-BIO-SCI_3
missed,b38,10.1007/s004420100720,AGR-BIO-SCI_3
missed,b53,10.1111/ele.12865,AGR-BIO-SCI_3
missed,b20,10.1007/s00442-012-2290-3,AGR-BIO-SCI_3
missed,b2,10.1111/1365-2656.12834,AGR-BIO-SCI_3
missed,b30,10.1111/j.1461-0248.2012.01826.x,AGR-BIO-SCI_3
missed,b25,10.1111/oik.04712,AGR-BIO-SCI_3
missed,b49,10.1086/303208,AGR-BIO-SCI_3
missed,b16,10.1111/1365-2664.12530,AGR-BIO-SCI_3
missed,b42,10.1111/1365-2745.12211,AGR-BIO-SCI_3
missed,b31,10.1111/j.1365-2745.2004.00838.x,AGR-BIO-SCI_3
missed,b32,10.1890/12-1936.1,AGR-BIO-SCI_3
missed,b6,10.1139/x00-014,AGR-BIO-SCI_3
missed,b44,10.12688/f1000research.11813.1,AGR-BIO-SCI_3
missed,b0,10.1111/1365-2435.12666,AGR-BIO-SCI_3
missed,b29,10.1016/b978-0-444-53868-0.50018-6,AGR-BIO-SCI_3
missed,b21,10.1111/1365-2435.12058,AGR-BIO-SCI_3
