reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Single-step reagentless laser scribing fabrication of electrochemical paper-based analytical devices,Single-Step Reagentless Laser Scribing Fabrication Of Electrochemical Paper-Based Analytical Devices,70,10.1002/anie.201708527,https://w3id.org/oc/meta/br/06190107493,year_and_doi
ref_2,Electrochemical detection for paper-based microfluidics,Electrochemical Detection For Paper-Based Microfluidics,70,10.1021/ac9007573,https://w3id.org/oc/meta/br/06801001071,year_and_doi
ref_3,Paper-based maskless enzymatic sensor for glucose determination combining ink and wire electrodes,Paper-based Maskless Enzymatic Sensor For Glucose Determination Combining Ink And Wire Electrodes,70,10.1016/j.bios.2016.11.008,https://w3id.org/oc/meta/br/0644045184,year_and_doi
ref_4,A paper-based electrochemical sensor using inkjet-printed carbon nanotube electrodes,A Paper-Based Electrochemical Sensor Using Inkjet-Printed Carbon Nanotube Electrodes,70,10.1149/2.0121510jss,https://w3id.org/oc/meta/br/061502448100,year_and_doi
ref_5,"Wire, mesh, and fiber electrodes for paper-based electroanalytical devices","Wire, Mesh, And Fiber Electrodes For Paper-Based Electroanalytical Devices",70,10.1021/ac5004294,https://w3id.org/oc/meta/br/06240971528,year_and_doi
ref_6,"Thin, lightweight, foldable thermochromic displays on paper","Thin, Lightweight, Foldable Thermochromic Displays On Paper",70,10.1039/b905832j,https://w3id.org/oc/meta/br/06140180362,year_and_doi
ref_48,Electrochemical sensing of ecstasy with electropolymerized molecularly imprinted poly(o-phenylenediamine) polymer on the surface of disposable screen-printed carbon electrodes,Electrochemical Sensing Of Ecstasy With Electropolymerized Molecularly Imprinted Poly(O-Phenylenediamine) Polymer On The Surface Of Disposable Screen-Printed Carbon Electrodes,70,10.1016/j.snb.2019.03.138,https://w3id.org/oc/meta/br/0620841236,year_and_doi
ref_49,Electrochemical sensing of the thyroid hormone thyronamine (T0AM) via molecular imprinted polymers (MIPs),Electrochemical Sensing Of The Thyroid Hormone Thyronamine (T0AM) Via Molecular Imprinted Polymers (MIPs),70,10.1016/j.talanta.2018.10.090,https://w3id.org/oc/meta/br/061601128804,year_and_doi
ref_50,MIP sensors – the electrochemical approach,MIP Sensors – The Electrochemical Approach,65,10.1007/s00216-011-5405-5,https://w3id.org/oc/meta/br/06120600100,year_and_doi
ref_51,"Recent advances in biological sample preparation methods coupled with chromatography, spectrometry and electrochemistry analysis techniques","Recent Advances In Biological Sample Preparation Methods Coupled With Chromatography, Spectrometry And Electrochemistry Analysis Techniques",70,10.1016/j.trac.2018.02.005,https://w3id.org/oc/meta/br/06202765608,year_and_doi
ref_52,Recent advances in membrane-aided extraction and separation for analytical purposes,Recent Advances In Membrane-Aided Extraction And Separation For Analytical Purposes,65,10.1080/15422119.2016.1235050,https://w3id.org/oc/meta/br/06301157952,year_and_doi
ref_53,Gas-diffusion microextraction,Gas-diffusion Microextraction,70,10.1002/jssc.201000351,https://w3id.org/oc/meta/br/06240958203,year_and_doi
ref_54,Analysis of aldehydes in beer by gas-diffusion microextraction: characterization by high-performance liquid chromatography–diode-array detection–atmospheric pressure chemical ionization–mass spectrometry,Analysis Of Aldehydes In Beer By Gas-Diffusion Microextraction: Characterization By High-Performance Liquid Chromatography–Diode-Array Detection–Atmospheric Pressure Chemical Ionization–Mass Spectrometry,70,10.1016/j.chroma.2010.04.002,https://w3id.org/oc/meta/br/06130605542,year_and_doi
ref_55,Application of gas-diffusion microextraction to solid samples using the chromatographic determination of α-diketones in bread as a case study,Application Of Gas-Diffusion Microextraction To Solid Samples Using The Chromatographic Determination Of Α-Diketones In Bread As A Case Study,70,10.1039/c5an00196j,https://w3id.org/oc/meta/br/06103207365,year_and_doi
ref_56,Application of gas-diffusion microextraction to the analysis of free and bound acetaldehyde in wines by HPLC-UV and characterization of the extracted compounds by MS/MS detection,Application Of Gas-Diffusion Microextraction To The Analysis Of Free And Bound Acetaldehyde In Wines By HPLC–UV And Characterization Of The Extracted Compounds By MS/MS Detection,65,10.1007/s00216-011-5664-1,https://w3id.org/oc/meta/br/06120599899,year_and_doi
ref_57,"Die schweflige Säure im Weine und deren Bestimmung. (Mitteilungen aus Schmitt’s Laboratorium, [Untersuchungs- Amt, chemische Versuchsstation und hygienisches Institut] zu Wiesbaden.)","Die Schweflige Säure Im Weine Und Deren Bestimmung. (Mitteilungen Aus Schmitt's Laboratorium, [Untersuchungs- Amt, Chemische Versuchsstation Und Hygienisches Institut] Zu Wiesbaden.)",70,10.1002/prac.18920460131,https://w3id.org/oc/meta/br/061802186615,year_and_doi
ref_59,The electrochemical reaction of sulphur—oxygen compounds—part I. A review of literature on the electrochemical properties of sulphur/sulphur—oxygen compounds,The Electrochemical Reaction Of Sulphur—Oxygen Compounds—Part I. A Review Of Literature On The Electrochemical Properties Of Sulphur/Sulphur—Oxygen Compounds,70,10.1016/0013-4686(92)85206-z,https://w3id.org/oc/meta/br/061801946469,year_and_doi
ref_60,Measurement of sheet resistivities with the four-point probe,Measurement Of Sheet Resistivities With The Four-Point Probe,70,10.1002/j.1538-7305.1958.tb03883.x,https://w3id.org/oc/meta/br/062502684105,year_and_doi
ref_61,The geometric resistivity correction factor for several geometrical samples,The Geometric Resistivity Correction Factor For Several Geometrical Samples,70,10.1088/1674-4926/36/8/082001,https://w3id.org/oc/meta/br/06120654733,year_and_doi
ref_62,The sheet resistance of graphene under contact and its effect on the derived specific contact resistivity,The Sheet Resistance Of Graphene Under Contact And Its Effect On The Derived Specific Contact Resistivity,70,10.1016/j.carbon.2014.11.001,https://w3id.org/oc/meta/br/062501377364,year_and_doi
