reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,The theory of planned behavior,The Theory Of Planned Behavior,70,10.1016/0749-5978(91)90020-t,https://w3id.org/oc/meta/br/0643030347,year_and_doi
ref_3,"Prediction of goal-directed behavior: Attitudes, intentions, and perceived behavioral control","Prediction Of Goal-Directed Behavior: Attitudes, Intentions, And Perceived Behavioral Control",70,10.1016/0022-1031(86)90045-4,https://w3id.org/oc/meta/br/062301168404,year_and_doi
ref_4,The social influence of brand community: Evidence from European car clubs,The Social Influence Of Brand Community: Evidence From European Car Clubs,70,10.1509/jmkg.69.3.19.66363,https://w3id.org/oc/meta/br/061303309641,year_and_doi
ref_5,Efficacy of the theory of planned behaviour: A meta-analytic review,Efficacy Of The Theory Of Planned Behaviour: A Meta-Analytic Review,70,10.1348/014466601164939,https://w3id.org/oc/meta/br/062301203575,year_and_doi
ref_6,On the evaluation of structural equation models,On The Evaluation Of Structural Equation Models,70,10.1007/bf02723327,https://w3id.org/oc/meta/br/061601202156,year_and_doi
ref_7,A comparison of leading theories for the prediction of goal-directed behaviours,A Comparison Of Leading Theories For The Prediction Of Goal-Directed Behaviours,70,10.1111/j.2044-8309.1995.tb01076.x,https://w3id.org/oc/meta/br/061401178858,year_and_doi
ref_8,Predicting adolescents' use of social networking sites from an extended theory of planned behaviour perspective,Predicting Adolescents’ Use Of Social Networking Sites From An Extended Theory Of Planned Behaviour Perspective,70,10.1016/j.chb.2010.06.006,https://w3id.org/oc/meta/br/06170109042,year_and_doi
ref_9,Self-efficacy mechanism in human agency,Self-efficacy Mechanism In Human Agency.,70,10.1037/0003-066x.37.2.122,https://w3id.org/oc/meta/br/06901449895,year_and_doi
ref_11,Strategic self-presentation on Facebook: Personal motives and audience response to online behavior,Strategic Self-Presentation On Facebook: Personal Motives And Audience Response To Online Behavior,70,10.1016/j.chb.2015.10.033,https://w3id.org/oc/meta/br/06150110009,year_and_doi
ref_12,Crowdfunding: Tapping the right crowd,Crowdfunding: Tapping The Right Crowd,70,10.1016/j.jbusvent.2013.07.003,https://w3id.org/oc/meta/br/06120425546,year_and_doi
ref_13,Comparative fit indexes in structural models,Comparative Fit Indexes In Structural Models.,70,10.1037/0033-2909.107.2.238,https://w3id.org/oc/meta/br/06801481844,year_and_doi
ref_14,Significance tests and goodness of fit in the analysis of covariance structures,Significance Tests And Goodness Of Fit In The Analysis Of Covariance Structures.,70,10.1037/0033-2909.88.3.588,https://w3id.org/oc/meta/br/062601499119,year_and_doi
ref_15,Producing a worthy illness: Personal crowdfunding amidst financial crisis,Producing A Worthy Illness: Personal Crowdfunding Amidst Financial Crisis,70,10.1016/j.socscimed.2017.02.008,https://w3id.org/oc/meta/br/0610742287,year_and_doi
ref_16,The influence of online information on investing decisions of reward-based crowdfunding,The Influence Of Online Information On Investing Decisions Of Reward-Based Crowdfunding,70,10.1016/j.jbusres.2016.10.001,https://w3id.org/oc/meta/br/0680292627,year_and_doi
ref_17,Tests for structural equation models: Introduction,Tests For Structural Equation Models,70,10.1177/0049124192021002001,https://w3id.org/oc/meta/br/06503510643,year_and_doi
ref_18,"From friendfunding to crowdfunding: Relevance of relationships, social media, and platform activities to crowdfunding performance","From Friendfunding To Crowdfunding: Relevance Of Relationships, Social Media, And Platform Activities To Crowdfunding Performance",70,10.1177/1461444817694599,https://w3id.org/oc/meta/br/06601192314,author_title
ref_19,Not just an ego-trip: Exploring backers' motivation for funding in incentive-based crowdfunding,Not Just An Ego-Trip: Exploring Backers’ Motivation For Funding In Incentive-Based Crowdfunding,70,10.1016/j.jsis.2017.02.002,https://w3id.org/oc/meta/br/061501017858,year_and_doi
ref_20,An empirical examination of the antecedents and consequences of contribution patterns in crowd-funded markets,An Empirical Examination Of The Antecedents And Consequences Of Contribution Patterns In Crowd-Funded Markets,70,10.1287/isre.1120.0468,https://w3id.org/oc/meta/br/062401013572,year_and_doi
