reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_3,J. Am. Chem. Soc.,"Multi-Emissive Difluoroboron Dibenzoylmethane Polylactide Exhibiting Intense Fluorescence And Oxygen-Sensitive Room-Temperature Phosphorescence [J. Am. Chem. Soc. 2007, 129, 8942−8943].",50,10.1021/ja079953o,https://w3id.org/oc/meta/br/06401551801,author_title
ref_7,J. Am. Chem. Soc.,"A Ferroelectrically Switchable Columnar Liquid Crystal Phase With Achiral Molecules: Superstructures And Properties Of Liquid Crystalline Ureas [J. Am. Chem. Soc. 2005, 127, 2565−2571].",50,10.1021/ja0564867,https://w3id.org/oc/meta/br/061301531970,author_title
ref_9,J. Am. Chem. Soc.,"Ruthenium-Catalyzed Intramolecular [5 + 2] Cycloadditions. [J. Am. Chem. Soc. 2000, 122, 2379].",50,10.1021/ja0046517,https://w3id.org/oc/meta/br/062401512956,author_title
ref_10,Tetrahedron Lett.,Corrigendum To “Dentigerumycin F And G: Dynamic Structures Retrieved Through A Genome-Mining/Nitrogen NMR Methodology” [Tetrahedron Lett. 94C (2022) 153688],50,10.1016/j.tetlet.2022.154030,https://w3id.org/oc/meta/br/06110717267,author_title
ref_18,J. Am. Chem. Soc.,"Simple And Effective 3D Recognition Of Domoic Acid Using A Molecularly Imprinted Polymer [J. Am. Chem. Soc. 2007, 129, 13626−13632].",50,10.1021/ja7106788,https://w3id.org/oc/meta/br/06401551649,author_title
ref_20,J. Am. Chem. Soc.,"Multi-Emissive Difluoroboron Dibenzoylmethane Polylactide Exhibiting Intense Fluorescence And Oxygen-Sensitive Room-Temperature Phosphorescence [J. Am. Chem. Soc. 2007, 129, 8942−8943].",50,10.1021/ja079953o,https://w3id.org/oc/meta/br/06401551801,author_title
ref_21,J. Am. Chem. Soc.,"Characterization Of The FKBP·Rapamycin·FRB Ternary Complex [J. Am. Chem. Soc. 2005, 127, 4715−4721].",50,10.1021/ja0699788,https://w3id.org/oc/meta/br/06901555032,author_title
ref_22,Chem. Commun.,Corrigendum To “Cycling Performance And Efficiency Of Sulfonated Poly(Sulfone) Membranes In Vanadium Redox Flow Batteries” [Electrochem. Commun. 12 (11) (2010) 1650–1653],50,10.1016/j.elecom.2011.04.001,https://w3id.org/oc/meta/br/061702731861,author_title
ref_24,Adv. Mater.,Bulk Metallic Glasses With Functional Physical Properties (Adv. Mater. 45/2009),70,10.1002/adma.200990169,https://w3id.org/oc/meta/br/061302595667,author_title
ref_25,Adv. Mater.,Bulk Heterojunction Solar Cells With Large Open-Circuit Voltage: Electron Transfer With Small Donor-Acceptor Energy Offset (Adv. Mater. 20/2011),70,10.1002/adma.201190074,https://w3id.org/oc/meta/br/061202599065,author_title
ref_28,Tetrahedron,A DNA Tetrahedron Nanoprobe With Controlled Distance Of Dyes For Multiple Detection In Living Cells And In Vivo,50,10.1021/acs.analchem.7b00889,https://w3id.org/oc/meta/br/06170997001,author_title
ref_31,J. Org. Chem.,Cover Picture: Visible-Light-Harvesting Triphenylamine Ethynyl C60-BODIPY Dyads As Heavy-Atom-Free Organic Triplet Photosensitizers For Triplet-Triplet Annihilation Upconversion (Asian J. Org. Chem. 3/2012),70,10.1002/ajoc.201290008,https://w3id.org/oc/meta/br/062202639791,author_title
ref_38,Macromolecules,Right- / Left-Circular Orientation Of Biological Macromolecules Under Magnetic Field Gradient,50,10.1107/s002188980300058x,https://w3id.org/oc/meta/br/0651055469,author_title
ref_39,Macromolecules,Hydrazide Derivatives Of Luminol For Chemiluminescence-Labelling Of Macromolecules,65,10.1248/cpb.c19-00126,https://w3id.org/oc/meta/br/062301386802,author_title
ref_41,J. Am. Chem. Soc.,"Characterization Of The FKBP·Rapamycin·FRB Ternary Complex [J. Am. Chem. Soc. 2005, 127, 4715−4721].",50,10.1021/ja0699788,https://w3id.org/oc/meta/br/06901555032,author_title
ref_45,Chem. Commun.,Corrigendum To “Cycling Performance And Efficiency Of Sulfonated Poly(Sulfone) Membranes In Vanadium Redox Flow Batteries” [Electrochem. Commun. 12 (11) (2010) 1650–1653],50,10.1016/j.elecom.2011.04.001,https://w3id.org/oc/meta/br/061702731861,author_title
ref_46,J. Am. Chem. Soc.,"Multi-Emissive Difluoroboron Dibenzoylmethane Polylactide Exhibiting Intense Fluorescence And Oxygen-Sensitive Room-Temperature Phosphorescence [J. Am. Chem. Soc. 2007, 129, 8942−8943].",50,10.1021/ja079953o,https://w3id.org/oc/meta/br/06401551801,author_title
