reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_3,Mining frequent patterns without candidate generation,Mining Frequent Patterns Without Candidate Generation,70,10.1145/335191.335372,https://w3id.org/oc/meta/br/06240889325,year_author_page
ref_4,A frequent itemset mining algorithm based on the principle of inclusion–exclusion and transaction mapping,A Frequent Itemset Mining Algorithm Based On The Principle Of Inclusion–Exclusion And Transaction Mapping,70,10.1016/j.ins.2014.02.060,https://w3id.org/oc/meta/br/061802106855,year_and_doi
ref_8,Efficient single-pass frequent pattern mining using a prefix-tree,Efficient Single-Pass Frequent Pattern Mining Using A Prefix-Tree,70,10.1016/j.ins.2008.10.027,https://w3id.org/oc/meta/br/062102103757,year_and_doi
ref_9,Mining frequent patterns from microarray data,Mining Frequent Patterns From Microarray Data,70,10.1109/hibit.2011.6450819,https://w3id.org/oc/meta/br/06703357378,author_title
ref_10,Index-bittablefi: An improved algorithm for mining frequent itemsets,Index-BitTableFI: An Improved Algorithm For Mining Frequent Itemsets,70,10.1016/j.knosys.2008.03.011,https://w3id.org/oc/meta/br/062303121336,year_and_doi
ref_11,Frequent pattern mining on message passing multiprocessor systems,Frequent Pattern Mining On Message Passing Multiprocessor Systems,70,10.1023/b:dapd.0000031634.19130.bd,https://w3id.org/oc/meta/br/061101023920,year_and_doi
ref_12,A novel parallel algorithm for frequent pattern mining with privacy preserved in cloud computing environments,A Novel Parallel Algorithm For Frequent Pattern Mining With Privacy Preserved In Cloud Computing Environments,70,10.1504/ijahuc.2010.035533,https://w3id.org/oc/meta/br/06150857445,year_and_doi
ref_13,Parallel tid-based frequent pattern mining algorithm on a pc cluster and grid computing system,Parallel TID-based Frequent Pattern Mining Algorithm On A PC Cluster And Grid Computing System,70,10.1016/j.eswa.2009.07.072,https://w3id.org/oc/meta/br/06190660631,year_and_doi
ref_14,Balanced tidset-based parallel fp-tree algorithm for the frequent pattern mining on grid system,Balanced Tidset-based Parallel FP-tree Algorithm For The Frequent Pattern Mining On Grid System,70,10.1109/skg.2008.65,https://w3id.org/oc/meta/br/06803629686,author_title
ref_16,Parallel frequent itemset mining using systolic arrays,Parallel Frequent Itemset Mining Using Systolic Arrays,70,10.1016/j.knosys.2012.09.005,https://w3id.org/oc/meta/br/062303120666,year_and_doi
ref_17,Efficient algorithms for frequent pattern mining in many-task computing environments,Efficient Algorithms For Frequent Pattern Mining In Many-Task Computing Environments,70,10.1016/j.knosys.2013.04.004,https://w3id.org/oc/meta/br/062303120520,year_and_doi
ref_18,Parallel mining of frequent closed patterns: Harnessing modern computer architectures,Parallel Mining Of Frequent Closed Patterns: Harnessing Modern Computer Architectures,70,10.1109/icdm.2007.13,https://w3id.org/oc/meta/br/061603256439,author_title
ref_19,Adaptive parallel graph mining for cmp architectures,Adaptive Parallel Graph Mining For CMP Architectures,70,10.1109/icdm.2006.15,https://w3id.org/oc/meta/br/06903300700,author_title
ref_21,Pampa-hd: a parallel mapreduce-based frequent pattern miner for high-dimensional data,PaMPa-HD: A Parallel MapReduce-Based Frequent Pattern Miner For High-Dimensional Data,70,10.1109/icdmw.2015.18,https://w3id.org/oc/meta/br/061602515495,author_title
ref_22,Discovering closed frequent itemsets on multicore: Parallelizing computations and optimizing memory accesses,Discovering Closed Frequent Itemsets On Multicore: Parallelizing Computations And Optimizing Memory Accesses,70,10.1109/hpcs.2010.5547082,https://w3id.org/oc/meta/br/06403592739,author_title
ref_23,Fast and memory efficient mining of frequent closed itemsets,Fast And Memory Efficient Mining Of Frequent Closed Itemsets,70,10.1109/tkde.2006.10,https://w3id.org/oc/meta/br/0650579166,year_and_doi
ref_24,Discovering frequent closed itemsets for association rules,Discovering Frequent Closed Itemsets For Association Rules,70,10.1007/3-540-49257-7_25,https://w3id.org/oc/meta/br/06403529433,year_author_page
ref_30,Charm: An efficient algorithm for closed itemset mining,CHARM: An Efficient Algorithm For Closed Itemset Mining,70,10.1137/1.9781611972726.27,https://w3id.org/oc/meta/br/06902933757,author_title
ref_31,Efficient algorithms for mining closed itemsets and their lattice structure,Efficient Algorithms For Mining Closed Itemsets And Their Lattice Structure,70,10.1109/tkde.2005.60,https://w3id.org/oc/meta/br/0650579302,year_and_doi
ref_34,Top-down mining of frequent closed patterns from very high dimensional data,Top-down Mining Of Frequent Closed Patterns From Very High Dimensional Data,70,10.1016/j.ins.2008.11.033,https://w3id.org/oc/meta/br/062102103716,year_and_doi
ref_36,Top-down vertical itemset mining,Top-down Vertical Itemset Mining,70,10.1117/12.2179150,https://w3id.org/oc/meta/br/061702543139,author_title
ref_37,"Disclosed: An efficient depth-first, top-down algorithm for mining disjunctive closed itemsets in high-dimensional data","Disclosed: An Efficient Depth-First, Top-Down Algorithm For Mining Disjunctive Closed Itemsets In High-Dimensional Data",70,10.1016/j.ins.2014.04.044,https://w3id.org/oc/meta/br/061802106520,year_and_doi
ref_39,Gene association analysis: a survey of frequent pattern mining from gene expression data,Gene Association Analysis: A Survey Of Frequent Pattern Mining From Gene Expression Data,70,10.1093/bib/bbp042,https://w3id.org/oc/meta/br/06801044556,author_title
ref_40,Integrated analysis of gene expression by association rules discovery,Integrated Analysis Of Gene Expression By Association Rules Discovery,70,10.1186/1471-2105-7-54,https://w3id.org/oc/meta/br/06501490514,year_and_doi
ref_41,Detecting conserved interaction patterns in biological networks,Detecting Conserved Interaction Patterns In Biological Networks,70,10.1089/cmb.2006.13.1299,https://w3id.org/oc/meta/br/061502810721,year_and_doi
ref_42,Cross-ontology multi-level association rule mining in the gene ontology,Cross-Ontology Multi-level Association Rule Mining In The Gene Ontology,70,10.1371/journal.pone.0047411,https://w3id.org/oc/meta/br/06201530772,year_and_doi
ref_43,A primer to frequent itemset mining for bioinformatics,A Primer To Frequent Itemset Mining For Bioinformatics,50,10.1093/bib/bbt074,https://w3id.org/oc/meta/br/06801044229,author_title
ref_44,Efficient algorithms for mining colossal patterns in high dimensional databases,Efficient Algorithms For Mining Colossal Patterns In High Dimensional Databases,70,10.1016/j.knosys.2017.01.034,https://w3id.org/oc/meta/br/062103109750,year_and_doi
ref_45,Efficient colossal pattern mining in high dimensional datasets,Efficient Colossal Pattern Mining In High Dimensional Datasets,70,10.1016/j.knosys.2012.03.003,https://w3id.org/oc/meta/br/062303120782,year_and_doi
ref_46,Subcellular localization prediction through boosting association rules,Subcellular Localization Prediction Through Boosting Association Rules,70,10.1109/tcbb.2011.131,https://w3id.org/oc/meta/br/062601937789,year_and_doi
ref_47,Mining colossal frequent patterns by core pattern fusion,Mining Colossal Frequent Patterns By Core Pattern Fusion,70,10.1109/icde.2007.367916,https://w3id.org/oc/meta/br/06703667082,author_title
ref_48,Finding top-n colossal patterns based on clique search with dynamic update of graph,Finding Top-N Colossal Patterns Based On Clique Search With Dynamic Update Of Graph,70,10.1007/978-3-642-29892-9_23,https://w3id.org/oc/meta/br/061902745369,year_author_page
ref_49,Disclose: discovering colossal closed itemsets via a memory efficient compact row-tree,DisClose: Discovering Colossal Closed Itemsets Via A Memory Efficient Compact Row-Tree,65,10.1007/978-3-642-36778-6_12,https://w3id.org/oc/meta/br/061302718378,year_author_page
ref_50,A new method for mining colossal patterns,A New Method For Mining Colossal Patterns,70,10.1109/smc.2016.7844714,https://w3id.org/oc/meta/br/061602480140,author_title
ref_51,Constraint-based method for mining colossal patterns in high dimensional databases,Constraint-Based Method For Mining Colossal Patterns In High Dimensional Databases,70,10.1007/978-3-319-67220-5_18,https://w3id.org/oc/meta/br/061902243089,year_author_page
ref_52,Constraint-based concept mining and its application to microarray data analysis,Constraint-based Concept Mining And Its Application To Microarray Data Analysis,70,10.3233/ida-2005-9105,https://w3id.org/oc/meta/br/06101237073,year_and_doi
ref_53,Tfp: An efficient algorithm for mining top-k frequent closed itemsets,TFP: An Efficient Algorithm For Mining Top-K Frequent Closed Itemsets,70,10.1109/tkde.2005.81,https://w3id.org/oc/meta/br/0650579294,year_and_doi
