reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,U-Pb chronology of the Solar System’s oldest solids with variable 238U/235U,U–Pb Chronology Of The Solar System's Oldest Solids With Variable 238U/235U,70,10.1016/j.epsl.2010.10.015,https://w3id.org/oc/meta/br/061901570067,year_and_doi
ref_2,Testing the chondrule-rich accretion model for planetary embryos using calcium isotopes,Testing The Chondrule-Rich Accretion Model For Planetary Embryos Using Calcium Isotopes,70,10.1016/j.epsl.2017.04.022,https://w3id.org/oc/meta/br/061501568168,year_and_doi
ref_3,"Mixing and Homogenization in the early solar system: clues from Sr, Ba, Nd, and Sm Isotopes in Meteorites","Mixing And Homogenization In The Early Solar System: Clues From Sr, Ba, Nd, And Sm Isotopes In Meteorites",70,10.1086/518819,https://w3id.org/oc/meta/br/061601736128,year_and_doi
ref_4,Fe isotope variations in natural materials measured using high mass resolution multiple collector ICPMS,Fe Isotope Variations In Natural Materials Measured Using High Mass Resolution Multiple Collector ICPMS,65,10.1021/ac034601v,https://w3id.org/oc/meta/br/06230986527,year_and_doi
ref_5,Inter-mineral Fe isotope variations in mantle-derived rocks and implications for the Fe geochemical cycle,Inter-mineral Fe Isotope Variations In Mantle-Derived Rocks And Implications For The Fe Geochemical Cycle,70,10.1016/j.gca.2004.04.023,https://w3id.org/oc/meta/br/06201689082,year_and_doi
ref_6,Isotopic compositions of the elements 2009 (IUPAC Technical Report),Isotopic Compositions Of The Elements 2009 (IUPAC Technical Report),70,10.1351/pac-rep-10-06-02,https://w3id.org/oc/meta/br/061302446314,year_and_doi
ref_7,Origins of mass-dependent and mass-independent Ca isotope variations in meteoritic components and meteorites,Origins Of Mass-Dependent And Mass-Independent Ca Isotope Variations In Meteoritic Components And Meteorites,70,10.1016/j.gca.2018.01.034,https://w3id.org/oc/meta/br/062101673490,year_and_doi
ref_8,Chromium isotopic anomalies in Allende refractory inclusions,Chromium Isotopic Anomalies In Allende Refractory Inclusions,70,10.1029/gl011i010p00943,https://w3id.org/oc/meta/br/061202808411,year_and_doi
ref_9,Evidence for the presence of 53Mn in the early solar system,Evidence For The Presence of53Mn In The Early Solar System,65,10.1029/gl012i011p00745,https://w3id.org/oc/meta/br/06703212395,year_and_doi
ref_10,Nickel and chromium isotopes in Allende inclusions,Nickel And Chromium Isotopes In Allende Inclusions,70,10.1016/0012-821x(88)90096-9,https://w3id.org/oc/meta/br/062501563305,year_and_doi
ref_11,Al-rich objects in ordinary chondrites: Related origin of carbonaceous and ordinary chondrites and their constituents,Al-rich Objects In Ordinary Chondrites: Related Origin Of Carbonaceous And Ordinary Chondrites And Their Constituents,70,10.1016/0016-7037(84)90096-6,https://w3id.org/oc/meta/br/06901701859,year_and_doi
ref_12,Mg isotope evidence for contemporaneous formation of chondrules and refractory inclusions,Mg Isotope Evidence For Contemporaneous Formation Of Chondrules And Refractory Inclusions,70,10.1038/nature02882,https://w3id.org/oc/meta/br/0670356652,year_and_doi
