reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_5,Rooftop solar photovoltaic potential in cities: how scalable are assessment approaches?,Rooftop Solar Photovoltaic Potential In Cities: How Scalable Are Assessment Approaches?,70,10.1088/1748-9326/aa7857,https://w3id.org/oc/meta/br/0637061675,year_and_doi
ref_7,Modelling solar potential in the urban environment: state-of-the-art review,Modelling Solar Potential In The Urban Environment: State-of-the-art Review,70,10.1016/j.rser.2014.08.060,https://w3id.org/oc/meta/br/06190951785,year_and_doi
ref_8,"A review of the solar city concept and methods to assess rooftop solar electric potential, with an illustrative application to the city of Seoul","A Review Of The Solar City Concept And Methods To Assess Rooftop Solar Electric Potential, With An Illustrative Application To The City Of Seoul",70,10.1016/j.rser.2014.08.023,https://w3id.org/oc/meta/br/06190951778,year_and_doi
ref_9,Technical potential for photovoltaics on buildings in the EU-27,Technical Potential For Photovoltaics On Buildings In The EU-27,70,10.1016/j.solener.2012.06.007,https://w3id.org/oc/meta/br/06401290027,year_and_doi
ref_11,The application of LiDAR to assessment of rooftop solar photovoltaic deployment potential in a municipal district unit,The Application Of LiDAR To Assessment Of Rooftop Solar Photovoltaic Deployment Potential In A Municipal District Unit,70,10.3390/s120404534,https://w3id.org/oc/meta/br/06140441690,year_and_doi
ref_12,Methodology for estimating solar potential on multiple building rooftops for photovoltaic systems,Methodology For Estimating Solar Potential On Multiple Building Rooftops For Photovoltaic Systems,70,10.1016/j.scs.2013.01.002,https://w3id.org/oc/meta/br/06150459700,year_and_doi
ref_14,A simplified skyline-based method for estimating the annual solar energy potential in urban environments,A Simplified Skyline-Based Method For Estimating The Annual Solar Energy Potential In Urban Environments,70,10.1038/s41560-018-0318-6,https://w3id.org/oc/meta/br/0650841830,author_title
ref_15,Development of a method for estimating the rooftop solar photovoltaic (PV) potential by analyzing the available rooftop area using Hillshade analysis,Development Of A Method For Estimating The Rooftop Solar Photovoltaic (PV) Potential By Analyzing The Available Rooftop Area Using Hillshade Analysis,70,10.1016/j.apenergy.2016.07.001,https://w3id.org/oc/meta/br/06302300843,year_and_doi
ref_16,Estimation of rooftop solar photovoltaic potential using geo-spatial techniques: a perspective from planned neighborhood of Karachi - Pakistan,Estimation Of Rooftop Solar Photovoltaic Potential Using Geo-Spatial Techniques: A Perspective From Planned Neighborhood Of Karachi – Pakistan,70,10.1016/j.renene.2015.12.058,https://w3id.org/oc/meta/br/06140549583,year_and_doi
ref_17,Evaluation of the development potential of rooftop solar photovoltaic in Taiwan,Evaluation Of The Development Potential Of Rooftop Solar Photovoltaic In Taiwan,70,10.1016/j.renene.2014.11.077,https://w3id.org/oc/meta/br/06150559743,year_and_doi
