reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Constraints on future changes in climate and the hydrologic cycle,Constraints On Future Changes In Climate And The Hydrologic Cycle,70,10.1038/nature01092,https://w3id.org/oc/meta/br/06120352738,year_and_doi
ref_2,Rank-sum tests for dispersions,Rank-Sum Tests For Dispersions,70,10.1214/aoms/1177705688,https://w3id.org/oc/meta/br/06901531828,year_and_doi
ref_3,Evaluating rescaled range analysis for time series,Evaluating Rescaled Range Analysis For Time Series,70,10.1007/bf02368250,https://w3id.org/oc/meta/br/062401345326,year_and_doi
ref_4,Adjusting measured peak discharges from an urbanizing watershed to reflect a stationary land use signal,Adjusting Measured Peak Discharges From An Urbanizing Watershed To Reflect A Stationary Land Use Signal,70,10.1029/2002wr001846,https://w3id.org/oc/meta/br/062401038293,year_and_doi
ref_5,The small sample behavior of some statistics which test the equality of several means,The Small Sample Behavior Of Some Statistics Which Test The Equality Of Several Means,70,10.1080/00401706.1974.10489158,https://w3id.org/oc/meta/br/06201130758,year_and_doi
ref_6,Tests for detecting a shift in the mean of hydrological time series,Tests For Detecting A Shift In The Mean Of Hydrological Time Series,70,10.1016/0022-1694(84)90032-5,https://w3id.org/oc/meta/br/06703143109,year_and_doi
ref_7,Improvement of sequential cluster analysis method for extracting turning point of time series (in Chinese with English abstract),試作Hy剤含有歯科用セメントの抗菌性について,65,10.18939/jsdmd.31.1_41,https://w3id.org/oc/meta/br/06330347186,year_volume_page
ref_8,Non-stationary extreme value analysis in a changing climate,Non-stationary Extreme Value Analysis In A Changing Climate,70,10.1007/s10584-014-1254-5,https://w3id.org/oc/meta/br/06250459532,year_and_doi
ref_9,Climate change hotspots in the United States,Climate Change Hotspots In The United States,70,10.1029/2008gl035075,https://w3id.org/oc/meta/br/06403234017,year_and_doi
ref_10,Multivariate hydrological frequency analysis using copulas,Multivariate Hydrological Frequency Analysis Using Copulas,70,10.1029/2003wr002456,https://w3id.org/oc/meta/br/062401037848,year_and_doi
ref_11,Cause of severe droughts in Southwest China during 1951–2010,Cause Of Severe Droughts In Southwest China During 1951–2010,70,10.1007/s00382-013-2026-z,https://w3id.org/oc/meta/br/062101679357,year_and_doi
ref_13,Analysis of changes in meteorological variables using Mann-Kendall and Sen's slope estimator statistical tests in Serbia,Analysis Of Changes In Meteorological Variables Using Mann-Kendall And Sen's Slope Estimator Statistical Tests In Serbia,70,10.1016/j.gloplacha.2012.10.014,https://w3id.org/oc/meta/br/061902166470,year_and_doi
ref_14,Temporal information partitioning networks (tipnets): a process network approach to infer ecohydrologic shifts,Temporal Information Partitioning Networks (TIPNets): A Process Network Approach To Infer Ecohydrologic Shifts,70,10.1002/2016wr020218,https://w3id.org/oc/meta/br/06701058534,year_and_doi
ref_16,Rising river flows throughout the twenty-first century in two Himalayan glacierized watersheds,Rising River Flows Throughout The Twenty-First Century In Two Himalayan Glacierized Watersheds,70,10.1038/ngeo1896,https://w3id.org/oc/meta/br/06230324096,year_and_doi
ref_17,Development of spatial regression models for predicting summer river temperatures from landscape characteristics: implications for land and fisheries management,Development Of Spatial Regression Models For Predicting Summer River Temperatures From Landscape Characteristics: Implications For Land And Fisheries Management,65,10.1002/hyp.11087,https://w3id.org/oc/meta/br/06503732233,year_and_doi
ref_18,Abrupt change point detection of annual maximum precipitation using fused lasso,Abrupt Change Point Detection Of Annual Maximum Precipitation Using Fused Lasso,70,10.1016/j.jhydrol.2016.04.043,https://w3id.org/oc/meta/br/062602768425,year_and_doi
ref_19,Increase in flood and drought disasters during 1500–2000 in Southwest China,Increase In Flood And Drought Disasters During 1500–2000 In Southwest China,70,10.1007/s11069-015-1679-9,https://w3id.org/oc/meta/br/06210367309,year_and_doi
ref_20,Bayesian analysis to detect abrupt changes in extreme hydrological processes,Bayesian Analysis To Detect Abrupt Changes In Extreme Hydrological Processes,70,10.1016/j.jhydrol.2016.03.065,https://w3id.org/oc/meta/br/062602768481,year_and_doi
ref_22,A bivariate frequency analysis of extreme rainfall with implications for design,A Bivariate Frequency Analysis Of Extreme Rainfall With Implications For Design,70,10.1029/2007jd008522,https://w3id.org/oc/meta/br/06110288837,year_and_doi
ref_23,Comparison of Mann-Kendall and innovative trend method for water quality parameters of the Kizilirmak River,"Comparison Of Mann–Kendall And Innovative Trend Method For Water Quality Parameters Of The Kizilirmak River, Turkey",70,10.1016/j.jhydrol.2014.03.005,https://w3id.org/oc/meta/br/06103175736,year_and_doi
ref_24,A shift of the mean level in a sequence of independent normal random variables: a Bayesian approach,A Shift Of The Mean Level In A Sequence Of Independent Normal Random Variables—A Bayesian Approach—,70,10.1080/00401706.1977.10489592,https://w3id.org/oc/meta/br/06301128106,year_volume_page
ref_25,Methods for detecting change in hydrochemical time series in response to targeted pollutant mitigation in river catchments,Methods For Detecting Change In Hydrochemical Time Series In Response To Targeted Pollutant Mitigation In River Catchments,70,10.1016/j.jhydrol.2014.04.036,https://w3id.org/oc/meta/br/06103175683,year_and_doi
ref_26,"Non-stationary flood frequency analysis in continental Spanish rivers, using climate and reservoir indices as external covariates","Non-stationary Flood Frequency Analysis In Continental Spanish Rivers, Using Climate And Reservoir Indices As External Covariates",70,10.5194/hess-17-3189-2013,https://w3id.org/oc/meta/br/06902109649,year_and_doi
ref_27,Consistent increase in High Asia's runoff due to increasing glacier melt and precipitation,Consistent Increase In High Asia's Runoff Due To Increasing Glacier Melt And Precipitation,70,10.1038/nclimate2237,https://w3id.org/oc/meta/br/06220785106,year_and_doi
ref_28,A simulation study to examine the sensitivity of the Pettitt test to detect abrupt changes in mean,A Simulation Study To Examine The Sensitivity Of The Pettitt Test To Detect Abrupt Changes In Mean,65,10.1080/02626667.2015.1008482,https://w3id.org/oc/meta/br/0690592918,year_and_doi
ref_29,Robustness of the rescaled range R/S in the measurement of noncyclic long run statistical dependence,Robustness Of The Rescaled Range R/S In The Measurement Of Noncyclic Long Run Statistical Dependence,70,10.1029/wr005i005p00967,https://w3id.org/oc/meta/br/061701064504,year_and_doi
ref_30,A step increase in streamflow in the conterminous United States,A Step Increase In Streamflow In The Conterminous United States,70,10.1029/2002gl015999,https://w3id.org/oc/meta/br/06103244425,year_and_doi
ref_32,Stationarity is dead: whither water management?,Stationarity Is Dead: Whither Water Management?,70,10.1126/science.1151915,https://w3id.org/oc/meta/br/06190485724,year_and_doi
ref_33,Localized structural damage detection: a change point analysis,Localized Structural Damage Detection: A Change Point Analysis,70,10.1111/mice.12059,https://w3id.org/oc/meta/br/0640286095,year_and_doi
ref_34,Bayesian change-point analysis in hydrometeorological time series. Part 1. The normal model revisited,Bayesian Change-Point Analysis In Hydrometeorological Time Series. Part 1. The Normal Model Revisited,70,10.1016/s0022-1694(00)00270-5,https://w3id.org/oc/meta/br/061802736112,year_and_doi
ref_35,Bayesian change-point analysis in hydrometeorological time series. Part 2. Comparison of change-point models and forecasting,Bayesian Change-Point Analysis In Hydrometeorological Time Series. Part 2. Comparison Of Change-Point Models And Forecasting,70,10.1016/s0022-1694(00)00271-7,https://w3id.org/oc/meta/br/061702748956,year_and_doi
ref_36,A non-parametric approach to the change-point problem,A Non-Parametric Approach To The Change-Point Problem,70,10.2307/2346729,https://w3id.org/oc/meta/br/062501312482,year_volume_page
ref_38,Use of a Gaussian copula for multivariate extreme value analysis: some case studies in hydrology,Use Of A Gaussian Copula For Multivariate Extreme Value Analysis: Some Case Studies In Hydrology,70,10.1016/j.advwatres.2006.08.001,https://w3id.org/oc/meta/br/06901061933,year_and_doi
ref_39,Probabilistic forecast and uncertainty assessment of hydrologic design values using Bayesian theories,Probabilistic Forecast And Uncertainty Assessment Of Hydrologic Design Values Using Bayesian Theories,70,10.1080/10807039.2010.512261,https://w3id.org/oc/meta/br/06303547525,year_and_doi
ref_40,Temporal-spatial climate variability in the headwater drainage basins of the yangtze river and yellow river China,"Temporal–Spatial Climate Variability In The Headwater Drainage Basins Of The Yangtze River And Yellow River, China",70,10.1175/jcli-d-12-00523.1,https://w3id.org/oc/meta/br/061501035397,year_and_doi
