reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,A systematic review of low back pain cost of illness studies in the United States and internationally,A Systematic Review Of Low Back Pain Cost Of Illness Studies In The United States And Internationally,70,10.1016/j.spinee.2007.10.005,https://w3id.org/oc/meta/br/06250294206,year_and_doi
ref_2,A systematic review of the global prevalence of low back pain,A Systematic Review Of The Global Prevalence Of Low Back Pain,70,10.1002/art.34347,https://w3id.org/oc/meta/br/062503092534,year_and_doi
ref_3,Motor control exercise for chronic non-specific low-back pain,Motor Control Exercise For Chronic Non-Specific Low-Back Pain,70,10.1002/14651858.cd012004,https://w3id.org/oc/meta/br/0631033945,author_title
ref_4,"The effect of core stability exercises on variations in acceleration of trunk movement, pain, and disability during an episode of acute nonspecific low back pain: a pilot clinical trial","The Effect Of Core Stability Exercises On Variations In Acceleration Of Trunk Movement, Pain, And Disability During An Episode Of Acute Nonspecific Low Back Pain: A Pilot Clinical Trial",70,10.1016/j.jmpt.2012.12.012,https://w3id.org/oc/meta/br/0645027230,year_and_doi
ref_5,Visceral mobilization can lyse and prevent peritoneal adhesions in a rat model,Visceral Mobilization Can Lyse And Prevent Peritoneal Adhesions In A Rat Model,70,10.1016/j.jbmt.2011.02.004,https://w3id.org/oc/meta/br/06150996022,year_and_doi
ref_6,The effect of osteopathic treatment on chronic constipation–a pilot study,The Effect Of Osteopathic Treatment On Chronic Constipation – A Pilot Study,70,10.1016/j.ijosm.2009.10.002,https://w3id.org/oc/meta/br/06902411421,year_and_doi
ref_7,How common is back pain in women with gastrointestinal problems?,How Common Is Back Pain In Women With Gastrointestinal Problems?,70,10.1097/ajp.0b013e31815d3601,https://w3id.org/oc/meta/br/061601246115,year_and_doi
ref_8,Disorders of breathing and continence have a stronger association with back pain than obesity and physical activity,Disorders Of Breathing And Continence Have A Stronger Association With Back Pain Than Obesity And Physical Activity.,70,10.1016/s0004-9514(06)70057-5,https://w3id.org/oc/meta/br/062603641244,year_and_doi
ref_9,The relationship between foot motion and lumbopelvic–hip function: a review of the literature,The Relationship Between Foot Motion And Lumbopelvic–Hip Function: A Review Of The Literature,70,10.1016/j.foot.2012.03.006,https://w3id.org/oc/meta/br/061601040733,year_and_doi
ref_12,Does the addition of visceral manipulation improve outcomes for patients with low backpain? Rationale and study protocol,Does The Addition Of Visceral Manipulation Improve Outcomes For Patients With Low Back Pain? Rationale And Study Protocol,70,10.1016/j.jbmt.2012.12.004,https://w3id.org/oc/meta/br/06150995891,year_and_doi
ref_13,Central sensitization: implications for the diagnosis and treatment of pain,"Human Dietary Exposure To Uranium In Catalonia, Spain",65,10.1007/s12011-012-9587-2,https://w3id.org/oc/meta/br/062103277100,year_volume_page
ref_14,Evidence of augmented central pain processing in idiopathic chronic low back pain,Evidence Of Augmented Central Pain Processing In Idiopathic Chronic Low Back Pain,70,10.1002/art.20063,https://w3id.org/oc/meta/br/061503108350,year_and_doi
ref_16,The immediate effects of sigmoid colon manipulation on pressure pain thresholds in the lumbar spine,The Immediate Effects Of Sigmoid Colon Manipulation On Pressure Pain Thresholds In The Lumbar Spine,70,10.1016/j.jbmt.2012.02.004,https://w3id.org/oc/meta/br/06150995962,year_and_doi
ref_17,Low back pain and kidney mobility: local osteopathic fascial manipulation decreases pain perception and improves renal mobility,Low Back Pain And Kidney Mobility: Local Osteopathic Fascial Manipulation Decreases Pain Perception And Improves Renal Mobility,70,10.1016/j.jbmt.2012.02.001,https://w3id.org/oc/meta/br/06150995966,year_and_doi
ref_18,CONSORT Statement for randomized trials of nonpharmacologic treatments: a 2017 update and a CONSORT extension for nonpharmacologic trial abstracts,CONSORT Statement For Randomized Trials Of Nonpharmacologic Treatments: A 2017 Update And A CONSORT Extension For Nonpharmacologic Trial Abstracts,70,10.7326/m17-0046,https://w3id.org/oc/meta/br/06101528682,year_and_doi
ref_19,An updated overview of clinical guidelines for the management of non-specific low back pain in primary care,An Updated Overview Of Clinical Guidelines For The Management Of Non-Specific Low Back Pain In Primary Care,70,10.1007/s00586-010-1502-y,https://w3id.org/oc/meta/br/061602724873,year_and_doi
