reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Heart disease and stroke statistics—2017 update: a report from the American Heart Association.,Heart Disease And Stroke Statistics—2017 Update: A Report From The American Heart Association,70,10.1161/cir.0000000000000485,https://w3id.org/oc/meta/br/062101120483,year_and_doi
ref_3,Clinical practice: chronic stable angina.,Chronic Stable Angina,70,10.1056/nejmcp1502240,https://w3id.org/oc/meta/br/061102136589,year_and_doi
ref_5,The prevalence of doctor-diagnosed angina in 4314 older adults in China and comparison with the Rose Angina Questionnaire: the 4 Province Study.,The Prevalence Of Doctor-Diagnosed Angina In 4314 Older Adults In China And Comparison With The Rose Angina Questionnaire: The 4 Province Study,70,10.1016/j.ijcard.2014.09.126,https://w3id.org/oc/meta/br/06303213938,year_and_doi
ref_6,Management of stable angina: summary of NICE guidance.,Management Of Stable Angina: Summary Of NICE Guidance: Figure 1,70,10.1136/heartjnl-2011-301436,https://w3id.org/oc/meta/br/0625061551,year_and_doi
ref_7,"Percutaneous coronary intervention in stable angina (ORBITA): a double-blind, randomised controlled trial.","Percutaneous Coronary Intervention In Stable Angina (ORBITA): A Double-Blind, Randomised Controlled Trial.",70,10.1016/s0140-6736(17)32714-9,https://w3id.org/oc/meta/br/062303720894,year_and_doi
ref_8,Efficacy of electroacupuncture pretreatment for myocardial injury in patients undergoing percutaneous coronary intervention: a randomized clinical trial with a 2-year follow-up.,Efficacy Of Electroacupuncture Pretreatment For Myocardial Injury In Patients Undergoing Percutaneous Coronary Intervention: A Randomized Clinical Trial With A 2-Year Follow-Up,70,10.1016/j.ijcard.2015.05.043,https://w3id.org/oc/meta/br/06103225934,year_and_doi
ref_9,"Alternative approaches to the medical management of angina pectoris: acupuncture, electrical nerve stimulation, and spinal cord stimulation.",Alternative Approaches To The Medical Management Of Angina Pectoris,70,10.1097/00132580-200107000-00006,https://w3id.org/oc/meta/br/061601512583,year_and_doi
ref_10,Effect of acupuncture at nei-kuan on left ventricular function in patients with coronary artery disease.,Effect Of Acupuncture At Nei-Kuan On Left Ventricular Function In Patients With Coronary Artery Disease,70,10.1142/s0192415x99000197,https://w3id.org/oc/meta/br/06202270196,year_and_doi
ref_11,A randomized controlled trial of acupuncture in stable ischemic heart disease patients.,A Randomized Controlled Trial Of Acupuncture In Stable Ischemic Heart Disease Patients,70,10.1016/j.ijcard.2014.07.011,https://w3id.org/oc/meta/br/06303214492,year_and_doi
ref_12,The effects of transcutaneous electrical nerve stimulation in patients with severe angina pectoris.,The Effects Of Transcutaneous Electrical Nerve Stimulation In Patients With Severe Angina Pectoris.,70,10.1161/01.cir.71.2.308,https://w3id.org/oc/meta/br/062201123571,year_and_doi
