reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Characterization of neocortical principal cells and interneurons by network interactions and extracellular features.,Characterization Of Neocortical Principal Cells And Interneurons By Network Interactions And Extracellular Features,70,10.1152/jn.01170.2003,https://w3id.org/oc/meta/br/062401353708,year_and_doi
ref_2,Long-term suppression of tremor by chronic stimulation of the ventral intermediate thalamic nucleus.,Long-term Suppression Of Tremor By Chronic Stimulation Of The Ventral Intermediate Thalamic Nucleus.,70,10.1016/0140-6736(91)91175-t,https://w3id.org/oc/meta/br/06104140109,year_and_doi
ref_3,Essential tremor severity and anatomical changes in brain areas controlling movement sequencing.,Essential Tremor Severity And Anatomical Changes In Brain Areas Controlling Movement Sequencing,65,10.1002/acn3.681,https://w3id.org/oc/meta/br/06201175120,year_and_doi
ref_4,Measuring burstiness and regularity in oscillatory spike trains.,Measuring Burstiness And Regularity In Oscillatory Spike Trains,70,10.1016/j.jneumeth.2011.08.013,https://w3id.org/oc/meta/br/0620463611,year_and_doi
ref_5,Emerging views of corticothalamic function.,Emerging Views Of Corticothalamic Function,70,10.1016/j.conb.2008.09.002,https://w3id.org/oc/meta/br/06150866668,year_and_doi
ref_6,Cortical volume and folding abnormalities in Parkinson’s disease patients with pathological gambling.,Cortical Volume And Folding Abnormalities In Parkinson's Disease Patients With Pathological Gambling,70,10.1016/j.parkreldis.2014.09.001,https://w3id.org/oc/meta/br/061602432000,year_and_doi
ref_7,Current clinical application of deep-brain stimulation for essential tremor.,Current Clinical Application Of Deep-Brain Stimulation For Essential Tremor,70,10.2147/ndt.s32342,https://w3id.org/oc/meta/br/062103090208,year_and_doi
ref_8,Coefficient of variation (CV) vs mean interspike interval (ISI) curves: what do they tell us about the brain?,Coefficient Of Variation Vs. Mean Interspike Interval Curves: What Do They Tell Us About The Brain?,70,10.1016/s0925-2312(01)00480-5,https://w3id.org/oc/meta/br/06110836033,year_and_doi
ref_9,Neuroanatomical heterogeneity of essential tremor according to propranolol response.,Neuroanatomical Heterogeneity Of Essential Tremor According To Propranolol Response,70,10.1371/journal.pone.0084054,https://w3id.org/oc/meta/br/061401507795,year_and_doi
ref_10,Surgery for dystonia and tremor.,Surgery For Dystonia And Tremor,70,10.1007/s11910-016-0627-8,https://w3id.org/oc/meta/br/06230879631,year_and_doi
ref_11,Therapeutic deep brain stimulation reduces cortical phase-amplitude coupling in Parkinson’s disease.,Deep Brain Stimulation Therapy In Parkinson Disease,45,10.1227/01.neu.0000471840.12629.1e,https://w3id.org/oc/meta/br/061903895618,year_and_doi
ref_12,Pathophysiology of nonparkinsonian tremors.,Pathophysiology Of Nonparkinsonian Tremors,70,10.1002/mds.10141,https://w3id.org/oc/meta/br/0620666969,year_and_doi
ref_14,Microstimulation-induced inhibition of neuronal firing in human globus pallidus.,Microstimulation-Induced Inhibition Of Neuronal Firing In Human Globus Pallidus,70,10.1152/jn.2000.84.1.570,https://w3id.org/oc/meta/br/061601377678,year_and_doi
ref_15,What is essential tremor?,What Is Essential Tremor?,70,10.1007/s11910-013-0353-4,https://w3id.org/oc/meta/br/06230879900,year_and_doi
ref_16,Mechanisms of deep brain stimulation for essential tremor.,Mechanisms Of Deep Brain Stimulation For Essential Tremor,70,10.1093/brain/awt347,https://w3id.org/oc/meta/br/061601876856,year_and_doi
ref_17,Thalamic bursting in rats during different awake behavioral states.,Thalamic Bursting In Rats During Different Awake Behavioral States,70,10.1073/pnas.261273898,https://w3id.org/oc/meta/br/062403047474,year_and_doi
ref_18,Tapping the brakes: cellular and synaptic mechanisms that regulate thalamic oscillations.,Tapping The Brakes: Cellular And Synaptic Mechanisms That Regulate Thalamic Oscillations,70,10.1016/j.neuron.2016.10.024,https://w3id.org/oc/meta/br/062402012395,year_and_doi
ref_19,"A force-plate actometer for quantitating rodent behaviors: illustrative data on locomotion, rotation, spatial patterning, stereotypies, and tremor.","A Force-Plate Actometer For Quantitating Rodent Behaviors: Illustrative Data On Locomotion, Rotation, Spatial Patterning, Stereotypies, And Tremor.",70,10.1016/s0165-0270(01)00359-4,https://w3id.org/oc/meta/br/061703729048,year_and_doi
ref_20,Time delay and partial coherence analyses to identify cortical connectivities.,Time Delay And Partial Coherence Analyses To Identify Cortical Connectivities,70,10.1007/s00422-005-0045-5,https://w3id.org/oc/meta/br/062201750257,year_and_doi
ref_21,Harmaline tremor: underlying mechanisms in a potential animal model of essential tremor.,Harmaline Tremor: Underlying Mechanisms In A Potential Animal Model Of Essential Tremor.,70,10.7916/d8td9w2p,https://w3id.org/oc/meta/br/06404289097,year_and_doi
ref_22,The Anesthetic mechanism of urethane: the effects on neurotransmitter-gated ion channels.,The Anesthetic Mechanism Of Urethane: The Effects On Neurotransmitter-Gated Ion Channels,70,10.1213/00000539-200202000-00015,https://w3id.org/oc/meta/br/06501010998,year_and_doi
ref_23,Mouse motor cortex coordinates the behavioral response to unpredicted sensory feedback.,Mouse Motor Cortex Coordinates The Behavioral Response To Unpredicted Sensory Feedback,70,10.1016/j.neuron.2019.02.042,https://w3id.org/oc/meta/br/062603903976,year_and_doi
ref_24,Tremor-correlated cortical activity detected by electroencephalography.,Tremor-correlated Cortical Activity Detected By Electroencephalography.,70,10.1016/s1388-2457(00)00248-0,https://w3id.org/oc/meta/br/06104218256,year_and_doi
ref_25,Tremor-correlated cortical activity in essential tremor.,Tremor-correlated Cortical Activity In Essential Tremor.,70,10.1016/s0140-6736(00)04044-7,https://w3id.org/oc/meta/br/061403710896,year_and_doi
