Type,Reference ID,DOI,File
Missed Matches:
missed,b27,10.18174/402122,AGR-BIO-SCI_1
missed,b22,10.3920/978-90-8686-771-4_02,AGR-BIO-SCI_1
missed,b7,10.1016/j.foodchem.2013.04.078,AGR-BIO-SCI_2
missed,b10,10.1021/jf203184y,AGR-BIO-SCI_2
missed,b12,10.1016/j.supflu.2009.03.010,AGR-BIO-SCI_2
missed,b8,10.1016/j.foodchem.2014.10.120,AGR-BIO-SCI_2
missed,b29,10.3989/gya.0786161,AGR-BIO-SCI_2
missed,b6,10.3989/gya.0457161,AGR-BIO-SCI_2
missed,b28,10.3390/nu8030128,AGR-BIO-SCI_2
missed,b31,10.1016/j.foodchem.2018.05.055,AGR-BIO-SCI_2
missed,b0,10.1016/b978-0-08-100220-9.00019-9,AGR-BIO-SCI_2
missed,b3,10.1051/ocl/2017026,AGR-BIO-SCI_2
missed,b33,10.1021/jf4000538,AGR-BIO-SCI_2
missed,b1,10.3989/gya.0462181,AGR-BIO-SCI_2
missed,b5,10.1021/jf5028697,AGR-BIO-SCI_2
missed,b34,10.1016/j.tifs.2018.01.013,AGR-BIO-SCI_2
missed,b18,10.1016/j.foodchem.2006.04.033,AGR-BIO-SCI_2
missed,b23,10.1016/j.foodchem.2012.02.143,AGR-BIO-SCI_2
missed,b26,10.1155/2014/843908,AGR-BIO-SCI_2
missed,b19,10.1016/j.chemolab.2016.03.028,AGR-BIO-SCI_2
missed,b35,10.1021/jf052761x,AGR-BIO-SCI_2
missed,b4,10.1111/j.1756-1051.2009.00460.x,AGR-BIO-SCI_2
missed,b21,10.1016/j.foodchem.2017.11.013,AGR-BIO-SCI_2
missed,b22,10.1007/s13197-017-2541-8,AGR-BIO-SCI_2
missed,b15,10.1080/10942912.2011.557758,AGR-BIO-SCI_2
missed,b32,10.1039/c4ay01194e,AGR-BIO-SCI_2
missed,b30,10.1021/jf301373k,AGR-BIO-SCI_2
missed,b20,10.3989/gya.075713,AGR-BIO-SCI_2
missed,b27,10.1016/j.lfs.2018.04.049,AGR-BIO-SCI_2
missed,b53,10.1111/ele.12865,AGR-BIO-SCI_3
missed,b40,10.1016/j.baae.2014.03.007,AGR-BIO-SCI_3
missed,b10,10.1111/geb.12193,AGR-BIO-SCI_3
missed,b42,10.1111/1365-2745.12211,AGR-BIO-SCI_3
missed,b30,10.1111/j.1461-0248.2012.01826.x,AGR-BIO-SCI_3
missed,b44,10.12688/f1000research.11813.1,AGR-BIO-SCI_3
missed,b19,10.1098/rstb.2015.0268,AGR-BIO-SCI_3
missed,b14,10.1111/j.1469-7998.1985.tb05640.x,AGR-BIO-SCI_3
missed,b47,10.1111/1365-2656.12218,AGR-BIO-SCI_3
missed,b32,10.1890/12-1936.1,AGR-BIO-SCI_3
missed,b52,10.1111/j.0030-1299.2007.15559.x,AGR-BIO-SCI_3
missed,b7,10.1007/s12080-015-0281-9,AGR-BIO-SCI_3
missed,b21,10.1111/1365-2435.12058,AGR-BIO-SCI_3
missed,b50,10.1111/j.1469-7998.2009.00628.x,AGR-BIO-SCI_3
missed,b15,10.1603/0046-225x-33.5.1282,AGR-BIO-SCI_3
missed,b4,10.1890/03-9000,AGR-BIO-SCI_3
missed,b43,10.2307/1942161,AGR-BIO-SCI_3
missed,b1,10.2307/1313226,AGR-BIO-SCI_3
missed,b2,10.1111/1365-2656.12834,AGR-BIO-SCI_3
missed,b6,10.1139/x00-014,AGR-BIO-SCI_3
missed,b27,10.1111/1365-2435.12849,AGR-BIO-SCI_3
missed,b46,10.1111/j.1095-8312.1979.tb00063.x,AGR-BIO-SCI_3
missed,b31,10.1111/j.1365-2745.2004.00838.x,AGR-BIO-SCI_3
missed,b16,10.1111/1365-2664.12530,AGR-BIO-SCI_3
missed,b24,10.1111/j.1463-6409.1990.tb00255.x,AGR-BIO-SCI_3
missed,b36,10.1111/oik.02788,AGR-BIO-SCI_3
missed,b0,10.1111/1365-2435.12666,AGR-BIO-SCI_3
missed,b54,10.1016/0022-1910(89)90096-6,AGR-BIO-SCI_3
