reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,10.1016/j.applanim.2012.11.013,2013-01,The Correlation Of Qualitative Behavior Assessments With Welfare Quality® Protocol Outcomes In On-Farm Welfare Assessment Of Dairy Cattle,https://w3id.org/oc/meta/id/06150841760,https://w3id.org/oc/meta/ar/061503336340,https://w3id.org/oc/meta/re/06150607588,https://w3id.org/oc/meta/br/06150791089,http://purl.org/spar/fabio/JournalArticle,The correlation of qualitative behavior assessments with Welfare Quality® protocol outcomes in on-farm welfare assessment of dairy cattle,The Correlation Of Qualitative Behavior Assessments With Welfare Quality® Protocol Outcomes In On-Farm Welfare Assessment Of Dairy Cattle,70,10.1016/j.applanim.2012.11.013,https://w3id.org/oc/meta/br/06150790660,year_and_doi
ref_3,10.1136/vr.104554,2018-01,Does Access To Pasture Affect Claw Condition And Health In Dairy Cows?,https://w3id.org/oc/meta/id/06801484231,https://w3id.org/oc/meta/ar/06806380360,https://w3id.org/oc/meta/re/06801188348,https://w3id.org/oc/meta/br/06801454160,http://purl.org/spar/fabio/JournalArticle,Does access to pasture affect claw condition and health in dairy cows?,Does Access To Pasture Affect Claw Condition And Health In Dairy Cows?,70,10.1136/vr.104554,https://w3id.org/oc/meta/br/06801453835,year_and_doi
ref_4,10.1017/s1751731112002297,2013,Effect Of Grazing On The Cow Welfare Of Dairy Herds Evaluated By A Multidimensional Welfare Index,https://w3id.org/oc/meta/id/0627061858,https://w3id.org/oc/meta/ar/06270311759,https://w3id.org/oc/meta/re/0627054543,https://w3id.org/oc/meta/br/0627064428,http://purl.org/spar/fabio/JournalArticle,Effect of grazing on the cow welfare of dairy herds evaluated by a multidimensional welfare index,Effect Of Grazing On The Cow Welfare Of Dairy Herds Evaluated By A Multidimensional Welfare Index,70,10.1017/s1751731112002297,https://w3id.org/oc/meta/br/0627064152,year_and_doi
ref_5,10.1017/s1751731112001395,2013,Daily Grazing Time As A Risk Factor For Alterations At The Hock Joint Integument In Dairy Cows,https://w3id.org/oc/meta/id/0627061950,https://w3id.org/oc/meta/ar/06270312341,https://w3id.org/oc/meta/re/0627054635,https://w3id.org/oc/meta/br/0627064433,http://purl.org/spar/fabio/JournalArticle,Daily grazing time as a risk factor for alterations at the hock joint integument in dairy cows,Daily Grazing Time As A Risk Factor For Alterations At The Hock Joint Integument In Dairy Cows,70,10.1017/s1751731112001395,https://w3id.org/oc/meta/br/0627064244,year_and_doi
ref_6,10.1016/j.tvjl.2013.10.011,2014-01,Does Milk Yield Reflect The Level Of Welfare In Dairy Herds?,https://w3id.org/oc/meta/id/061801868885,https://w3id.org/oc/meta/ar/061808025650,https://w3id.org/oc/meta/re/061801534359,https://w3id.org/oc/meta/br/061801846646,http://purl.org/spar/fabio/JournalArticle,Does milk yield reflect the level of welfare in dairy herds?,Does Milk Yield Reflect The Level Of Welfare In Dairy Herds?,65,10.1016/j.tvjl.2013.10.011,https://w3id.org/oc/meta/br/061801846278,year_and_doi
ref_7,10.7120/09627286.27.2.157,2018-05-01,Sensitivity Of The Integrated Welfare Quality® Scores To Changing Values Of Individual Dairy Cattle Welfare Measures,https://w3id.org/oc/meta/id/06305945350,https://w3id.org/oc/meta/ar/063014245900,https://w3id.org/oc/meta/re/06302435784,https://w3id.org/oc/meta/br/06303442203,http://purl.org/spar/fabio/JournalArticle,Sensitivity of the integrated Welfare Quality® scores to changing values of individual dairy cattle welfare measures,Sensitivity Of The Integrated Welfare Quality® Scores To Changing Values Of Individual Dairy Cattle Welfare Measures,70,10.7120/09627286.27.2.157,https://w3id.org/oc/meta/br/06303440941,year_and_doi
ref_8,10.7120/09627286.26.2.213,2017-05-01,Assessing Dairy Cow Welfare At The Beginning And End Of The Indoor Period Using The Welfare Quality® Protocol,https://w3id.org/oc/meta/id/06305945263,https://w3id.org/oc/meta/ar/063014246073,https://w3id.org/oc/meta/re/06302435818,https://w3id.org/oc/meta/br/06303442208,http://purl.org/spar/fabio/JournalArticle,Assessing dairy cow welfare at the beginning and end of the indoor period using the Welfare Quality® protocol,Assessing Dairy Cow Welfare At The Beginning And End Of The Indoor Period Using The Welfare Quality® Protocol,70,10.7120/09627286.26.2.213,https://w3id.org/oc/meta/br/06303440975,year_and_doi
ref_9,10.3168/jds.2012-6129,2013-10,Evaluating Results Of The Welfare Quality Multi-Criteria Evaluation Model For Classification Of Dairy Cattle Welfare At The Herd Level,https://w3id.org/oc/meta/id/062203557778,https://w3id.org/oc/meta/ar/0622010906672,https://w3id.org/oc/meta/re/062201989304,https://w3id.org/oc/meta/br/062202580963,http://purl.org/spar/fabio/JournalArticle,Evaluating results of the Welfare Quality multi-criteria evaluation model for classification of dairy cattle welfare at the herd level,Evaluating Results Of The Welfare Quality Multi-Criteria Evaluation Model For Classification Of Dairy Cattle Welfare At The Herd Level,70,10.3168/jds.2012-6129,https://w3id.org/oc/meta/br/062202580299,year_and_doi
ref_10,10.1016/j.prevetmed.2009.03.014,2009-07,Risk Factors For Lameness In Cubicle Housed Austrian Simmental Dairy Cows,https://w3id.org/oc/meta/id/0670515010,https://w3id.org/oc/meta/ar/06701728866,https://w3id.org/oc/meta/re/0670300842,https://w3id.org/oc/meta/br/0670451482,http://purl.org/spar/fabio/JournalArticle,Risk factors for lameness in cubicle housed Austrian Simmental dairy cows,Risk Factors For Lameness In Cubicle Housed Austrian Simmental Dairy Cows,70,10.1016/j.prevetmed.2009.03.014,https://w3id.org/oc/meta/br/0670450808,year_and_doi
ref_11,10.3168/jds.s0022-0302(01)74646-2,2001,The Relationship Between Milk Yield And The Incidence Of Some Diseases In Dairy Cows.,https://w3id.org/oc/meta/id/061503564573,https://w3id.org/oc/meta/ar/0615014548740,https://w3id.org/oc/meta/re/061702004914,https://w3id.org/oc/meta/br/062049189,http://purl.org/spar/fabio/JournalArticle,The relationship between milk yield and the incidence of some diseases in dairy cows,The Relationship Between Milk Yield And The Incidence Of Some Diseases In Dairy Cows.,70,10.3168/jds.s0022-0302(01)74646-2,https://w3id.org/oc/meta/br/061503658968,year_and_doi
