reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,10.2174/1874464810902010050,2009,A Review Of Recent Patents On Trivalent Chromium Plating,https://w3id.org/oc/meta/id/06510785477,https://w3id.org/oc/meta/ar/066012864689,https://w3id.org/oc/meta/re/06602186515,https://w3id.org/oc/meta/br/06603043371,http://purl.org/spar/fabio/JournalArticle,A review of recent patents on trivalent chromium plating,A Review Of Recent Patents On Trivalent Chromium Plating,70,10.2174/1874464810902010050,https://w3id.org/oc/meta/br/06603042397,year_and_doi
ref_3,10.1016/j.ijhydene.2008.10.026,2009-01,Hydrogen Evolution Reaction Of Low Carbon Steel Electrode In Hydrochloric Acid As A Source For Hydrogen Production,https://w3id.org/oc/meta/id/061605239166,https://w3id.org/oc/meta/ar/061102804954,https://w3id.org/oc/meta/re/06110493292,https://w3id.org/oc/meta/br/06110669318,http://purl.org/spar/fabio/JournalArticle,Hydrogen evolution reaction of low carbon steel electrode in hydrochloric acid as a source for hydrogen production,Hydrogen Evolution Reaction Of Low Carbon Steel Electrode In Hydrochloric Acid As A Source For Hydrogen Production,70,10.1016/j.ijhydene.2008.10.026,https://w3id.org/oc/meta/br/06110668632,year_and_doi
ref_4,10.1016/j.ijhydene.2006.03.017,2007-10,Studies On The Hydrogen Evolution Reaction On Different Stainless Steels,https://w3id.org/oc/meta/id/06120724179,https://w3id.org/oc/meta/ar/061202806583,https://w3id.org/oc/meta/re/06120497521,https://w3id.org/oc/meta/br/06120660679,http://purl.org/spar/fabio/JournalArticle,Studies on the hydrogen evolution reaction on different stainless steels,Studies On The Hydrogen Evolution Reaction On Different Stainless Steels,70,10.1016/j.ijhydene.2006.03.017,https://w3id.org/oc/meta/br/06120660245,year_and_doi
ref_5,10.1039/c4ra12335b,2014,Electrochemical Mechanism Of Cr(iii) Reduction For Preparing Crystalline Chromium Coatings Based On 1-Butyl-3-Methylimidazolium Hydrogen Sulfate Ionic Liquid,https://w3id.org/oc/meta/id/06290509293,https://w3id.org/oc/meta/ar/061804063446,https://w3id.org/oc/meta/re/06180760383,https://w3id.org/oc/meta/br/0624019334,http://purl.org/spar/fabio/JournalArticle,Electrochemical mechanism of Cr(III) reduction for preparing crystalline chromium coatings based on 1-butyl-3-methylimidazolium hydrogen sulfate ionic liquid,Electrochemical Mechanism Of Cr(iii) Reduction For Preparing Crystalline Chromium Coatings Based On 1-Butyl-3-Methylimidazolium Hydrogen Sulfate Ionic Liquid,70,10.1039/c4ra12335b,https://w3id.org/oc/meta/br/06180965171,year_and_doi
ref_6,10.1016/j.electacta.2014.03.027,2014-06,Electrochemical Mechanism Of Trivalent Chromium Reduction In 1-Butyl-3-Methylimidazolium Bromide Ionic Liquid,https://w3id.org/oc/meta/id/06505524447,https://w3id.org/oc/meta/ar/061208707505,https://w3id.org/oc/meta/re/061201611667,https://w3id.org/oc/meta/br/061201946079,http://purl.org/spar/fabio/JournalArticle,Electrochemical mechanism of trivalent chromium reduction in 1-butyl-3-methylimidazolium bromide ionic liquid,Electrochemical Mechanism Of Trivalent Chromium Reduction In 1-Butyl-3-Methylimidazolium Bromide Ionic Liquid,70,10.1016/j.electacta.2014.03.027,https://w3id.org/oc/meta/br/061201945600,year_and_doi
ref_7,10.1039/b607329h,2006,Application Of Ionic Liquids To The Electrodeposition Of Metals,https://w3id.org/oc/meta/id/06540614640,https://w3id.org/oc/meta/ar/062402010280,https://w3id.org/oc/meta/re/06240354444,https://w3id.org/oc/meta/br/06240504752,http://purl.org/spar/fabio/JournalArticle,Application of ionic liquids to the electrodeposition of metals,Application Of Ionic Liquids To The Electrodeposition Of Metals,70,10.1039/b607329h,https://w3id.org/oc/meta/br/06240504377,year_and_doi
ref_8,10.1021/ie505026v,2015-04-22,Characterization Of Imidazolium Chloride Ionic Liquids Plus Trivalent Chromium Chloride For Chromium Electroplating,https://w3id.org/oc/meta/id/06620524662,https://w3id.org/oc/meta/ar/06406455989,https://w3id.org/oc/meta/re/06401196409,https://w3id.org/oc/meta/br/06401473370,http://purl.org/spar/fabio/JournalArticle,Characterization of imidazolium chloride ionic liquids plus trivalent chromium chloride for chromium electroplating,Characterization Of Imidazolium Chloride Ionic Liquids Plus Trivalent Chromium Chloride For Chromium Electroplating,70,10.1021/ie505026v,https://w3id.org/oc/meta/br/06401472613,year_and_doi
ref_9,10.1016/j.microc.2011.02.017,2011-09,Mechanistic Study On The Effect Of PEG Molecules In A Trivalent Chromium Electrodeposition Process,https://w3id.org/oc/meta/id/06260809047,https://w3id.org/oc/meta/ar/062603215143,https://w3id.org/oc/meta/re/06260568031,https://w3id.org/oc/meta/br/06260771027,http://purl.org/spar/fabio/JournalArticle,Mechanistic study on the effect of PEG molecules in a trivalent chromium electrodeposition process,Mechanistic Study On The Effect Of PEG Molecules In A Trivalent Chromium Electrodeposition Process,70,10.1016/j.microc.2011.02.017,https://w3id.org/oc/meta/br/06260770320,year_and_doi
ref_10,10.1016/j.surfcoat.2012.04.025,2012-06,The Effects Of pH And Polyethylene Glycol On The Cr(III) Solution Chemistry And Electrodeposition Of Chromium,https://w3id.org/oc/meta/id/06780820963,https://w3id.org/oc/meta/ar/06130804221,https://w3id.org/oc/meta/re/06130143681,https://w3id.org/oc/meta/br/06130232337,http://purl.org/spar/fabio/JournalArticle,The effects of pH and polyethylene glycol on the Cr(III) solution chemistry and electrodeposition of chromium,The Effects Of pH And Polyethylene Glycol On The Cr(III) Solution Chemistry And Electrodeposition Of Chromium,70,10.1016/j.surfcoat.2012.04.025,https://w3id.org/oc/meta/br/06130231537,year_and_doi
ref_11,10.1039/c3ra42770f,2013,Environmentally Friendly Chromium Electrodeposition: Effect Of Pre-Electrolysis On A Cr(iii) Bath In An Anion-Exchange Membrane Reactor,https://w3id.org/oc/meta/id/06301029537,https://w3id.org/oc/meta/ar/06304204907,https://w3id.org/oc/meta/re/0630765569,https://w3id.org/oc/meta/br/0624019366,http://purl.org/spar/fabio/JournalArticle,Environmentally friendly chromium electrodeposition: effect of pre-electrolysis on a Cr(III) bath in an anion-exchange membrane reactor,Environmentally Friendly Chromium Electrodeposition: Effect Of Pre-Electrolysis On A Cr(iii) Bath In An Anion-Exchange Membrane Reactor,70,10.1039/c3ra42770f,https://w3id.org/oc/meta/br/0630980369,year_and_doi
