reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1016/j.jfineco.2018.05.003,2018-09,Loan Prospecting And The Loss Of Soft Information,https://w3id.org/oc/meta/id/0650866890,https://w3id.org/oc/meta/ar/06503384197,https://w3id.org/oc/meta/re/0650621658,https://w3id.org/oc/meta/br/0650809762,http://purl.org/spar/fabio/JournalArticle,Loan prospecting and the loss of soft information,Loan Prospecting And The Loss Of Soft Information,70,10.1016/j.jfineco.2018.05.003,https://w3id.org/oc/meta/br/0650809246,year_and_doi
ref_3,10.1093/qje/qju003,2014-03-07,Inconsistent Regulators: Evidence From Banking*,https://w3id.org/oc/meta/id/06230342649,https://w3id.org/oc/meta/ar/06230954347,https://w3id.org/oc/meta/re/06230172563,https://w3id.org/oc/meta/br/06230276090,http://purl.org/spar/fabio/JournalArticle,Inconsistent Regulators: Evidence from Banking,Inconsistent Regulators: Evidence From Banking*,70,10.1093/qje/qju003,https://w3id.org/oc/meta/br/06230275409,year_and_doi
ref_4,10.1086/691701,2017-06,Policy Intervention In Debt Renegotiation: Evidence From The Home Affordable Modification Program,https://w3id.org/oc/meta/id/06602953674,https://w3id.org/oc/meta/ar/066013393378,https://w3id.org/oc/meta/re/06602296783,https://w3id.org/oc/meta/br/06603167512,http://purl.org/spar/fabio/JournalArticle,Policy intervention in debt renegotiation: Evidence from the Home Affordable Modification Program,Policy Intervention In Debt Renegotiation: Evidence From The Home Affordable Modification Program,70,10.1086/691701,https://w3id.org/oc/meta/br/06603166829,year_and_doi
ref_5,10.1111/1540-6229.12099,2015-08-26,Servicers And Mortgage-Backed Securities Default: Theory And Evidence,https://w3id.org/oc/meta/id/06860554728,https://w3id.org/oc/meta/ar/06502339851,https://w3id.org/oc/meta/re/0650417438,https://w3id.org/oc/meta/br/0650574343,http://purl.org/spar/fabio/JournalArticle,Servicers and Mortgage-Backed Securities Default: Theory and Evidence,Servicers And Mortgage-Backed Securities Default: Theory And Evidence,65,10.1111/1540-6229.12099,https://w3id.org/oc/meta/br/0650574423,year_and_doi
ref_6,10.1086/259394,1968-03,Crime And Punishment: An Economic Approach,https://w3id.org/oc/meta/id/06530936957,https://w3id.org/oc/meta/ar/064013362661,https://w3id.org/oc/meta/re/06402285449,https://w3id.org/oc/meta/br/067053979,http://purl.org/spar/fabio/JournalArticle,Crime and punishment: An economic approach,Crime And Punishment: An Economic Approach,70,10.1086/259394,https://w3id.org/oc/meta/br/06403174222,year_and_doi
ref_8,10.1093/rfs/hhp022,2009-05-21,Assessing The Costs And Benefits Of Brokers In The Mutual Fund Industry,https://w3id.org/oc/meta/id/06480639986,https://w3id.org/oc/meta/ar/061604341137,https://w3id.org/oc/meta/re/06160811020,https://w3id.org/oc/meta/br/061601022446,http://purl.org/spar/fabio/JournalArticle,Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry,Assessing The Costs And Benefits Of Brokers In The Mutual Fund Industry,70,10.1093/rfs/hhp022,https://w3id.org/oc/meta/br/061601021853,year_and_doi
ref_9,10.1162/003355304772839588,2004-02-01,How Much Should We Trust Differences-In-Differences Estimates?,https://w3id.org/oc/meta/id/06506081261,https://w3id.org/oc/meta/ar/0610957745,https://w3id.org/oc/meta/re/0610177236,https://w3id.org/oc/meta/br/0610278334,http://purl.org/spar/fabio/JournalArticle,How Much Should We Trust Differences-In-Differences Estimates?,How Much Should We Trust Differences-In-Differences Estimates?,70,10.1162/003355304772839588,https://w3id.org/oc/meta/br/0610277941,year_and_doi
ref_11,10.3386/w18158,2012-06,Is Conflicted Investment Advice Better Than No Advice?,https://w3id.org/oc/meta/id/062102447335,https://w3id.org/oc/meta/ar/0621010858125,,,http://purl.org/spar/fabio/ReportDocument,Is conflicted advice better than no advice?,Is Conflicted Investment Advice Better Than No Advice?,70,10.3386/w18158,https://w3id.org/oc/meta/br/062102515187,year_and_doi
ref_14,10.1111/j.1540-6261.2012.01798.x,2013-01-11,What Do Consumers’ Fund Flows Maximize? Evidence From Their Brokers’ Incentives,https://w3id.org/oc/meta/id/062501212655,https://w3id.org/oc/meta/ar/062505151988,https://w3id.org/oc/meta/re/06250945603,https://w3id.org/oc/meta/br/062501161947,http://purl.org/spar/fabio/JournalArticle,What do consumers' fund flows maximize? Evidence from their brokers' incentives,What Do Consumers’ Fund Flows Maximize? Evidence From Their Brokers’ Incentives,70,10.1111/j.1540-6261.2012.01798.x,https://w3id.org/oc/meta/br/062501162229,year_and_doi
ref_16,10.1086/466756,1973-04,Free Competition And The Optimal Amount Of Fraud,https://w3id.org/oc/meta/id/06140945772,https://w3id.org/oc/meta/ar/061403883782,https://w3id.org/oc/meta/re/06140702829,https://w3id.org/oc/meta/br/0614017572,http://purl.org/spar/fabio/JournalArticle,Free competition and the optimal amount of fraud,Free Competition And The Optimal Amount Of Fraud,70,10.1086/466756,https://w3id.org/oc/meta/br/06140892385,year_and_doi
