reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1016/j.spinee.2007.10.005,2008-01,A Systematic Review Of Low Back Pain Cost Of Illness Studies In The United States And Internationally,https://w3id.org/oc/meta/id/065201220163,https://w3id.org/oc/meta/ar/062501093148,https://w3id.org/oc/meta/re/06250194793,https://w3id.org/oc/meta/br/06250294786,http://purl.org/spar/fabio/JournalArticle,A systematic review of low back pain cost of illness studies in the United States and internationally,A Systematic Review Of Low Back Pain Cost Of Illness Studies In The United States And Internationally,70,10.1016/j.spinee.2007.10.005,https://w3id.org/oc/meta/br/06250294206,year_and_doi
ref_2,10.1002/art.34347,2012-05-25,A Systematic Review Of The Global Prevalence Of Low Back Pain,https://w3id.org/oc/meta/id/06620399993,https://w3id.org/oc/meta/ar/0625012865427,https://w3id.org/oc/meta/re/062502348582,https://w3id.org/oc/meta/br/062503091766,http://purl.org/spar/fabio/JournalArticle,A systematic review of the global prevalence of low back pain,A Systematic Review Of The Global Prevalence Of Low Back Pain,70,10.1002/art.34347,https://w3id.org/oc/meta/br/062503092534,year_and_doi
ref_4,10.1016/j.jmpt.2012.12.012,2013-10,"The Effect Of Core Stability Exercises On Variations In Acceleration Of Trunk Movement, Pain, And Disability During An Episode Of Acute Nonspecific Low Back Pain: A Pilot Clinical Trial",https://w3id.org/oc/meta/id/0645025856,https://w3id.org/oc/meta/ar/06450130344,https://w3id.org/oc/meta/re/0645024632,https://w3id.org/oc/meta/br/0645027505,http://purl.org/spar/fabio/JournalArticle,"The effect of core stability exercises on variations in acceleration of trunk movement, pain, and disability during an episode of acute nonspecific low back pain: a pilot clinical trial","The Effect Of Core Stability Exercises On Variations In Acceleration Of Trunk Movement, Pain, And Disability During An Episode Of Acute Nonspecific Low Back Pain: A Pilot Clinical Trial",70,10.1016/j.jmpt.2012.12.012,https://w3id.org/oc/meta/br/0645027230,year_and_doi
ref_5,10.1016/j.jbmt.2011.02.004,2012-01,Visceral Mobilization Can Lyse And Prevent Peritoneal Adhesions In A Rat Model,https://w3id.org/oc/meta/id/061501039336,https://w3id.org/oc/meta/ar/061504260544,https://w3id.org/oc/meta/re/06150789316,https://w3id.org/oc/meta/br/06150996463,http://purl.org/spar/fabio/JournalArticle,Visceral mobilization can lyse and prevent peritoneal adhesions in a rat model,Visceral Mobilization Can Lyse And Prevent Peritoneal Adhesions In A Rat Model,70,10.1016/j.jbmt.2011.02.004,https://w3id.org/oc/meta/br/06150996022,year_and_doi
ref_6,10.1016/j.ijosm.2009.10.002,2010-03,The Effect Of Osteopathic Treatment On Chronic Constipation – A Pilot Study,https://w3id.org/oc/meta/id/06902363966,https://w3id.org/oc/meta/ar/069010338453,https://w3id.org/oc/meta/re/06901907305,https://w3id.org/oc/meta/br/06902411785,http://purl.org/spar/fabio/JournalArticle,The effect of osteopathic treatment on chronic constipation–a pilot study,The Effect Of Osteopathic Treatment On Chronic Constipation – A Pilot Study,70,10.1016/j.ijosm.2009.10.002,https://w3id.org/oc/meta/br/06902411421,year_and_doi
ref_7,10.1097/ajp.0b013e31815d3601,2008-03,How Common Is Back Pain In Women With Gastrointestinal Problems?,https://w3id.org/oc/meta/id/06460769198,https://w3id.org/oc/meta/ar/061605297773,https://w3id.org/oc/meta/re/061601015302,https://w3id.org/oc/meta/br/061601246422,http://purl.org/spar/fabio/JournalArticle,How common is back pain in women with gastrointestinal problems?,How Common Is Back Pain In Women With Gastrointestinal Problems?,70,10.1097/ajp.0b013e31815d3601,https://w3id.org/oc/meta/br/061601246115,year_and_doi
ref_8,10.1016/s0004-9514(06)70057-5,2006,Disorders Of Breathing And Continence Have A Stronger Association With Back Pain Than Obesity And Physical Activity.,https://w3id.org/oc/meta/id/0680591065,https://w3id.org/oc/meta/ar/0626014400779,https://w3id.org/oc/meta/re/0680376618,https://w3id.org/oc/meta/br/068010668,http://purl.org/spar/fabio/JournalArticle,Disorders of breathing and continence have a stronger association with back pain than obesity and physical activity,Disorders Of Breathing And Continence Have A Stronger Association With Back Pain Than Obesity And Physical Activity.,70,10.1016/s0004-9514(06)70057-5,https://w3id.org/oc/meta/br/062603641244,year_and_doi
ref_9,10.1016/j.foot.2012.03.006,2012-09,The Relationship Between Foot Motion And Lumbopelvic–Hip Function: A Review Of The Literature,https://w3id.org/oc/meta/id/064901324246,https://w3id.org/oc/meta/ar/061604410449,https://w3id.org/oc/meta/re/06160828094,https://w3id.org/oc/meta/br/061601041099,http://purl.org/spar/fabio/JournalArticle,The relationship between foot motion and lumbopelvic–hip function: a review of the literature,The Relationship Between Foot Motion And Lumbopelvic–Hip Function: A Review Of The Literature,70,10.1016/j.foot.2012.03.006,https://w3id.org/oc/meta/br/061601040733,year_and_doi
ref_12,10.1016/j.jbmt.2012.12.004,2013-07,Does The Addition Of Visceral Manipulation Improve Outcomes For Patients With Low Back Pain? Rationale And Study Protocol,https://w3id.org/oc/meta/id/06620806741,https://w3id.org/oc/meta/ar/061504259948,https://w3id.org/oc/meta/re/06150789186,https://w3id.org/oc/meta/br/06150996456,http://purl.org/spar/fabio/JournalArticle,Does the addition of visceral manipulation improve outcomes for patients with low backpain? Rationale and study protocol,Does The Addition Of Visceral Manipulation Improve Outcomes For Patients With Low Back Pain? Rationale And Study Protocol,70,10.1016/j.jbmt.2012.12.004,https://w3id.org/oc/meta/br/06150995891,year_and_doi
ref_14,10.1002/art.20063,2004,Evidence Of Augmented Central Pain Processing In Idiopathic Chronic Low Back Pain,https://w3id.org/oc/meta/id/061805987888,https://w3id.org/oc/meta/ar/0615012891478,https://w3id.org/oc/meta/re/061502361403,https://w3id.org/oc/meta/br/0619066798,http://purl.org/spar/fabio/JournalArticle,Evidence of augmented central pain processing in idiopathic chronic low back pain,Evidence Of Augmented Central Pain Processing In Idiopathic Chronic Low Back Pain,70,10.1002/art.20063,https://w3id.org/oc/meta/br/061503108350,year_and_doi
