reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1038/496416a,2013-04,Mental Health: On The Spectrum,https://w3id.org/oc/meta/id/06480624235,https://w3id.org/oc/meta/ar/061301314972,https://w3id.org/oc/meta/re/06130227067,https://w3id.org/oc/meta/br/06130346122,http://purl.org/spar/fabio/JournalArticle,Mental health: on the spectrum.,Mental Health: On The Spectrum,70,10.1038/496416a,https://w3id.org/oc/meta/br/06130345287,year_and_doi
ref_2,10.1016/j.bbagen.2015.09.009,2015-12,Tropisetron Attenuated The Anxiogenic Effects Of Social Isolation By Modulating Nitrergic System And Mitochondrial Function,https://w3id.org/oc/meta/id/06780866966,https://w3id.org/oc/meta/ar/06103439337,https://w3id.org/oc/meta/re/0610619171,https://w3id.org/oc/meta/br/067801838,http://purl.org/spar/fabio/JournalArticle,Tropisetron attenuated the anxiogenic effects of social isolation by modulating nitrergic system and mitochondrial function.,Tropisetron Attenuated The Anxiogenic Effects Of Social Isolation By Modulating Nitrergic System And Mitochondrial Function,70,10.1016/j.bbagen.2015.09.009,https://w3id.org/oc/meta/br/0610811497,year_and_doi
ref_3,10.1016/j.ynstr.2017.02.004,2017-12,Ca V 1.2 Channels Mediate Persistent Chronic Stress-Induced Behavioral Deficits That Are Associated With Prefrontal Cortex Activation Of The p25/Cdk5-glucocorticoid Receptor Pathway,https://w3id.org/oc/meta/id/06670757222,https://w3id.org/oc/meta/ar/061302614652,https://w3id.org/oc/meta/re/06130458670,https://w3id.org/oc/meta/br/06130616664,http://purl.org/spar/fabio/JournalArticle,Cav1.2 channels mediate persistent chronic stress-induced behavioral deficits that are associated with prefrontal cortex activation of the p25/Cdk5-glucocorticoid receptor pathway.,Ca V 1.2 Channels Mediate Persistent Chronic Stress-Induced Behavioral Deficits That Are Associated With Prefrontal Cortex Activation Of The p25/Cdk5-glucocorticoid Receptor Pathway,65,10.1016/j.ynstr.2017.02.004,https://w3id.org/oc/meta/br/06130616500,year_and_doi
ref_4,10.1016/j.pneurobio.2012.06.001,2012-10,CACNA1C (Cav1.2) In The Pathophysiology Of Psychiatric Disease,https://w3id.org/oc/meta/id/06170179526,https://w3id.org/oc/meta/ar/06170192048,https://w3id.org/oc/meta/re/0617038915,https://w3id.org/oc/meta/br/06170106855,http://purl.org/spar/fabio/JournalArticle,CACNA1C (Cav1.2) in the pathophysiology of psychiatric disease.,CACNA1C (Cav1.2) In The Pathophysiology Of Psychiatric Disease,70,10.1016/j.pneurobio.2012.06.001,https://w3id.org/oc/meta/br/06170105944,year_and_doi
ref_5,10.1042/bj20110162,2011-03-29,Assessing Mitochondrial Dysfunction In Cells,https://w3id.org/oc/meta/id/06550128921,https://w3id.org/oc/meta/ar/0613012617673,https://w3id.org/oc/meta/re/061302308888,https://w3id.org/oc/meta/br/061303036664,http://purl.org/spar/fabio/JournalArticle,Assessing mitochondrial dysfunction in cells.,Assessing Mitochondrial Dysfunction In Cells,70,10.1042/bj20110162,https://w3id.org/oc/meta/br/061303035738,year_and_doi
ref_6,10.1002/cne.23842,2015-08-10,"Differential Effects Of Social And Physical Environmental Enrichment On Brain Plasticity, Cognition, And Ultrasonic Communication In Rats",https://w3id.org/oc/meta/id/06140677289,https://w3id.org/oc/meta/ar/061402632043,https://w3id.org/oc/meta/re/06140459210,https://w3id.org/oc/meta/br/06140615031,http://purl.org/spar/fabio/JournalArticle,"Differential effects of social and physical environmental enrichment on brain plasticity, cognition, and ultrasonic communication in rats.","Differential Effects Of Social And Physical Environmental Enrichment On Brain Plasticity, Cognition, And Ultrasonic Communication In Rats",65,10.1002/cne.23842,https://w3id.org/oc/meta/br/06140614367,year_and_doi
ref_7,10.1016/j.bbr.2008.08.014,2009-01-30,A Detailed Analysis Of Open-Field Habituation And Behavioral And Neurochemical Antidepressant-Like Effects In Postweaning Enriched Rats,https://w3id.org/oc/meta/id/06560203300,https://w3id.org/oc/meta/ar/0630883798,https://w3id.org/oc/meta/re/0630157179,https://w3id.org/oc/meta/br/0630251164,http://purl.org/spar/fabio/JournalArticle,A detailed analysis of open-field habituation and behavioral and neurochemical antidepressant-like effects in postweaning enriched rats.,A Detailed Analysis Of Open-Field Habituation And Behavioral And Neurochemical Antidepressant-Like Effects In Postweaning Enriched Rats,70,10.1016/j.bbr.2008.08.014,https://w3id.org/oc/meta/br/0630250309,year_and_doi
ref_8,10.12688/f1000research.11808.2,2018-08-17,Proteolytic Processing Of The L-type Ca2+ Channel Alpha11.2 Subunit In Neurons,https://w3id.org/oc/meta/id/06801021419,https://w3id.org/oc/meta/ar/06804145191,https://w3id.org/oc/meta/re/0680766294,https://w3id.org/oc/meta/br/0624018917,http://purl.org/spar/fabio/JournalArticle,Proteolytic processing of the L-type Ca 2+ channel alpha 11.2 subunit in neurons.,Proteolytic Processing Of The L-type Ca2+ Channel Alpha11.2 Subunit In Neurons,60,10.12688/f1000research.11808.2,https://w3id.org/oc/meta/br/0680976387,year_and_doi
ref_9,10.1093/schbul/sbt054,2013-04-24,Structural And Functional Neuroimaging Studies In Major Depressive Disorder With Psychotic Features: A Critical Review,https://w3id.org/oc/meta/id/06204260597,https://w3id.org/oc/meta/ar/061602773435,https://w3id.org/oc/meta/re/06160496709,https://w3id.org/oc/meta/br/068014194,http://purl.org/spar/fabio/JournalArticle,Structural and functional neuroimaging studies in major depressive disorder with psychotic features: a critical review.,Structural And Functional Neuroimaging Studies In Major Depressive Disorder With Psychotic Features: A Critical Review,70,10.1093/schbul/sbt054,https://w3id.org/oc/meta/br/06160673805,year_and_doi
ref_10,10.1016/j.nurx.2005.12.009,2006-01,Neural Circuitry And Neuroplasticity In Mood Disorders: Insights For Novel Therapeutic Targets,https://w3id.org/oc/meta/id/06310481298,https://w3id.org/oc/meta/ar/06209758053,https://w3id.org/oc/meta/re/06201714472,https://w3id.org/oc/meta/br/06202290191,http://purl.org/spar/fabio/JournalArticle,Neural circuitry and neuroplasticity in mood disorders: insights for novel therapeutic targets.,Neural Circuitry And Neuroplasticity In Mood Disorders: Insights For Novel Therapeutic Targets,70,10.1016/j.nurx.2005.12.009,https://w3id.org/oc/meta/br/06202289082,year_and_doi
