reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1039/b601930g,2006,"Indolocarbazole Natural Products: Occurrence, Biosynthesis, And Biological Activity",https://w3id.org/oc/meta/id/06580647691,https://w3id.org/oc/meta/ar/06101200871,https://w3id.org/oc/meta/re/0610212279,https://w3id.org/oc/meta/br/0610337258,http://purl.org/spar/fabio/JournalArticle,"Indolocarbazole natural products: Occurrence, biosynthesis, and biological activity","Indolocarbazole Natural Products: Occurrence, Biosynthesis, And Biological Activity",70,10.1039/b601930g,https://w3id.org/oc/meta/br/0610336404,year_and_doi
ref_2,10.1038/ja.2008.4,2009-01,Chemical Biology Of Natural Indolocarbazole Products: 30 Years Since The Discovery Of Staurosporine,https://w3id.org/oc/meta/id/06203833468,https://w3id.org/oc/meta/ar/061803638544,https://w3id.org/oc/meta/re/06180669109,https://w3id.org/oc/meta/br/062018200,http://purl.org/spar/fabio/JournalArticle,Chemical biology of natural indolocarbazole products: 30 years since the discovery of staurosporine,Chemical Biology Of Natural Indolocarbazole Products: 30 Years Since The Discovery Of Staurosporine,70,10.1038/ja.2008.4,https://w3id.org/oc/meta/br/06180868159,year_and_doi
ref_3,10.1021/acs.chemrev.8b00186,2018-09-07,Chemistry And Properties Of Indolocarbazoles,https://w3id.org/oc/meta/id/06450579423,https://w3id.org/oc/meta/ar/06260278287,https://w3id.org/oc/meta/re/0626054412,https://w3id.org/oc/meta/br/06260137102,http://purl.org/spar/fabio/JournalArticle,Chemistry and properties of Indolocarbazoles,Chemistry And Properties Of Indolocarbazoles,70,10.1021/acs.chemrev.8b00186,https://w3id.org/oc/meta/br/06260136874,year_and_doi
ref_4,10.7164/antibiotics.30.275,1977,"A New Alkaloid AM-2282 Of Streptomyces Origin Taxonomy, Fermentation, Isolation And Preliminary Characterization.",https://w3id.org/oc/meta/id/063401333527,https://w3id.org/oc/meta/ar/061503715340,https://w3id.org/oc/meta/re/06150680018,https://w3id.org/oc/meta/br/062018021,http://purl.org/spar/fabio/JournalArticle,"A new alkaloid AM-2282 of Streptomyces origin. Taxonomy, fermentation, isolation and preliminary characterization","A New Alkaloid AM-2282 Of Streptomyces Origin Taxonomy, Fermentation, Isolation And Preliminary Characterization.",70,10.7164/antibiotics.30.275,https://w3id.org/oc/meta/br/06150873984,year_and_doi
ref_5,10.1016/0006-291x(86)90008-2,1986,"Staurosporine, A Potent Inhibitor Of phospholipid/Ca++dependent Protein Kinase.",https://w3id.org/oc/meta/id/062503410922,https://w3id.org/oc/meta/ar/0625014419137,https://w3id.org/oc/meta/re/061602100036,https://w3id.org/oc/meta/br/0624052985,http://purl.org/spar/fabio/JournalArticle,"Staurosporine, a potent inhibitor of phospholipid/Ca++dependent protein kinase","Staurosporine, A Potent Inhibitor Of phospholipid/Ca++dependent Protein Kinase.",70,10.1016/0006-291x(86)90008-2,https://w3id.org/oc/meta/br/062503610746,year_and_doi
ref_6,10.1038/nsb1097-796,1997-10,Protein Kinase Inhibition By Staurosporine Revealed In Details Of The Molecular Interaction With CDK2,https://w3id.org/oc/meta/id/061504141676,https://w3id.org/oc/meta/ar/06702145678,https://w3id.org/oc/meta/re/0670387459,https://w3id.org/oc/meta/br/0617011763,http://purl.org/spar/fabio/JournalArticle,Protein kinase inhibition by staurosporine revealed in details of the molecular interaction with CDK2,Protein Kinase Inhibition By Staurosporine Revealed In Details Of The Molecular Interaction With CDK2,70,10.1038/nsb1097-796,https://w3id.org/oc/meta/br/0670546291,year_and_doi
ref_7,10.1016/0006-291x(87)90293-2,1987-01,"K-252 Compounds, Novel And Potent Inhibitors Of Protein Kinase C And Cyclic Nucleotide-Dependent Protein Kinases",https://w3id.org/oc/meta/id/062303405995,https://w3id.org/oc/meta/ar/0616011443603,https://w3id.org/oc/meta/re/061602099358,https://w3id.org/oc/meta/br/0624052574,http://purl.org/spar/fabio/JournalArticle,"K-252 compounds, novel and potent inhibitors of protein kinase C and cyclic nucleotide-dependent protein kinases","K-252 Compounds, Novel And Potent Inhibitors Of Protein Kinase C And Cyclic Nucleotide-Dependent Protein Kinases.",70,10.1016/0006-291x(87)90293-2,https://w3id.org/oc/meta/br/062303619920,year_and_doi
ref_9,10.1021/bi00163a015,1992-12-08,Induction Of Mammalian DNA Topoisomerase I Mediated DNA Cleavage By Antitumor Indolocarbazole Derivatives,https://w3id.org/oc/meta/id/061303422332,https://w3id.org/oc/meta/ar/061102135450,https://w3id.org/oc/meta/re/06110377176,https://w3id.org/oc/meta/br/061303613462,http://purl.org/spar/fabio/JournalArticle,Induction of Mammalian DNA Topoisomerase I Mediated DNA Cleavage by Antitumor Indolocarbazole Derivatives,Induction Of Mammalian DNA Topoisomerase I Mediated DNA Cleavage By Antitumor Indolocarbazole Derivatives,70,10.1021/bi00163a015,https://w3id.org/oc/meta/br/06110534424,year_and_doi
ref_10,10.1017/s0031182006000825,2006-03,Programmed Cell Death In African Trypanosomes,https://w3id.org/oc/meta/id/06840662984,https://w3id.org/oc/meta/ar/06180220113,https://w3id.org/oc/meta/re/0618044032,https://w3id.org/oc/meta/br/06180115082,http://purl.org/spar/fabio/JournalArticle,Programmed cell death in African trypanosomes,Programmed Cell Death In African Trypanosomes,70,10.1017/s0031182006000825,https://w3id.org/oc/meta/br/06180114441,year_and_doi
ref_11,10.1099/mic.0.034025-0,2010-05-01,Staurosporine-induced Programmed Cell Death In Blastocystis Occurs Independently Of Caspases And Cathepsins And Is Augmented By Calpain Inhibition,https://w3id.org/oc/meta/id/06240640074,https://w3id.org/oc/meta/ar/062402411276,https://w3id.org/oc/meta/re/06240418316,https://w3id.org/oc/meta/br/06240574364,http://purl.org/spar/fabio/JournalArticle,Staurosporine-induced programmed cell death in Blastocystis occurs independently of caspases and cathepsins and is augmented by calpain inhibition,Staurosporine-induced Programmed Cell Death In Blastocystis Occurs Independently Of Caspases And Cathepsins And Is Augmented By Calpain Inhibition,70,10.1099/mic.0.034025-0,https://w3id.org/oc/meta/br/06240574250,year_and_doi
