reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,,The Atmospheric Radiation Measurement Program,70,10.1063/1.1554135,https://w3id.org/oc/meta/br/06202172550,year_and_doi
ref_2,,"Cloud Radiative Effect, Cloud Fraction And Cloud Type At Two Stations In Switzerland Using Hemispherical Sky Cameras",50,10.5194/amt-10-4587-2017,https://w3id.org/oc/meta/br/06102290747,year_and_doi
ref_3,,Cloud Fraction Determined By Thermal Infrared And Visible All-Sky Cameras,50,10.5194/amt-11-5549-2018,https://w3id.org/oc/meta/br/06102290397,year_and_doi
ref_4,,SURFRAD—A National Surface Radiation Budget Network For Atmospheric Research,70,10.1175/1520-0477(2000)081<2341:sansrb>2.3.co;2,https://w3id.org/oc/meta/br/062203477414,year_and_doi
ref_5,,Surface Summertime Radiative Forcing By Shallow Cumuli At The Atmospheric Radiation Measurement Southern Great Plains Site,70,10.1029/2010jd014593,https://w3id.org/oc/meta/br/06150280326,year_and_doi
ref_6,,On A Derivable Formula For Long-Wave Radiation From Clear Skies,70,10.1029/wr011i005p00742,https://w3id.org/oc/meta/br/061601066851,year_and_doi
ref_7,,Baseline Surface Radiation Network (BSRN): Structure And Data Description (1992–2017),65,10.5194/essd-10-1491-2018,https://w3id.org/oc/meta/br/06301827699,year_and_doi
ref_9,,Automatic Cloud Amount Detection By Surface Longwave Downward Radiation Measurements,70,10.1029/2003jd004182,https://w3id.org/oc/meta/br/06190288457,year_and_doi
ref_12,,Statistical Methods For Environmental Pollution Monitoring.,65,10.2307/2531935,https://w3id.org/oc/meta/br/06170317001,author_title
ref_13,,The Global Energy Balance Archive,70,10.1175/1520-0477(1999)080<0831:tgeba>2.0.co;2,https://w3id.org/oc/meta/br/062203477497,author_title
ref_14,,Effective Atmospheric Boundary Layer Temperature From Longwave Radiation Measurements,70,10.1029/2009jd012274,https://w3id.org/oc/meta/br/06180285200,year_and_doi
ref_17,,Uncertainties Of Parameterized Surface Downward Clear-Sky Shortwave And All-Sky Longwave Radiation.,50,10.5194/acp-12-5077-2012,https://w3id.org/oc/meta/br/062201754743,year_and_doi
