reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Variable selection for portfolio choice,Variable Selection For Portfolio Choice,70,10.1111/0022-1082.00369,https://w3id.org/oc/meta/br/06401186845,year_and_doi
ref_2,Transaction costs and predictability: some utility cost calculations,Transaction Costs And Predictability: Some Utility Cost Calculations,70,10.1016/s0304-405x(99)00004-5,https://w3id.org/oc/meta/br/0640803231,year_and_doi
ref_3,Individual investors,Chapter 15. Individual Investors,70,10.1515/9781400829125-018,https://w3id.org/oc/meta/br/061202467718,author_title
ref_4,The behavior of individual investors,The Behavior Of Individual Investors,70,10.1016/b978-0-44-459406-8.00022-6,https://w3id.org/oc/meta/br/061202953594,year_and_doi
ref_5,Investing for the long run when returns are predictable,Investing For The Long Run When Returns Are Predictable,70,10.1111/0022-1082.00205,https://w3id.org/oc/meta/br/06401186894,year_and_doi
ref_6,A survey of behavioral finance,Chapter 18 A Survey Of Behavioral Finance,70,10.1016/s1574-0102(03)01027-6,https://w3id.org/oc/meta/br/062402945469,year_and_doi
ref_8,Solving constrained consumption–investment problems by simulation of artificial market strategies,Solving Constrained Consumption–Investment Problems By Simulation Of Artificial Market Strategies,70,10.1287/mnsc.1120.1623,https://w3id.org/oc/meta/br/06302350685,year_and_doi
ref_9,Optimal consumption–portfolio choices and retirement planning,Optimal Consumption–Portfolio Choices And Retirement Planning,70,10.1016/s0165-1889(03)00068-x,https://w3id.org/oc/meta/br/062402784820,year_and_doi
ref_10,Labor supply flexibility and portfolio choice in a life cycle model,Labor Supply Flexibility And Portfolio Choice In A Life Cycle Model,70,10.1016/0165-1889(92)90044-f,https://w3id.org/oc/meta/br/062102785408,year_and_doi
ref_11,Discrete-time implementation of continuous-time portfolio strategies,Discrete-time Implementation Of Continuous-Time Portfolio Strategies,65,10.1080/13518470903075854,https://w3id.org/oc/meta/br/06110293117,year_and_doi
ref_12,Asset allocation: how much model choice matter?,Asset Allocation: How Much Does Model Choice Matter?,70,10.1016/j.jbankfin.2012.02.009,https://w3id.org/oc/meta/br/062502818852,year_and_doi
ref_13,Robust portfolio choice with uncertainty about jump and diffusion risk,Robust Portfolio Choice With Uncertainty About Jump And Diffusion Risk,70,10.1016/j.jbankfin.2013.08.023,https://w3id.org/oc/meta/br/062402822846,year_and_doi
ref_14,Robust portfolio choice with ambiguity and learning about return predictability,Robust Portfolio Choice With Ambiguity And Learning About Return Predictability,70,10.1016/j.jbankfin.2012.05.009,https://w3id.org/oc/meta/br/062502818798,year_and_doi
ref_15,Optimal portfolios when volatility can jump,Optimal Portfolios When Volatility Can Jump,70,10.1016/j.jbankfin.2007.09.015,https://w3id.org/oc/meta/br/062602855478,year_and_doi
ref_16,Model specification and risk premia: evidence from future options,Model Specification And Risk Premia: Evidence From Futures Options,65,10.1111/j.1540-6261.2007.01241.x,https://w3id.org/oc/meta/br/06301178523,year_and_doi
ref_17,Incentives and endogenous risk taking: a structural view on hedge funds alphas,Incentives And Endogenous Risk Taking: A Structural View On Hedge Fund Alphas,65,10.1111/jofi.12167,https://w3id.org/oc/meta/br/062501162116,year_and_doi
ref_18,Down or out: assessing the welfare costs of household investment mistakes,Down Or Out: Assessing The Welfare Costs Of Household Investment Mistakes,70,10.1086/524204,https://w3id.org/oc/meta/br/06603167228,year_and_doi
ref_19,Fight or flight? portfolio rebalancing by individual investors,Fight Or Flight? Portfolio Rebalancing By Individual Investors*,70,10.1162/qjec.2009.124.1.301,https://w3id.org/oc/meta/br/06230275714,year_and_doi
ref_20,Consumption and portfolio decisions when expected returns are time-varying,Consumption And Portfolio Decisions When Expected Returns Are Time Varying,70,10.1162/003355399556043,https://w3id.org/oc/meta/br/062603519477,year_and_doi
ref_21,On the structural estimation of an optimal portfolio rule,On The Structural Estimation Of An Optimal Portfolio Rule,70,10.1016/j.frl.2015.12.012,https://w3id.org/oc/meta/br/061201155904,year_and_doi
ref_22,Consumption and portfolio choice over the life cycle,Consumption And Portfolio Choice Over The Life Cycle,70,10.1093/rfs/hhi017,https://w3id.org/oc/meta/br/061601022179,year_and_doi
ref_23,"Reconsidering the continuous time limit of the GARCH(1, 1) process","Reconsidering The Continuous Time Limit Of The GARCH(1,1) Process",65,10.1016/s0304-4076(99)00053-6,https://w3id.org/oc/meta/br/06120791343,year_and_doi
ref_24,Optimal consumption and portfolio policies when asset prices follow a diffusion process,Optimal Consumption And Portfolio Policies When Asset Prices Follow A Diffusion Process,70,10.1016/0022-0531(89)90067-7,https://w3id.org/oc/meta/br/06240329395,year_and_doi
ref_25,Convex duality in constrained portfolio optimization,Convex Duality In Constrained Portfolio Optimization,70,10.1214/aoap/1177005576,https://w3id.org/oc/meta/br/061501332249,year_and_doi
ref_26,Systemic risk and international portfolio choice,Systemic Risk And International Portfolio Choice,70,10.1111/j.1540-6261.2004.00717.x,https://w3id.org/oc/meta/br/06401186449,year_and_doi
ref_27,Portfolio selection: a review,Portfolio Selection: A Review,70,10.1007/s10957-012-0208-1,https://w3id.org/oc/meta/br/062501372370,year_and_doi
ref_28,A Monte Carlo method for optimal portfolios,A Monte Carlo Method For Optimal Portfolios,70,10.1111/1540-6261.00529,https://w3id.org/oc/meta/br/06401186675,year_and_doi
ref_29,Simulation methods for optimal portfolios,Chapter 21 Simulation Methods For Optimal Portfolios,65,10.1016/s0927-0507(07)15021-0,https://w3id.org/oc/meta/br/061803256395,year_and_doi
ref_30,Asset and commodity prices with multi-attribute durable goods,Asset And Commodity Prices With Multi-Attribute Durable Goods,70,10.1016/0165-1889(95)00907-8,https://w3id.org/oc/meta/br/062402784772,year_and_doi
ref_31,Closed-form solutions for optimal portfolio selection with stochastic interest rate and investment constraints,Closed-Form Solutions For Optimal Portfolio Selection With Stochastic Interest Rate And Investment Constraints,70,10.1111/j.1467-9965.2005.00250.x,https://w3id.org/oc/meta/br/062401053148,year_and_doi
ref_32,Dynamic asset allocation: portfolio decomposition formula and applications,Dynamic Asset Allocation: Portfolio Decomposition Formula And Applications,65,10.1093/rfs/hhp040,https://w3id.org/oc/meta/br/061601021814,year_and_doi
ref_33,Optimal consumption-portfolio policies with habit formation,Optimal Consumption-Portfolio Policies With Habit Formation,70,10.1111/j.1467-9965.1992.tb00032.x,https://w3id.org/oc/meta/br/062401053079,year_and_doi
ref_34,Long-term strategic asset allocation: an out-of-sample evaluation,Long-Term Strategic Asset Allocation: An Out-of-Sample Evaluation,65,10.1287/mnsc.2014.1924,https://w3id.org/oc/meta/br/06302350292,year_and_doi
ref_35,Stochastic differential utility,Stochastic Differential Utility,70,10.2307/2951600,https://w3id.org/oc/meta/br/061201565034,year_and_doi
ref_36,Robust portfolio choice with derivative trading under stochastic volatility,Robust Portfolio Choice With Derivative Trading Under Stochastic Volatility,70,10.1016/j.jbankfin.2015.08.033,https://w3id.org/oc/meta/br/062402822261,year_and_doi
ref_37,Robust portfolio choice with stochastic interest rates,Robust Portfolio Choice With Stochastic Interest Rates,65,10.1007/s10436-013-0234-5,https://w3id.org/oc/meta/br/061802575957,year_and_doi
ref_38,Portfolio selection with parameter and model uncertainty: a multi-prior approach,Portfolio Selection With Parameter And Model Uncertainty: A Multi-Prior Approach,70,10.1093/rfs/hhl003,https://w3id.org/oc/meta/br/061601022108,year_and_doi
ref_39,How does household portfolio diversification vary with financial literacy and financial advice?,How Does Household Portfolio Diversification Vary With Financial Literacy And Financial Advice?,70,10.1111/jofi.12231,https://w3id.org/oc/meta/br/062501162072,year_and_doi
ref_40,Evaluating portfolio policies: a duality approach,Evaluating Portfolio Policies: A Duality Approach,70,10.1287/opre.1060.0279,https://w3id.org/oc/meta/br/06210748709,year_and_doi
ref_41,A closed-form solution for options with stochastic volatility with applications to bond and currency options,A Closed-Form Solution For Options With Stochastic Volatility With Applications To Bond And Currency Options,70,10.1093/rfs/6.2.327,https://w3id.org/oc/meta/br/06702845296,year_and_doi
ref_42,Intertemporal preferences for uncertain consumption: a continuous time approach,Intertemporal Preferences For Uncertain Consumption: A Continuous Time Approach,70,10.2307/2951566,https://w3id.org/oc/meta/br/061101575311,year_and_doi
ref_43,Robust consumption and portfolio rules with time-varying model confidence,Robust Consumption And Portfolio Rules With Time-Varying Model Confidence,70,10.1016/j.frl.2016.05.012,https://w3id.org/oc/meta/br/061201155820,year_and_doi
ref_44,Ambiguity and optimal portfolio choice with value-at-risk constraint,Ambiguity And Optimal Portfolio Choice With Value-at-Risk Constraint,70,10.1016/j.frl.2016.04.013,https://w3id.org/oc/meta/br/061201155860,year_and_doi
ref_45,Behavioral portfolio selection in continuous time,Behavioral Portfolio Selection In Continuous Time,70,10.1111/j.1467-9965.2008.00339.x,https://w3id.org/oc/meta/br/062401052950,year_and_doi
ref_46,Decomposition of optimal portfolio weight in a jump-diffusion model and its applications,Decomposition Of Optimal Portfolio Weight In A Jump-Diffusion Model And Its Applications,70,10.1093/rfs/hhs083,https://w3id.org/oc/meta/br/061601021516,year_and_doi
ref_47,Paper millionaires: how valuable is stock to a stockholder who is restricted from selling it?,Paper Millionaires: How Valuable Is Stock To A Stockholder Who Is Restricted From Selling It?,70,10.1016/s0304-405x(02)00258-1,https://w3id.org/oc/meta/br/0690811896,year_and_doi
ref_48,Option pricing and hedging with small transaction costs,Option Pricing And Hedging With Small Transaction Costs,50,10.1111/mafi.12035,https://w3id.org/oc/meta/br/062401052722,author_title
ref_49,Optimal portfolio choice with parameter uncertainty,Optimal Portfolio Choice With Parameter Uncertainty,70,10.1017/s0022109000004129,https://w3id.org/oc/meta/br/06601180584,year_and_doi
ref_50,"Optimal portfolio and consumption decisions for a small investor, on a finite horizon",Optimal Portfolio And Consumption Decisions For A “Small Investor” On A Finite Horizon,70,10.1137/0325086,https://w3id.org/oc/meta/br/061301560346,year_and_doi
ref_51,Dynamic nonmyopic portfolio behavior,Dynamic Nonmyopic Portfolio Behavior,70,10.1093/rfs/9.1.141,https://w3id.org/oc/meta/br/06702845465,year_and_doi
ref_52,"The cross-section of managerial ability, incentives, and risk preferences","The Cross-Section Of Managerial Ability, Incentives, And Risk Preferences",70,10.1111/jofi.12140,https://w3id.org/oc/meta/br/062501162132,year_and_doi
ref_53,Health and mortality delta: assessing the welfare cost of household insurance choice,Health And Mortality Delta: Assessing The Welfare Cost Of Household Insurance Choice,70,10.1111/jofi.12273,https://w3id.org/oc/meta/br/062501162036,year_and_doi
ref_54,When can life cycle investors benefit from time-varying bond risk premia?,When Can Life Cycle Investors Benefit From Time-Varying Bond Risk Premia?,65,10.1093/rfs/hhp058,https://w3id.org/oc/meta/br/061601021799,year_and_doi
