reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,,Influence Of Concomitant Heeled Footwear When Wearing A Lateral Wedged Insole For Medial Compartment Osteoarthritis Of The Knee,70,10.1016/j.joca.2007.06.010,https://w3id.org/oc/meta/br/0650430095,year_and_doi
ref_2,,"OARSI Recommendations For The Management Of Hip And Knee Osteoarthritis, Part II: OARSI Evidence-Based, Expert Consensus Guidelines",70,10.1016/j.joca.2007.12.013,https://w3id.org/oc/meta/br/0650429965,year_and_doi
ref_3,,Lateral Wedges In Knee Osteoarthritis: What Are Their Immediate Clinical And Biomechanical Effects And Can These Predict A Three-Month Clinical Outcome?,70,10.1002/art.23326,https://w3id.org/oc/meta/br/06203525585,year_and_doi
ref_4,,Effects Of Disease Severity On Response To Lateral Wedged Shoe Insole For Medial Compartment Knee Osteoarthritis,50,10.1016/j.apmr.2006.08.018,https://w3id.org/oc/meta/br/062502039425,author_title
ref_5,,Ankle Anticipatory Postural Adjustments During Gait Initiation In Healthy And Post-Stroke Subjects,70,10.1016/j.clinbiomech.2015.07.002,https://w3id.org/oc/meta/br/061201751676,year_and_doi
ref_6,,Delayed Onset Of Electromyographic Activity Of Vastus Medialis Obliquus Relative To Vastus Lateralis In Subjects With Patellofemoral Pain Syndrome,70,10.1053/apmr.2001.19022,https://w3id.org/oc/meta/br/061802043462,year_and_doi
ref_7,,Age-related Changes In The Initiation Of Gait: Degradation Of Central Mechanisms For Momentum Generation,50,10.1016/s0003-9993(98)90425-7,https://w3id.org/oc/meta/br/062602073644,author_title
ref_8,,"The Initiation Of Gait In Young, Elderly, And Parkinson's Disease Subjects",70,10.1016/s0966-6362(98)00020-4,https://w3id.org/oc/meta/br/062203786811,year_and_doi
ref_9,,The Initiation Of Normal Walking,50,10.1002/mds.870090203,https://w3id.org/oc/meta/br/06260678986,author_title
ref_11,,Soft Tissues: A Question Of Balance,70,10.3928/0147-7447-19970901-24,https://w3id.org/oc/meta/br/06203924196,year_and_doi
ref_12,,The Effect Of Flat And Textured Insoles On The Balance Of Primary Care Elderly People: A Randomized Controlled Clinical Trial,70,10.2147/cia.s149038,https://w3id.org/oc/meta/br/061203123114,year_and_doi
ref_13,,The Effect Of Textured Insoles On Postural Control In Double And Single Limb Stance,70,10.1123/jsr.16.4.363,https://w3id.org/oc/meta/br/062603127731,year_and_doi
ref_14,,Characteristic Muscle Activity Patterns During Gait Initiation In The Healthy Younger And Older Adults,70,10.1016/j.gaitpost.2015.09.014,https://w3id.org/oc/meta/br/06110660270,year_and_doi
ref_15,,The Efficacy Of A Lateral Wedge Insole For Painful Medial Knee Osteoarthritis After Prescreening: A Randomized Clinical Trial,70,10.1002/art.40808,https://w3id.org/oc/meta/br/061701948044,year_and_doi
