reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Carbohydr Polym,"The Role Of Cellulosic Chains Of Cotton In Biosynthesis Of ZnO Nanorods Producing Multifunctional Properties: Mechanism, Characterizations And Features",70,10.1016/j.carbpol.2015.03.036,https://w3id.org/oc/meta/br/0670163806,year_and_doi
ref_2,RSC Adv,Sustainable Oleic And Stearic Acid Based Biodegradable Surfactants,70,10.1039/c6ra27036k,https://w3id.org/oc/meta/br/06150975876,year_and_doi
ref_3,Prog Mater Sci,"Natural And Biomimetic Artificial Surfaces For Superhydrophobicity, Self-Cleaning, Low Adhesion, And Drag Reduction",70,10.1016/j.pmatsci.2010.04.003,https://w3id.org/oc/meta/br/06501183945,year_and_doi
ref_4,Polym Test,"Lightweight, Mechanical Robust Foam With A Herringbone-Like Porous Structure For Oil/Water Separation And Filtering",70,10.1016/j.polymertesting.2018.09.033,https://w3id.org/oc/meta/br/06130553953,year_and_doi
ref_5,Compos Commun,Acid And Temperature Dual-Responsive Cotton Fabrics With Polymer Coating,70,10.1016/j.coco.2017.03.003,https://w3id.org/oc/meta/br/062101308447,year_and_doi
ref_6,ACS Sustain Chem Eng,Sustainable And Biodegradable Superhydrophobic Coating From Epoxidized Soybean Oil And ZnO Nanoparticles On Cellulosic Substrates For Efficient Oil/Water Separation,70,10.1021/acssuschemeng.7b02549,https://w3id.org/oc/meta/br/061202386580,year_and_doi
ref_7,Carbohydr Polym,Cellulose Nanocrystal Coated Cotton Fabric With Superhydrophobicity For Efficient Oil/Water Separation,70,10.1016/j.carbpol.2018.07.046,https://w3id.org/oc/meta/br/0630159618,year_and_doi
ref_8,Polym Test,Biobased Super-Hydrophobic Coating On Cotton Fabric Fabricated By Spray-Coating For Efficient Oil/Water Separation,70,10.1016/j.polymertesting.2018.01.005,https://w3id.org/oc/meta/br/06130554288,year_and_doi
ref_9,Cellulose,Electrospun Hyperbranched Polylactic Acid–Modified Cellulose Nanocrystals/Polylactic Acid For Shape Memory Membranes With High Mechanical Properties,70,10.1002/pat.4743,https://w3id.org/oc/meta/br/06803263923,author_title
ref_10,Angew Chem Int Ed,Oil/Water Separation With Selective Superantiwetting/Superwetting Surface Materials,65,10.1002/anie.201405785,https://w3id.org/oc/meta/br/0630101389,year_and_doi
ref_11,Compos Part B-Eng,TiO2-alginate Composite Aerogels As Novel Oil/Water Separation And Wastewater Remediation Filters,70,10.1016/j.compositesb.2018.12.097,https://w3id.org/oc/meta/br/0670327400,year_and_doi
ref_12,J Mater Chem A,"A Self-Roughened And Biodegradable Superhydrophobic Coating With UV Shielding, Solar-Induced Self-Healing And Versatile Oil–Water Separation Ability",70,10.1039/c8ta10869b,https://w3id.org/oc/meta/br/06140487307,year_and_doi
ref_13,Adv Mater,Super-Hydrophobic Surfaces: From Natural To Artificial,70,10.1002/adma.200290020,https://w3id.org/oc/meta/br/061902606931,year_and_doi
ref_14,ACS Sustain Chem Eng,Mussel Adhesive-Inspired Design Of Superhydrophobic Nanofibrillated Cellulose Aerogels For Oil/Water Separation,70,10.1021/acssuschemeng.8b01397,https://w3id.org/oc/meta/br/061102403408,year_and_doi
ref_15,Compos Commun,Radiation Crosslinked Magnetized Wax (PE/Fe3O4) Nano Composite For Selective Oil Adsorption,70,10.1016/j.coco.2016.12.001,https://w3id.org/oc/meta/br/062101308458,year_and_doi
ref_16,ACS Appl Mater Interfaces,Functionalization Of Biodegradable PLA Nonwoven Fabric As Superoleophilic And Superhydrophobic Material For Efficient Oil Absorption And Oil/Water Separation,70,10.1021/acsami.6b13547,https://w3id.org/oc/meta/br/06803095998,year_and_doi
ref_17,J Mater Chem A,Simple One-Pot Approach Toward Robust And Boiling-Water Resistant Superhydrophobic Cotton Fabric And The Application In Oil/Water Separation,70,10.1039/c7ta05599d,https://w3id.org/oc/meta/br/06170493118,year_and_doi
ref_18,J Mater Chem A,Oil/water Separation Techniques: A Review Of Recent Progresses And Future Directions,70,10.1039/c7ta02070h,https://w3id.org/oc/meta/br/06180496603,year_and_doi
ref_19,Fiber Polym,Highly Durable And Robust Superhydrophobic/Superoleophilic Cotton Fabric With Well-designed Roughness For Oil/Water Separation,70,10.1007/s12221-018-8150-y,https://w3id.org/oc/meta/br/062202097224,year_and_doi
ref_20,J Mater Chem A,"Robust Superhydrophobic TiO2@fabrics For UV Shielding, Self-Cleaning And Oil–Water Separation",65,10.1039/c4ta05332j,https://w3id.org/oc/meta/br/06250492347,year_and_doi
ref_21,ACS Sustain Chem Eng,Full-Biobased Nanofiber Membranes Toward Decontamination Of Wastewater Containing Multiple Pollutants,70,10.1021/acssuschemeng.8b01996,https://w3id.org/oc/meta/br/061102403194,year_and_doi
ref_22,Nanomed-Nanotechnol,Biodegradation Of The ZnO:Eu Nanoparticles In The Tissues Of Adult Mouse After Alimentary Application,70,10.1016/j.nano.2016.11.002,https://w3id.org/oc/meta/br/062501747359,year_and_doi
ref_23,ACS Appl Mater Interfaces,Robust Fluorine-Free And Self-Healing Superhydrophobic Coatings By H3BO3 Incorporation With SiO2–Alkyl-Silane@PDMS On Cotton Fabric,70,10.1021/acsami.8b20651,https://w3id.org/oc/meta/br/062402675347,year_and_doi
ref_24,Phys Chem Chem Phys,Correction: One-step Fabrication Of Robust Fabrics With Both-Faced Superhydrophobicity For The Separation And Capture Of Oil From Water,70,10.1039/c5cp90057c,https://w3id.org/oc/meta/br/0670508263,year_and_doi
ref_25,Chem Eng J,Intelligent Self-Healing Superhydrophobic Modification Of Cotton Fabrics Via Surface-Initiated ARGET ATRP Of Styrene,70,10.1016/j.cej.2017.04.080,https://w3id.org/oc/meta/br/062101870730,year_and_doi
ref_26,Compos Commun,The Poly(Vinyl Alcohol-Co-Ethylene) Nanofiber/Silica Coated Composite Membranes For Oil/Water And Oil-In-Water Emulsion Separation,70,10.1016/j.coco.2018.01.001,https://w3id.org/oc/meta/br/062101308400,year_and_doi
ref_27,Cellulose,"Electrodes Based On Cellulose Nanofibers/Carbon Nanotubes Networks, Polyaniline Nanowires And Carbon Cloth For Supercapacitors",70,10.1088/2053-1591/aaf3d8,https://w3id.org/oc/meta/br/062202632860,author_title
ref_28,New J Chem,A Hierarchical Functionalized Biodegradable PLA Electrospun Nanofibrous Membrane With Superhydrophobicity And Antibacterial Properties For Oil/Water Separation,70,10.1039/c8nj03112f,https://w3id.org/oc/meta/br/06501077449,year_and_doi
ref_29,Small,Sequential Measurements Of Serum Matrix Metalloproteinase 9 To Monitor Chemotherapy Responses In Patients With Advanced Non-Small-Cell Lung Cancer,70,10.2147/ott.s102351,https://w3id.org/oc/meta/br/061802215417,author_title
ref_30,Carbohydr Polym,Fabrication And Evaluation Of Nanocellulose Sponge For Oil/Water Separation,70,10.1016/j.carbpol.2018.02.066,https://w3id.org/oc/meta/br/0630160135,year_and_doi
ref_31,Int J Biol Macromol,Fabrication Of Novel chitosan/PAN/magnetic ZSM-5 Zeolite Coated Sponges For Absorption Of Oil From Water Surfaces,70,10.1016/j.ijbiomac.2017.07.050,https://w3id.org/oc/meta/br/06140410748,year_and_doi
ref_32,ACS Appl Mater Interfaces,Asymmetric Superhydrophobic/Superhydrophilic Cotton Fabrics Designed By Spraying Polymer And Nanoparticles,65,10.1021/acsami.5b09782,https://w3id.org/oc/meta/br/061402664129,year_and_doi
ref_33,ACS Sustain Chem Eng,Biodegradable PLA Nonwoven Fabric With Controllable Wettability For Efficient Water Purification And Photocatalysis Degradation,70,10.1021/acssuschemeng.7b03897,https://w3id.org/oc/meta/br/061202386270,year_and_doi
ref_34,New J Chem,Fabrication Of Durable Superhydrophobic Coatings On Cotton Fabrics With Photocatalytic Activity By Fluorine-Free Chemical Modification For Dual-Functional Water Purification,70,10.1039/c7nj01042g,https://w3id.org/oc/meta/br/06801070150,year_and_doi
ref_35,ACS Sustain Chem Eng,Superhydrophobic Shish-kebab Membrane With Self-Cleaning And Oil/Water Separation Properties,70,10.1021/acssuschemeng.8b01047,https://w3id.org/oc/meta/br/061102403342,year_and_doi
ref_36,Chem Soc Rev,Biomimetic Super-Lyophobic And Super-Lyophilic Materials Applied For Oil/Water Separation: A New Strategy Beyond Nature,70,10.1039/c4cs00220b,https://w3id.org/oc/meta/br/06303283582,year_and_doi
ref_37,J Ind Eng Chem,Hydrothermal Fabrication Of Robustly Superhydrophobic Cotton Fibers For Efficient Separation Of Oil/Water Mixtures And Oil-In-Water Emulsions,70,10.1016/j.jiec.2017.05.031,https://w3id.org/oc/meta/br/06802756226,year_and_doi
ref_38,Ind Crop Prod,Robustly Superhydrophobic/Superoleophilic Kapok Fiber With ZnO Nanoneedles Coating: Highly Efficient Separation Of Oil Layer In Water And Capture Of Oil Droplets In Oil-In-Water Emulsions,70,10.1016/j.indcrop.2017.06.059,https://w3id.org/oc/meta/br/06603487135,year_and_doi
ref_39,Appl Mater Today,Continuous Fabrication Of Polymer Microfiber Bundles With Interconnected Microchannels For Oil/Water Separation,70,10.1016/j.apmt.2017.05.007,https://w3id.org/oc/meta/br/06180822174,year_and_doi
