reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,Biochemical Differentiation of Mycobacterium Tuberculosis grown in vivo and in vitro,Biochemical Differentiation Of Mycobacterium Tuberculosis Grown In Vivo And In Vitro,70,10.1128/jb.72.2.132-141.1956,https://w3id.org/oc/meta/br/061080250,author_title
ref_4,Intracellular mycobacterium tuberculosis exploits Host-derived fatty acids to limit metabolic stress,Intracellular Mycobacterium Tuberculosis Exploits Host-derived Fatty Acids To Limit Metabolic Stress,70,10.1074/jbc.m112.445056,https://w3id.org/oc/meta/br/0615087430,author_title
ref_6,Cholesterol catabolism as a therapeutic target in Mycobacterium tuberculosis,Cholesterol Catabolism As A Therapeutic Target In Mycobacterium Tuberculosis,70,10.1016/j.tim.2011.07.009,https://w3id.org/oc/meta/br/06110207989,author_title
ref_8,Cholesterol catabolism by mycobacterium tuberculosis requires transcriptional and metabolic adaptations,Cholesterol Catabolism By Mycobacterium Tuberculosis Requires Transcriptional And Metabolic Adaptations,70,10.1016/j.chembiol.2011.12.016,https://w3id.org/oc/meta/br/06501344856,author_title
ref_9,Catabolism of the last two steroid rings in mycobacterium tuberculosis and other bacteria,Catabolism Of The Last Two Steroid Rings In Mycobacterium Tuberculosis And Other Bacteria,70,10.1128/mbio.00321-17,https://w3id.org/oc/meta/br/06901099018,author_title
ref_10,Role of the methylcitrate cycle in propionate metabolism and detoxification in Mycobacterium smegmatis,Role Of The Methylcitrate Cycle In Propionate Metabolism And Detoxification In Mycobacterium Smegmatis,70,10.1099/mic.0.2007/011726-0,https://w3id.org/oc/meta/br/0640588559,author_title
ref_11,Methylcitrate cycle defines the bactericidal essentiality of isocitrate lyase for survival of Mycobacterium tuberculosis on fatty acids,Methylcitrate Cycle Defines The Bactericidal Essentiality Of Isocitrate Lyase For Survival Of Mycobacterium Tuberculosis On Fatty Acids,70,10.1073/pnas.1400390111,https://w3id.org/oc/meta/br/062403048680,author_title
ref_12,"Role of the methylcitrate cycle in Mycobacterium tuberculosis metabolism, intracellular growth, and virulence","Role Of The Methylcitrate Cycle In Mycobacterium Tuberculosis Metabolism, Intracellular Growth, And Virulence",70,10.1111/j.1365-2958.2006.05155.x,https://w3id.org/oc/meta/br/062502215798,author_title
ref_13,Dual role of isocitrate lyase 1 in the glyoxylate and methylcitrate cycles in Mycobacterium tuberculosis,Dual Role Of Isocitrate Lyase 1 In The Glyoxylate And Methylcitrate Cycles In Mycobacterium Tuberculosis,70,10.1111/j.1365-2958.2006.05297.x,https://w3id.org/oc/meta/br/062502215670,author_title
ref_15,A novel role of the PrpR as a transcription factor involved in the regulation of methylcitrate pathway in Mycobacterium tuberculosis,A Novel Role Of The PrpR As A Transcription Factor Involved In The Regulation Of Methylcitrate Pathway In Mycobacterium Tuberculosis,70,10.1371/journal.pone.0043651,https://w3id.org/oc/meta/br/06601531121,author_title
ref_16,Genome sequencing of 161 Mycobacterium tuberculosis isolates from China identifies genes and intergenic regions associated with drug resistance,Genome Sequencing Of 161 Mycobacterium Tuberculosis Isolates From China Identifies Genes And Intergenic Regions Associated With Drug Resistance,70,10.1038/ng.2735,https://w3id.org/oc/meta/br/06603013160,author_title
ref_17,Clinically prevalent mutations in Mycobacterium tuberculosis alter propionate metabolism and mediate multidrug tolerance,Clinically Prevalent Mutations In Mycobacterium Tuberculosis Alter Propionate Metabolism And Mediate Multidrug Tolerance,70,10.1038/s41564-018-0218-3,https://w3id.org/oc/meta/br/0620836986,author_title
ref_18,"Molecular characterization of PrpR, the transcriptional activator of propionate catabolism in Corynebacterium glutamicum","Molecular Characterization Of PrpR, The Transcriptional Activator Of Propionate Catabolism In Corynebacterium Glutamicum",70,10.1016/j.jbiotec.2011.09.009,https://w3id.org/oc/meta/br/0660795754,author_title
ref_24,Role of the transcriptional regulator RamB (Rv0465c) in the control of the glyoxylate cycle in mycobacterium tuberculosis,Role Of The Transcriptional Regulator RamB (Rv0465c) In The Control Of The Glyoxylate Cycle In Mycobacterium Tuberculosis,70,10.1128/jb.01009-09,https://w3id.org/oc/meta/br/0612077318,author_title
ref_26,Transcriptional regulation by the short-chain fatty Acyl coenzyme A regulator (ScfR) PccR controls propionyl coenzyme A assimilation by Rhodobacter sphaeroides,Transcriptional Regulation By The Short-Chain Fatty Acyl Coenzyme A Regulator (ScfR) PccR Controls Propionyl Coenzyme A Assimilation By Rhodobacter Sphaeroides,70,10.1128/jb.00402-15,https://w3id.org/oc/meta/br/067081208,author_title
