reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_3,The influence of C2C communications in online brand communities on customer purchase behavior,The Influence Of C2C Communications In Online Brand Communities On Customer Purchase Behavior,65,10.1007/s11747-009-0178-5,https://w3id.org/oc/meta/br/062601212911,author_title
ref_4,The impact of customer community participation on customer behaviors: An empirical investigation,The Impact Of Customer Community Participation On Customer Behaviors: An Empirical Investigation,70,10.1287/mksc.1090.0555,https://w3id.org/oc/meta/br/062602890429,author_title
ref_5,Relationship marketing and brand involvement of professionals through web-enhanced brand communities: The case of Coloplast,Relationship Marketing And Brand Involvement Of Professionals Through Web-Enhanced Brand Communities: The Case Of Coloplast,70,10.1016/j.indmarman.2004.07.007,https://w3id.org/oc/meta/br/06110233308,author_title
ref_6,Customer satisfaction and loyalty in e-markets: A PLS path modeling approach,Customer Satisfaction And Loyalty In E-Markets: A PLS Path Modeling Approach,70,10.2753/mtp1069-6679190207,https://w3id.org/oc/meta/br/0630276218,author_title
ref_7,The use of pledges to build and sustain commitment in distribution channels,The Use Of Pledges To Build And Sustain Commitment In Distribution Channels,70,10.1177/002224379202900103,https://w3id.org/oc/meta/br/061403303776,author_title
ref_8,Antecedents and purchase consequences of customer participation in small group brand communities,Antecedents And Purchase Consequences Of Customer Participation In Small Group Brand Communities,70,10.1016/j.ijresmar.2006.01.005,https://w3id.org/oc/meta/br/0670149671,author_title
ref_9,Research note—The impact of community commitment on participation in online communities,Research Note—The Impact Of Community Commitment On Participation In Online Communities,70,10.1287/isre.1090.0265,https://w3id.org/oc/meta/br/062401013760,author_title
ref_10,Building customer relations over the internet,Building Customer Relations Over The Internet,70,10.1016/s0019-8501(01)00186-9,https://w3id.org/oc/meta/br/0680232235,author_title
ref_11,Understanding information systems continuance: An expectation-confirmation model,Understanding Information Systems Continuance: An Expectation-Confirmation Model,70,10.2307/3250921,https://w3id.org/oc/meta/br/062201284651,author_title
ref_15,Implications of loyalty program membership and service experiences for customer retention and value,Implications Of Loyalty Program Membership And Service Experiences For Customer Retention And Value,70,10.1177/0092070300281009,https://w3id.org/oc/meta/br/061701202977,author_title
ref_16,Social support: An introduction to a complex phenomenon,Social Support: An Introduction To A Complex Phenomenon,70,10.1111/j.1540-4560.1984.tb01104.x,https://w3id.org/oc/meta/br/0610153948,author_title
ref_17,Contracts as cornerstones in relationship building,Contracts As Cornerstones In Relationship Building,70,10.1108/17566691211269549,https://w3id.org/oc/meta/br/062302699956,author_title
ref_19,Understanding the sustainability of a virtual community: Model development and empirical test,Understanding The Sustainability Of A Virtual Community: Model Development And Empirical Test,70,10.1177/0165551508099088,https://w3id.org/oc/meta/br/062401169015,author_title
ref_20,Relationship quality in services selling: An interpersonal influence perspective,Relationship Quality In Services Selling: An Interpersonal Influence Perspective,70,10.1177/002224299005400306,https://w3id.org/oc/meta/br/06703722900,author_title
ref_25,Customer loyalty: Toward an integrated conceptual framework,Customer Loyalty: Toward An Integrated Conceptual Framework,70,10.1177/0092070394222001,https://w3id.org/oc/meta/br/061801199007,author_title
ref_26,Loyalty programmes: Current knowledge and research directions,Loyalty Programmes: Current Knowledge And Research Directions*,65,10.1111/j.1468-2370.2011.00314.x,https://w3id.org/oc/meta/br/06170884802,author_title
ref_27,Not all responses to breach are the same: The interconnection of social exchange and psychological contract processes in organizations,Not All Responses To Breach Are The Same: The Interconnection Of Social Exchange And Psychological Contract Processes In Organizations,70,10.5465/amj.2008.35732596,https://w3id.org/oc/meta/br/0610546114,author_title
ref_28,Evaluating structural equation models with unobservable variables and measurement error,Evaluating Structural Equation Models With Unobservable Variables And Measurement Error,70,10.1177/002224378101800104,https://w3id.org/oc/meta/br/061503328042,author_title
ref_29,"Gratitude, like other positive emotions, broadens and builds","Gratitude, Like Other Positive Emotions, Broadens And Builds",70,10.1093/acprof:oso/9780195150100.003.0008,https://w3id.org/oc/meta/br/061802982716,author_title
ref_30,The persuasion knowledge model: How people cope with persuasion attempts,The Persuasion Knowledge Model: How People Cope With Persuasion Attempts,70,10.1086/209380,https://w3id.org/oc/meta/br/062103085155,author_title
ref_31,Customer loyalty in e-commerce,Customer Loyalty In E-Commerce,70,10.17705/1jais.00022,https://w3id.org/oc/meta/br/062502618339,author_title
ref_32,Trust and TAM in online shopping: An integrated model,Trust And TAM In Online Shopping: An Integrated Model,70,10.2307/30036519,https://w3id.org/oc/meta/br/062201284360,author_title
ref_33,Sunken costs and desired plans: Examining different types of investments in close relationships,Sunken Costs And Desired Plans: Examining Different Types Of Investments In Close Relationships,70,10.1177/0146167208323743,https://w3id.org/oc/meta/br/061601199982,author_title
ref_34,To have and to hold: Gratitude promotes relationship maintenance in intimate bonds,To Have And To Hold: Gratitude Promotes Relationship Maintenance In Intimate Bonds.,70,10.1037/a0028723,https://w3id.org/oc/meta/br/0632038000,author_title
ref_35,The norm of reciprocity: A preliminary statement,The Norm Of Reciprocity: A Preliminary Statement,70,10.2307/2092623,https://w3id.org/oc/meta/br/06202989924,author_title
ref_36,Seeing relationships through the lens of psychological contracts: The structure of consumer service relationships,Seeing Relationships Through The Lens Of Psychological Contracts: The Structure Of Consumer Service Relationships,50,10.1007/s11747-015-0462-5,https://w3id.org/oc/meta/br/06901199230,author_title
ref_39,Review of the theoretical underpinnings of loyalty programs,Review Of The Theoretical Underpinnings Of Loyalty Programs,70,10.1016/j.jcps.2011.02.007,https://w3id.org/oc/meta/br/06903143243,author_title
ref_40,"Online satisfaction, trust and loyalty, and the impact of the offline parent brand","Online Satisfaction, Trust And Loyalty, And The Impact Of The Offline Parent Brand",70,10.1108/10610420810904149,https://w3id.org/oc/meta/br/06220676581,author_title
ref_42,The influence of relationship marketing investments on customer gratitude in retailing,The Influence Of Relationship Marketing Investments On Customer Gratitude In Retailing,70,10.1016/j.jbusres.2014.12.001,https://w3id.org/oc/meta/br/0690295140,author_title
ref_45,Brand loyalty vs. repeat purchasing behavior,Brand Loyalty Vs. Repeat Purchasing Behavior,70,10.2307/3149402,https://w3id.org/oc/meta/br/061603334903,author_title
ref_46,Understanding and resolving major contractual breaches in buyer–seller relationships: A grounded theory approach,Understanding And Resolving Major Contractual Breaches In Buyer–Seller Relationships: A Grounded Theory Approach,65,10.1007/s11747-015-0427-8,https://w3id.org/oc/meta/br/062601205645,author_title
ref_47,"Users of the world, unite! The challenges and opportunities of social media","Users Of The World, Unite! The Challenges And Opportunities Of Social Media",70,10.1016/j.bushor.2009.09.003,https://w3id.org/oc/meta/br/06301062530,author_title
ref_48,Customer loyalty in e-commerce settings: An empirical study,Customer Loyalty In e-Commerce Settings: An Empirical Study,70,10.1080/10196780802265843,https://w3id.org/oc/meta/br/061302597032,author_title
ref_49,It takes a marketplace community to raise brand commitment: The role of online communities,It Takes A Marketplace Community To Raise Brand Commitment: The Role Of Online Communities,70,10.1362/026725708x306167,https://w3id.org/oc/meta/br/062501186275,author_title
