reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,Electrochemical detection for paper-based microfluidics,Electrochemical Detection For Paper-Based Microfluidics,70,10.1021/ac9007573,https://w3id.org/oc/meta/br/06801001071,author_title
ref_3,Paper-based maskless enzymatic sensor for glucose determination combining ink and wire electrodes,Paper-based Maskless Enzymatic Sensor For Glucose Determination Combining Ink And Wire Electrodes,70,10.1016/j.bios.2016.11.008,https://w3id.org/oc/meta/br/0644045184,author_title
ref_5,"Wire, mesh, and fiber electrodes for paper-based electroanalytical devices","Wire, Mesh, And Fiber Electrodes For Paper-Based Electroanalytical Devices",70,10.1021/ac5004294,https://w3id.org/oc/meta/br/06240971528,author_title
ref_6,"Thin, lightweight, foldable thermochromic displays on paper","Thin, Lightweight, Foldable Thermochromic Displays On Paper",70,10.1039/b905832j,https://w3id.org/oc/meta/br/06140180362,author_title
ref_8,Highly efficient laser scribed graphene electrodes for on-chip electrochemical sensing applications,Highly Efficient Laser Scribed Graphene Electrodes For On-Chip Electrochemical Sensing Applications,70,10.1002/aelm.201600185,https://w3id.org/oc/meta/br/062502015939,author_title
ref_9,A review of sulphites in foods: analytical methodology and reported findings,A Review Of Sulphites In Foods: Analytical Methodology And Reported Findings,70,10.1080/02652039009373907,https://w3id.org/oc/meta/br/0660333285,author_title
ref_10,"Sulfites in beer: reviewing regulation, analysis and role","Sulfites In Beer: Reviewing Regulation, Analysis And Role",70,10.1590/0103-9016-2015-0290,https://w3id.org/oc/meta/br/06170648574,author_title
ref_11,Clinical effects of sulphite additives,Clinical Effects Of Sulphite Additives,70,10.1111/j.1365-2222.2009.03362.x,https://w3id.org/oc/meta/br/06190889145,author_title
ref_12,"Comparative sulfite assay by voltammetry using Pt electrodes, photometry and titrimetry: application to cider, vinegar and sugar analysis","Comparative Sulfite Assay By Voltammetry Using Pt Electrodes, Photometry And Titrimetry: Application To Cider, Vinegar And Sugar Analysis",70,10.1515/chem-2018-0139,https://w3id.org/oc/meta/br/06202363049,author_title
ref_13,Electroanalytical methods for the determination of sulfite in food and beverages,Electroanalytical Methods For The Determination Of Sulfite In Food And Beverages,70,10.1016/j.trac.2006.04.001,https://w3id.org/oc/meta/br/06402771152,author_title
ref_14,Polarographic reduction of aqueous sulfur dioxide,Polarographic Reduction Of Aqueous Sulfur Dioxide,70,10.1016/s0277-5387(00)83508-1,https://w3id.org/oc/meta/br/06150732452,author_title
ref_15,The reduction of sulfurous acid (sulfur dioxide) at the dropping mercury electrode,The Reduction Of Sulfurous Acid (Sulfur Dioxide) At The Dropping Mercury Electrode,70,10.1021/ja01855a092,https://w3id.org/oc/meta/br/06601544607,author_title
ref_16,Use of a membraneless extraction module for the voltammetric determination of total sulfites in wine,Use Of A Membraneless Extraction Module For The Voltammetric Determination Of Total Sulfites In Wine,70,10.1135/cccc2009558,https://w3id.org/oc/meta/br/06190491011,author_title
ref_17,Polarographic studies with the dropping mercury kathode. Part X. The reduction of sulphurous acid,Polarographic Studies With The Dropping Mercury Kathode. Part X. The Reduction Of Sulphurous Acid,70,10.1135/cccc19300185,https://w3id.org/oc/meta/br/0660488888,author_title
ref_18,Comportement chimique et electrochimique de SO2 dans les milieux acides phosphoriques concentres,Comportement Chimique Et Electrochimique De SO2 Dans Les Milieux Acides Phosphoriques Concentres,70,10.1016/0013-4686(85)80099-2,https://w3id.org/oc/meta/br/061701954499,author_title
ref_19,Polarographische Studie der Elektroden- und chemischen Reaktionen des Systems schwefelige Säure-Dithionige Säure II. Polarographisches verhalten der schwefeligen Säure,Polarographische Studie Der Elektroden- Und Chemischen Reaktionen Des Systems Schwefelige Säure-Dithionige Säure II. Polarographisches Verhalten Der Schwefeligen Säure,70,10.1135/cccc19581871,https://w3id.org/oc/meta/br/0670487397,author_title
ref_20,Electrochemical reduction of sulfur dioxide at a mercury electrode,Electrochemical Reduction Of Sulfur Dioxide At A Mercury Electrode,70,10.1016/0022-0728(67)85022-8,https://w3id.org/oc/meta/br/06190338546,author_title
ref_22,Determination of free and total sulfites in wine using an automatic flow injection analysis system with voltammetric detection,Determination Of Free And Total Sulfites In Wine Using An Automatic Flow Injection Analysis System With Voltammetric Detection,70,10.1080/19440040903261547,https://w3id.org/oc/meta/br/061801882457,author_title
ref_23,"Simultaneous determination of ethanethiol, inorganic sulfide, and sulfite in wines by cathodic stripping voltammetry","Simultaneous Determination Of Ethanethiol, Inorganic Sulfide, And Sulfite In Wines By Cathodic Stripping Voltammetry",65,10.1007/s12161-016-0640-1,https://w3id.org/oc/meta/br/062101253162,author_title
ref_25,In situ spectroscopic determination of faradaic efficiencies in systems with forced convection under steady state: electroreduction of bisulfite to dithionite on gold in an aqueous electrolyte,In Situ Spectroscopic Determination Of Faradaic Efficiencies In Systems With Forced Convection Under Steady State: Electroreduction Of Bisulfite To Dithionite On Gold In An Aqueous Electrolyte,70,10.1021/ac970697f,https://w3id.org/oc/meta/br/06501006484,author_title
ref_26,Determination of total sulphur dioxide in beer samples by flow-through chronopotentiometry,Determination Of Total Sulphur Dioxide In Beer Samples By Flow-Through Chronopotentiometry,70,10.1002/j.2050-0416.2006.tb00736.x,https://w3id.org/oc/meta/br/06702583425,author_title
ref_27,Voltammetric behaviour of irreversibly adsorbed SO2 on a Pt(111) electrode in sulphuric acid medium,Voltammetric Behaviour Of Irreversibly Adsorbed SO2 On A Pt(111) Electrode In Sulphuric Acid Medium,70,10.1016/0022-0728(93)03261-m,https://w3id.org/oc/meta/br/06103127572,author_title
ref_28,Electrochemical oxidation of sulphite in neutral media on platinum anode,Electrochemical Oxidation Of Sulphite In Neutral Media On Platinum Anode,70,10.20964/2018.05.07,https://w3id.org/oc/meta/br/061602012250,author_title
ref_29,Cathodic reduction of bisulfite and sulfur dioxide in aqueous solutions on copper electrodes: an electrochemical ESR study,Cathodic Reduction Of Bisulfite And Sulfur Dioxide In Aqueous Solutions On Copper Electrodes: An Electrochemical ESR Study,70,10.1021/jp058119n,https://w3id.org/oc/meta/br/0630637445,author_title
ref_30,Determination of sulphur dioxide by flow injection analysis with amperometric detection,Determination Of Sulphur Dioxide By Flow Injection Analysis With Amperometric Detection,70,10.1016/s0003-2670(00)84490-6,https://w3id.org/oc/meta/br/06140985735,author_title
ref_31,Determination of free sulphur dioxide in red wine by alternating current voltammetry,Determination Of Free Sulphur Dioxide In Red Wine By Alternating Current Voltammetry,70,10.1039/an9911600253,https://w3id.org/oc/meta/br/06902800874,author_title
ref_32,Determination of sulfite in wine by linear sweep voltammetry,Determination Of Sulfite In Wine By Linear Sweep Voltammetry,70,10.1002/elan.200704070,https://w3id.org/oc/meta/br/062601940431,author_title
ref_33,Carbon nanotubes for voltammetric determination of sulphite in some beverages,Carbon Nanotubes For Voltammetric Determination Of Sulphite In Some Beverages,70,10.1016/j.foodchem.2014.10.106,https://w3id.org/oc/meta/br/06103478307,author_title
ref_34,Simultaneous electrochemical sensing of sulphite and nitrite on acid-functionalized multi-walled carbon nanotubes modified electrodes,Simultaneous Electrochemical Sensing Of Sulphite And Nitrite On Acid-Functionalized Multi-Walled Carbon Nanotubes Modified Electrodes,70,10.1016/j.jallcom.2018.03.287,https://w3id.org/oc/meta/br/061501292270,author_title
ref_37,A modified screen printed electrode based on La3+-doped Co3O4 nanocubes for determination of sulfite in real samples,A Modified Screen Printed Electrode Based On La3+-doped Co3O4 Nanocubes For Determination Of Sulfite In Real Samples,70,10.1016/j.microc.2019.03.031,https://w3id.org/oc/meta/br/06230756518,author_title
ref_38,Amperometric sensing of sulfite using a gold electrode coated with ordered mesoporous carbon modified with nickel hexacyanoferrate,Amperometric Sensing Of Sulfite Using A Gold Electrode Coated With Ordered Mesoporous Carbon Modified With Nickel Hexacyanoferrate,70,10.1016/j.jelechem.2017.11.070,https://w3id.org/oc/meta/br/06603110173,author_title
ref_40,Electrocatalytic oxidation of sulfite on a cobalt pentacyanonitrosylferrate film modified glassy carbon electrode,Electrocatalytic Oxidation Of Sulfite On A Cobalt Pentacyanonitrosylferrate Film Modified Glassy Carbon Electrode,70,10.1002/elan.200302895,https://w3id.org/oc/meta/br/06302291647,author_title
ref_41,Electrocatalytic reduction of sulfur dioxide by iron phthalocyanine monolayer in acidic conditions,Electrocatalytic Reduction Of Sulfur Dioxide By Iron Phthalocyanine Monolayer In Acidic Conditions,70,10.1246/cl.2002.648,https://w3id.org/oc/meta/br/06902031585,author_title
