reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_3,SIAM J Optim,A Cutting Plane Approach To The Sequential Ordering Problem (With Applications To Job Scheduling In Manufacturing),70,10.1137/0803002,https://w3id.org/oc/meta/br/061902185059,author_title
ref_5,Eur J Oper Res,A Survey Of Berth Allocation And Quay Crane Scheduling Problems In Container Terminals,70,10.1016/j.ejor.2009.05.031,https://w3id.org/oc/meta/br/06260239306,author_title
ref_6,Eur J Oper Res,A Follow-Up Survey Of Berth Allocation And Quay Crane Scheduling Problems In Container Terminals,70,10.1016/j.ejor.2014.12.030,https://w3id.org/oc/meta/br/06230228658,author_title
ref_7,J Sched,Complexity Results For Parallel Machine Problems With A Single Server,70,10.1002/jos.120,https://w3id.org/oc/meta/br/062103121099,author_title
ref_8,Eur J Oper Res,Complexity Results For Flow-Shop Problems With A Single Server,70,10.1016/j.ejor.2004.04.010,https://w3id.org/oc/meta/br/0630222031,author_title
ref_9,SIAM Rev,Well-Solvable Special Cases Of The Traveling Salesman Problem: A Survey,70,10.1137/s0036144596297514,https://w3id.org/oc/meta/br/061303055727,author_title
ref_11,Comput Ind Eng,An Ant Colony Optimization Routing Algorithm For Two Order Pickers With Congestion Consideration,70,10.1016/j.cie.2013.06.013,https://w3id.org/oc/meta/br/062101291138,author_title
ref_13,Transp Res B,The Crane Scheduling Problem,70,10.1016/0191-2615(89)90001-5,https://w3id.org/oc/meta/br/06180404873,author_title
ref_14,Comput Oper Res,Efficient Order Processing In An Inverse Order Picking System,70,10.1016/j.cor.2017.07.005,https://w3id.org/oc/meta/br/06140166001,author_title
ref_16,Math Oper Res,The Complexity Of Flowshop And Jobshop Scheduling,70,10.1287/moor.1.2.117,https://w3id.org/oc/meta/br/06902715204,author_title
ref_17,Oper Res,Sequencing A One State-Variable Machine: A Solvable Case Of The Traveling Salesman Problem,70,10.1287/opre.12.5.655,https://w3id.org/oc/meta/br/06170754551,author_title
ref_18,Naval Res Logist,Scheduling For Parallel Dedicated Machines With A Single Server,70,10.1002/(sici)1520-6750(200006)47:4<304::aid-nav3>3.0.co;2-1,https://w3id.org/oc/meta/br/061602459007,author_title
ref_19,Ann Discrete Math,Optimization And Approximation In Deterministic Sequencing And Scheduling: A Survey,70,10.1016/s0167-5060(08)70356-x,https://w3id.org/oc/meta/br/061503246593,author_title
ref_20,IIE Trans,The Effects Of Pick Density On Order Picking Areas With Narrow Aisles,70,10.1080/07408170600809341,https://w3id.org/oc/meta/br/062601230245,author_title
ref_21,Discrete Appl Math,Parallel Machine Scheduling With A Common Server,70,10.1016/s0166-218x(99)00206-1,https://w3id.org/oc/meta/br/06210252020,author_title
ref_22,Naval Res Logist,A Note On The Influence Of Missing Operations On Scheduling Problems,70,10.1002/nav.3800290316,https://w3id.org/oc/meta/br/062402180615,author_title
ref_23,Oper Res,The Traveling-Salesman Problem And Minimum Spanning Trees,70,10.1287/opre.18.6.1138,https://w3id.org/oc/meta/br/06180748983,author_title
ref_24,Eur J Oper Res,Batch Picking In Narrow-Aisle Order Picking Systems With Consideration For Picker Blocking,70,10.1016/j.ejor.2012.03.045,https://w3id.org/oc/meta/br/06240221334,author_title
ref_25,Science,Royal Academy Of Medicine In Ireland Section Of Biological Sciences,65,10.1007/bf02940233,https://w3id.org/oc/meta/br/0660942613,author_title
ref_26,Comput Oper Res,An Effective Hybrid PSO-based Algorithm For Flow Shop Scheduling With Limited Buffers,70,10.1016/j.cor.2006.12.013,https://w3id.org/oc/meta/br/06160170943,author_title
ref_28,Omega,MICROMEGAS Detectors In The CAST Experiment,65,10.1088/1748-0221/5/01/p01009,https://w3id.org/oc/meta/br/06220502141,author_title
ref_34,Oper Res,Beam-Recoil Polarization Measurement Of Π0 Electroproduction On The Proton In The Region Of The Roper Resonance,50,10.1103/physrevlett.119.022001,https://w3id.org/oc/meta/br/06502448383,author_title
ref_35,Comput Oper Res,Scheduling A Hybrid Flowshop With Batch Production At The Last Stage,70,10.1016/j.cor.2005.10.014,https://w3id.org/oc/meta/br/06170167694,author_title
