reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,Evol Comput,HypE: An Algorithm For Fast Hypervolume-Based Many-Objective Optimization,70,10.1162/evco_a_00009,https://w3id.org/oc/meta/br/061101483807,author_title
ref_3,Eur J Oper Res,SMS-EMOA: Multiobjective Selection Based On Dominated Hypervolume,70,10.1016/j.ejor.2006.08.008,https://w3id.org/oc/meta/br/0620220539,author_title
ref_5,Manag Sci,Selecting A Selection Procedure,70,10.1287/mnsc.1070.0721,https://w3id.org/oc/meta/br/06901992874,author_title
ref_8,,A New Myopic Sequential Sampling Algorithm For Multi-Objective Problems,70,10.1109/wsc.2015.7408518,https://w3id.org/oc/meta/br/06602911962,author_title
ref_10,Manag Sci,A Multiple Attribute Utility Theory Approach To Ranking And Selection,70,10.1287/mnsc.47.6.800.9812,https://w3id.org/oc/meta/br/061101983031,author_title
ref_11,,Simulation Optimization: A Tutorial Overview And Recent Developments In Gradient-Based Methods,70,10.1109/wsc.2014.7019875,https://w3id.org/oc/meta/br/06202960241,author_title
ref_14,Oper Res,New Two-Stage And Sequential Procedures For Selecting The Best Simulated System,70,10.1287/opre.49.5.732.10615,https://w3id.org/oc/meta/br/06220747041,author_title
ref_15,Oper Res,Selection Procedures With Frequentist Expected Opportunity Cost Bounds,70,10.1287/opre.1040.0187,https://w3id.org/oc/meta/br/06210748759,author_title
ref_16,INFORMS J Comput,Sequential Sampling To Myopically Maximize The Expected Value Of Information,70,10.1287/ijoc.1090.0327,https://w3id.org/oc/meta/br/0680834618,author_title
ref_17,Optimal statistical decisions,Optimal Statistical Decisions,65,10.1002/0471729000,https://w3id.org/oc/meta/br/061303304201,author_title
ref_18,ACM Trans Model Comput Simul (TOMACS),SCORE Allocations For Bi-objective Ranking And Selection,70,10.1145/3158666,https://w3id.org/oc/meta/br/0690695430,author_title
ref_19,,Multi-objective Simulation Optimization On Finite Sets: Optimal Allocation Via Scalarization,70,10.1109/wsc.2015.7408520,https://w3id.org/oc/meta/br/06602911876,author_title
ref_20,Oper Res,A Fully Sequential Elimination Procedure For Indifference-Zone Ranking And Selection With Tight Bounds On Probability Of Correct Selection,70,10.1287/opre.2014.1282,https://w3id.org/oc/meta/br/06150754007,author_title
ref_22,,Guessing Preferences: A New Approach To Multi-Attribute Ranking And Selection,70,10.1109/wsc.2011.6148119,https://w3id.org/oc/meta/br/061603004901,author_title
ref_23,INFORMS J Comput,Simulation Allocation For Determining The Best Design In The Presence Of Correlated Sampling,70,10.1287/ijoc.1050.0141,https://w3id.org/oc/meta/br/06110828076,author_title
ref_24,,Some Topics For Simulation Optimization,70,10.1109/wsc.2008.4736053,https://w3id.org/oc/meta/br/062603251047,author_title
ref_25,Multi-armed bandit allocation indices,Multi-Armed Bandit Allocation Indices,50,10.2307/2582928,https://w3id.org/oc/meta/br/062402165284,author_title
ref_27,,Optimal Sampling Laws For Bi-Objective Simulation Optimization On Finite Sets,70,10.1109/wsc.2015.7408532,https://w3id.org/oc/meta/br/06702893853,author_title
ref_28,INFORMS J Comput,Optimal Sampling Laws For Stochastically Constrained Simulation Optimization On Finite Sets,70,10.1287/ijoc.1120.0519,https://w3id.org/oc/meta/br/0680834442,author_title
ref_29,ACM Trans Model Comput Simul,An Introduction To Multiobjective Simulation Optimization,70,10.1145/3299872,https://w3id.org/oc/meta/br/0690695397,author_title
ref_30,Decisions with multiple objectives: preferences and value trade-offs,Decisions With Multiple Objectives: Preferences And Value Trade-Offs,50,10.1109/tsmc.1979.4310245,https://w3id.org/oc/meta/br/062103313459,author_title
ref_31,,Chapter 17 Selecting The Best System,70,10.1016/s0927-0507(06)13017-0,https://w3id.org/oc/meta/br/062103271926,author_title
ref_32,,Finding The Pareto Set For Multi-Objective Simulation Models By Minimization Of Expected Opportunity Cost,70,10.1109/wsc.2007.4419642,https://w3id.org/oc/meta/br/061403216853,author_title
ref_33,Automatica,Development Of Knowledge-based Method To Automatically Derive The Deformation Estimation Formula Due To Line Heating,70,10.5781/kwjs.2010.28.1.092,https://w3id.org/oc/meta/br/06602611539,author_title
ref_34,IIE Trans,Guidelines For Reporting Computational Results Iniie Transactions,50,10.1080/07408179308964335,https://w3id.org/oc/meta/br/062601230141,author_title
ref_35,,Computational Improvements In Bootstrap Ranking & Selection Procedures Via Multiple Comparison With The Best,70,10.1109/wsc.2015.7408533,https://w3id.org/oc/meta/br/06602912013,author_title
ref_36,Eur J Oper Res,Ranking And Selection For Multiple Performance Measures Using Incomplete Preference Information,70,10.1016/j.ejor.2014.10.028,https://w3id.org/oc/meta/br/06230228772,author_title
ref_39,,Handling Stochastic Constraints In Discrete Optimization Via Simulation,70,10.1109/wsc.2011.6148109,https://w3id.org/oc/meta/br/061603004623,author_title
ref_40,ACM Trans Model Comput Simul,Stochastically Constrained Ranking And Selection Via SCORE,65,10.1145/2630066,https://w3id.org/oc/meta/br/0690695516,author_title
ref_41,,Closed-form Sampling Laws For Stochastically Constrained Simulation Optimization On Large Finite Sets,70,10.1109/wsc.2012.6465141,https://w3id.org/oc/meta/br/06201969000,author_title
ref_42,Oper Res,The Knowledge Gradient Algorithm For A General Class Of Online Learning Problems,70,10.1287/opre.1110.0999,https://w3id.org/oc/meta/br/06160752227,author_title
ref_43,Proc IEEE,Taking The Human Out Of The Loop: A Review Of Bayesian Optimization,70,10.1109/jproc.2015.2494218,https://w3id.org/oc/meta/br/0660695568,author_title
ref_46,IEEE Trans Cybern,Pareto-Optimal Model Selection Via SPRINT-Race,65,10.1109/tcyb.2017.2647821,https://w3id.org/oc/meta/br/06803168648,author_title
ref_48,,SPRINT Multi-Objective Model Racing,70,10.1145/2739480.2754791,https://w3id.org/oc/meta/br/06602941505,author_title
ref_49,IEEE Trans Evol Comput,Multiobjective Evolutionary Algorithms: A Comparative Case Study And The Strength Pareto Approach,70,10.1109/4235.797969,https://w3id.org/oc/meta/br/062401837496,author_title
ref_50,IEEE Trans Evol Comput,Performance Assessment Of Multiobjective Optimizers: An Analysis And Review,70,10.1109/tevc.2003.810758,https://w3id.org/oc/meta/br/062401837408,author_title
