reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,,The Atmospheric Radiation Measurement Program,70,10.1063/1.1554135,https://w3id.org/oc/meta/br/06202172550,author_title
ref_5,,Catalyst-Free Conjugation And In Situ Quantification Of Nanoparticle Ligand Surface Density Using Fluorogenic Cu-Free Click Chemistry,70,10.1002/chem.201003131,https://w3id.org/oc/meta/br/062502007806,author_title
ref_6,,On A Derivable Formula For Long-Wave Radiation From Clear Skies,70,10.1029/wr011i005p00742,https://w3id.org/oc/meta/br/061601066851,author_title
ref_12,,Statistical Methods For Environmental Pollution Monitoring.,65,10.2307/2290180,https://w3id.org/oc/meta/br/06201498266,author_title
ref_13,,The Global Energy Balance Archive,70,10.1175/1520-0477(1999)080<0831:tgeba>2.0.co;2,https://w3id.org/oc/meta/br/062203477497,author_title
ref_20,,The Spectral Distribution Of Solar Radiation At The Earth'S Surface—Elements Of A Model,70,10.1016/0038-092x(78)90187-1,https://w3id.org/oc/meta/br/06601284284,author_title
ref_21,,A Method For Continuous Estimation Of Clear-Sky Downwelling Longwave Radiative Flux Developed Using ARM Surface Measurements,70,10.1029/2008jd009936,https://w3id.org/oc/meta/br/06220277989,author_title
ref_24,,Altitude Dependence Of Surface Radiation Fluxes And Cloud Forcing In The Alps: Results From The Alpine Surface Radiation Budget Network,70,10.1007/s007040200019,https://w3id.org/oc/meta/br/062202438575,author_title
ref_38,,Anthropogenic Greenhouse Forcing And Strong Water Vapor Feedback Increase Temperature In Europe,70,10.1029/2005gl023624,https://w3id.org/oc/meta/br/061602822355,author_title
ref_39,,A New Long-Wave Formula For Estimating Downward Clear-Sky Radiation At The Surface,70,10.1002/qj.49712253306,https://w3id.org/oc/meta/br/061601207462,author_title
ref_42,,"Aerosols, Climate, And The Hydrological Cycle",70,10.1126/science.1064034,https://w3id.org/oc/meta/br/061703512070,author_title
ref_44,,"Observed Relationship Between Surface Specific Humidity, Integrated Water Vapor, And Longwave Downward Radiation At Different Altitudes",70,10.1029/2006jd007850,https://w3id.org/oc/meta/br/06130279947,author_title
ref_49,,Trends In Surface Radiation And Cloud Radiative Effect Over Switzerland In The Past 15 Years,70,10.1063/1.4804859,https://w3id.org/oc/meta/br/06203362045,author_title
ref_55,,Homogeneity Of 20Th Century European Daily Temperature And Precipitation Series,70,10.1002/joc.906,https://w3id.org/oc/meta/br/062301347342,author_title
ref_57,,Global Dimming And Brightening: A Review,70,10.1029/2008jd011470,https://w3id.org/oc/meta/br/06190286494,author_title
ref_59,,Changes In Shortwave And Longwave Radiative Fluxes As Observed At BSRN Sites And Simulated With CMIP5 Models,65,10.1063/1.4975554,https://w3id.org/oc/meta/br/061202462426,author_title
ref_60,,Wound Infection Risk Evaluation – A New Prediction Score – WIRE,70,10.1016/j.wndm.2017.02.001,https://w3id.org/oc/meta/br/061901944662,author_title
