reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Constraints on future changes in climate and the hydrologic cycle,Constraints On Future Changes In Climate And The Hydrologic Cycle,70,10.1038/nature01092,https://w3id.org/oc/meta/br/06120352738,author_title
ref_2,Rank-sum tests for dispersions,Rank-Sum Tests For Dispersions,70,10.1214/aoms/1177705688,https://w3id.org/oc/meta/br/06901531828,author_title
ref_3,Evaluating rescaled range analysis for time series,Evaluating Rescaled Range Analysis For Time Series,70,10.1007/bf02368250,https://w3id.org/oc/meta/br/062401345326,author_title
ref_4,Adjusting measured peak discharges from an urbanizing watershed to reflect a stationary land use signal,Adjusting Measured Peak Discharges From An Urbanizing Watershed To Reflect A Stationary Land Use Signal,70,10.1029/2002wr001846,https://w3id.org/oc/meta/br/062401038293,author_title
ref_5,The small sample behavior of some statistics which test the equality of several means,The Small Sample Behavior Of Some Statistics Which Test The Equality Of Several Means,70,10.1080/00401706.1974.10489158,https://w3id.org/oc/meta/br/06201130758,author_title
ref_6,Tests for detecting a shift in the mean of hydrological time series,Tests For Detecting A Shift In The Mean Of Hydrological Time Series,70,10.1016/0022-1694(84)90032-5,https://w3id.org/oc/meta/br/06703143109,author_title
ref_8,Non-stationary extreme value analysis in a changing climate,Non-stationary Extreme Value Analysis In A Changing Climate,70,10.1007/s10584-014-1254-5,https://w3id.org/oc/meta/br/06250459532,author_title
ref_10,Multivariate hydrological frequency analysis using copulas,Multivariate Hydrological Frequency Analysis Using Copulas,70,10.1029/2003wr002456,https://w3id.org/oc/meta/br/062401037848,author_title
ref_11,Cause of severe droughts in Southwest China during 1951–2010,Cause Of Severe Droughts In Southwest China During 1951–2010,70,10.1007/s00382-013-2026-z,https://w3id.org/oc/meta/br/062101679357,author_title
ref_13,Analysis of changes in meteorological variables using Mann-Kendall and Sen's slope estimator statistical tests in Serbia,Analysis Of Changes In Meteorological Variables Using Mann-Kendall And Sen's Slope Estimator Statistical Tests In Serbia,70,10.1016/j.gloplacha.2012.10.014,https://w3id.org/oc/meta/br/061902166470,author_title
ref_14,Temporal information partitioning networks (tipnets): a process network approach to infer ecohydrologic shifts,Temporal Information Partitioning Networks (TIPNets): A Process Network Approach To Infer Ecohydrologic Shifts,70,10.1002/2016wr020218,https://w3id.org/oc/meta/br/06701058534,author_title
ref_17,Development of spatial regression models for predicting summer river temperatures from landscape characteristics: implications for land and fisheries management,Development Of Spatial Regression Models For Predicting Summer River Temperatures From Landscape Characteristics: Implications For Land And Fisheries Management,65,10.1002/hyp.11087,https://w3id.org/oc/meta/br/06503732233,author_title
ref_18,Abrupt change point detection of annual maximum precipitation using fused lasso,Abrupt Change Point Detection Of Annual Maximum Precipitation Using Fused Lasso,70,10.1016/j.jhydrol.2016.04.043,https://w3id.org/oc/meta/br/062602768425,author_title
ref_19,Increase in flood and drought disasters during 1500–2000 in Southwest China,Increase In Flood And Drought Disasters During 1500–2000 In Southwest China,70,10.1007/s11069-015-1679-9,https://w3id.org/oc/meta/br/06210367309,author_title
ref_20,Bayesian analysis to detect abrupt changes in extreme hydrological processes,Bayesian Analysis To Detect Abrupt Changes In Extreme Hydrological Processes,70,10.1016/j.jhydrol.2016.03.065,https://w3id.org/oc/meta/br/062602768481,author_title
ref_24,A shift of the mean level in a sequence of independent normal random variables: a Bayesian approach,A Shift Of The Mean Level In A Sequence Of Independent Normal Random Variables: A Bayesian Approach,70,10.2307/1267892,https://w3id.org/oc/meta/br/06401137471,author_title
ref_25,Methods for detecting change in hydrochemical time series in response to targeted pollutant mitigation in river catchments,Methods For Detecting Change In Hydrochemical Time Series In Response To Targeted Pollutant Mitigation In River Catchments,70,10.1016/j.jhydrol.2014.04.036,https://w3id.org/oc/meta/br/06103175683,author_title
ref_26,"Non-stationary flood frequency analysis in continental Spanish rivers, using climate and reservoir indices as external covariates","Non-stationary Flood Frequency Analysis In Continental Spanish Rivers, Using Climate And Reservoir Indices As External Covariates",70,10.5194/hess-17-3189-2013,https://w3id.org/oc/meta/br/06902109649,author_title
ref_28,A simulation study to examine the sensitivity of the Pettitt test to detect abrupt changes in mean,A Simulation Study To Examine The Sensitivity Of The Pettitt Test To Detect Abrupt Changes In Mean,65,10.1080/02626667.2015.1008482,https://w3id.org/oc/meta/br/0690592918,author_title
ref_29,Robustness of the rescaled range R/S in the measurement of noncyclic long run statistical dependence,Robustness Of The Rescaled Range R/S In The Measurement Of Noncyclic Long Run Statistical Dependence,70,10.1029/wr005i005p00967,https://w3id.org/oc/meta/br/061701064504,author_title
ref_30,A step increase in streamflow in the conterminous United States,A Step Increase In Streamflow In The Conterminous United States,70,10.1029/2002gl015999,https://w3id.org/oc/meta/br/06103244425,author_title
ref_32,Stationarity is dead: whither water management?,Stationarity Is Dead: Whither Water Management?,70,10.1126/science.1151915,https://w3id.org/oc/meta/br/06190485724,author_title
ref_33,Localized structural damage detection: a change point analysis,Localized Structural Damage Detection: A Change Point Analysis,70,10.1111/mice.12059,https://w3id.org/oc/meta/br/0640286095,author_title
ref_34,Bayesian change-point analysis in hydrometeorological time series. Part 1. The normal model revisited,Bayesian Change-Point Analysis In Hydrometeorological Time Series. Part 1. The Normal Model Revisited,70,10.1016/s0022-1694(00)00270-5,https://w3id.org/oc/meta/br/061802736112,author_title
ref_35,Bayesian change-point analysis in hydrometeorological time series. Part 2. Comparison of change-point models and forecasting,Bayesian Change-Point Analysis In Hydrometeorological Time Series. Part 2. Comparison Of Change-Point Models And Forecasting,70,10.1016/s0022-1694(00)00271-7,https://w3id.org/oc/meta/br/061702748956,author_title
ref_36,A non-parametric approach to the change-point problem,A Non-Parametric Approach To The Change-Point Problem,70,10.2307/2346729,https://w3id.org/oc/meta/br/062501312482,author_title
ref_42,Urban waterlogs control in China: more effective strategies and actions are needed,Urban Waterlogs Control In China: More Effective Strategies And Actions Are Needed,65,10.1007/s11069-016-2614-4,https://w3id.org/oc/meta/br/06190371309,author_title
ref_46,Abrupt tropical climate change: past and present,Abrupt Tropical Climate Change: Past And Present,70,10.1073/pnas.0603900103,https://w3id.org/oc/meta/br/06503485695,author_title
ref_48,Analysis of dam-induced cyclic patterns on river flow dynamics,Analysis Of Dam-Induced Cyclic Patterns On River Flow Dynamics,65,10.1080/02626667.2016.1252841,https://w3id.org/oc/meta/br/0680590522,author_title
