reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Carbohydr Polym,"The Role Of Cellulosic Chains Of Cotton In Biosynthesis Of ZnO Nanorods Producing Multifunctional Properties: Mechanism, Characterizations And Features",70,10.1016/j.carbpol.2015.03.036,https://w3id.org/oc/meta/br/0670163806,author_title
ref_2,RSC Adv,Sustainable Oleic And Stearic Acid Based Biodegradable Surfactants,70,10.1039/c6ra27036k,https://w3id.org/oc/meta/br/06150975876,author_title
ref_5,Compos Commun,Acid And Temperature Dual-Responsive Cotton Fabrics With Polymer Coating,70,10.1016/j.coco.2017.03.003,https://w3id.org/oc/meta/br/062101308447,author_title
ref_6,ACS Sustain Chem Eng,Sustainable And Biodegradable Superhydrophobic Coating From Epoxidized Soybean Oil And ZnO Nanoparticles On Cellulosic Substrates For Efficient Oil/Water Separation,70,10.1021/acssuschemeng.7b02549,https://w3id.org/oc/meta/br/061202386580,author_title
ref_7,Carbohydr Polym,Cellulose Nanocrystal Coated Cotton Fabric With Superhydrophobicity For Efficient Oil/Water Separation,70,10.1016/j.carbpol.2018.07.046,https://w3id.org/oc/meta/br/0630159618,author_title
ref_9,Cellulose,Effect On Mechanical And Thermal Properties Of Random Copolymer Polypropylene/Microcrystalline Cellulose Composites Using T-ZnOw As An Additive,70,10.1155/2019/4862124,https://w3id.org/oc/meta/br/06150628363,author_title
ref_11,Compos Part B-Eng,TiO2-alginate Composite Aerogels As Novel Oil/Water Separation And Wastewater Remediation Filters,70,10.1016/j.compositesb.2018.12.097,https://w3id.org/oc/meta/br/0670327400,author_title
ref_13,Adv Mater,Super-Hydrophobic Surfaces: From Natural To Artificial,70,10.1002/adma.200290020,https://w3id.org/oc/meta/br/061902606931,author_title
ref_14,ACS Sustain Chem Eng,Mussel Adhesive-Inspired Design Of Superhydrophobic Nanofibrillated Cellulose Aerogels For Oil/Water Separation,70,10.1021/acssuschemeng.8b01397,https://w3id.org/oc/meta/br/061102403408,author_title
ref_16,ACS Appl Mater Interfaces,Functionalization Of Biodegradable PLA Nonwoven Fabric As Superoleophilic And Superhydrophobic Material For Efficient Oil Absorption And Oil/Water Separation,70,10.1021/acsami.6b13547,https://w3id.org/oc/meta/br/06803095998,author_title
ref_17,J Mater Chem A,Simple One-Pot Approach Toward Robust And Boiling-Water Resistant Superhydrophobic Cotton Fabric And The Application In Oil/Water Separation,70,10.1039/c7ta05599d,https://w3id.org/oc/meta/br/06170493118,author_title
ref_19,Fiber Polym,Highly Durable And Robust Superhydrophobic/Superoleophilic Cotton Fabric With Well-designed Roughness For Oil/Water Separation,70,10.1007/s12221-018-8150-y,https://w3id.org/oc/meta/br/062202097224,author_title
ref_21,ACS Sustain Chem Eng,Full-Biobased Nanofiber Membranes Toward Decontamination Of Wastewater Containing Multiple Pollutants,70,10.1021/acssuschemeng.8b01996,https://w3id.org/oc/meta/br/061102403194,author_title
ref_24,Phys Chem Chem Phys,Correction: One-step Fabrication Of Robust Fabrics With Both-Faced Superhydrophobicity For The Separation And Capture Of Oil From Water,70,10.1039/c5cp90057c,https://w3id.org/oc/meta/br/0670508263,author_title
ref_25,Chem Eng J,Intelligent Self-Healing Superhydrophobic Modification Of Cotton Fabrics Via Surface-Initiated ARGET ATRP Of Styrene,70,10.1016/j.cej.2017.04.080,https://w3id.org/oc/meta/br/062101870730,author_title
ref_27,Cellulose,"Electrodes Based On Cellulose Nanofibers/Carbon Nanotubes Networks, Polyaniline Nanowires And Carbon Cloth For Supercapacitors",70,10.1088/2053-1591/aaf3d8,https://w3id.org/oc/meta/br/062202632860,author_title
ref_28,New J Chem,A Hierarchical Functionalized Biodegradable PLA Electrospun Nanofibrous Membrane With Superhydrophobicity And Antibacterial Properties For Oil/Water Separation,70,10.1039/c8nj03112f,https://w3id.org/oc/meta/br/06501077449,author_title
ref_29,Small,Sequential Measurements Of Serum Matrix Metalloproteinase 9 To Monitor Chemotherapy Responses In Patients With Advanced Non-Small-Cell Lung Cancer,70,10.2147/ott.s102351,https://w3id.org/oc/meta/br/061802215417,author_title
ref_30,Carbohydr Polym,Fabrication And Evaluation Of Nanocellulose Sponge For Oil/Water Separation,70,10.1016/j.carbpol.2018.02.066,https://w3id.org/oc/meta/br/0630160135,author_title
ref_31,Int J Biol Macromol,Fabrication Of Novel chitosan/PAN/magnetic ZSM-5 Zeolite Coated Sponges For Absorption Of Oil From Water Surfaces,70,10.1016/j.ijbiomac.2017.07.050,https://w3id.org/oc/meta/br/06140410748,author_title
