reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,Proceedings of the National Academy of Sciences of the United States of America,A Neural Link Between Affective Understanding And Interpersonal Attraction,70,10.1073/pnas.1516191113,https://w3id.org/oc/meta/br/061503057610,author_title
ref_3,Mindblindness,Mindblindness,70,10.7551/mitpress/4635.001.0001,https://w3id.org/oc/meta/br/06102549892,author_title
ref_6,Journal of Abnormal Psychology,Interaction Takes Two: Typical Adults Exhibit Mind-Blindness Towards Those With Autism Spectrum Disorder.,70,10.1037/abn0000199,https://w3id.org/oc/meta/br/062201468585,author_title
ref_7,Journal of Autism and Developmental Disorders,Evaluating Posed And Evoked Facial Expressions Of Emotion From Adults With Autism Spectrum Disorder,65,10.1007/s10803-014-2194-7,https://w3id.org/oc/meta/br/06120579877,author_title
ref_8,Trends in Cognitive Sciences,Mirror Neurons And The Simulation Theory Of Mind-Reading.,70,10.1016/s1364-6613(98)01262-5,https://w3id.org/oc/meta/br/06110221334,author_title
ref_9,"Journal of Speech, Language and Hearing Research",Emotional Facial And Vocal Expressions During Story Retelling By Children And Adolescents With High-Functioning Autism.,70,10.1044/1092-4388(2012/12-0067),https://w3id.org/oc/meta/br/062202773619,author_title
ref_10,The American Journal of Psychology,An Experimental Study Of Apparent Behavior,70,10.2307/1416950,https://w3id.org/oc/meta/br/061302194471,author_title
ref_11,Trends in Cognitive Sciences,Development Itself Is The Key To Understanding Developmental Disorders.,70,10.1016/s1364-6613(98)01230-3,https://w3id.org/oc/meta/br/06110221092,author_title
ref_13,Journal of Child Psychology and Psychiatry,Recognition And Expression Of Emotional Cues By Autistic And Normal Adults,70,10.1111/j.1469-7610.1989.tb00288.x,https://w3id.org/oc/meta/br/0660948571,author_title
ref_17,PLoS ONE,Can People Guess What Happened To Others From Their Reactions?,70,10.1371/journal.pone.0049859,https://w3id.org/oc/meta/br/062401503459,author_title
ref_21,Scientific Reports,Neurotypical Peers Are Less Willing To Interact With Those With Autism Based On Thin Slice Judgments,70,10.1038/srep40700,https://w3id.org/oc/meta/br/061302609529,author_title
ref_22,Autism,Production And Perception Of Emotional Prosody By Adults With Autism Spectrum Disorder,70,10.1002/aur.1847,https://w3id.org/oc/meta/br/06101290341,author_title
ref_24,Autism,"Investigating Eye Movement Patterns, Language, And Social Ability In Children With Autism Spectrum Disorder",70,10.1017/s0954579414000108,https://w3id.org/oc/meta/br/0637068981,author_title
ref_25,Cognition,Stacking PCANet +: An Overly Simplified ConvNets Baseline For Face Recognition,70,10.1109/lsp.2017.2749763,https://w3id.org/oc/meta/br/06803750230,author_title
ref_26,Journal of Personality and Social Psychology,"Man, I Feel Like A Woman: When And How Gender-Role Motivation Helps Mind-Reading.",70,10.1037/a0013067,https://w3id.org/oc/meta/br/0632038598,author_title
ref_27,Focus on Autism and Other Developmental Disabilities,Facial Encoding Of Children With High-Functioning Autism Spectrum Disorders,70,10.1177/1088357609347325,https://w3id.org/oc/meta/br/061802701548,author_title
