reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_3,Pathophysiology of human spermatozoa,Pathophysiology Of Human Spermatozoa,70,10.1097/00001703-199404000-00004,https://w3id.org/oc/meta/br/06140565295,author_title
ref_4,Recent progress in the preservation of ram semen,Recent Progress In The Preservation Of Ram Semen,70,10.1016/0378-4320(96)01544-8,https://w3id.org/oc/meta/br/062202825591,author_title
ref_5,Fertilizing capacity and ultrastructure of fowl and Turkey spermatozoa before and after freezing,Fertilizing Capacity And Ultrastructure Of Fowl And Turkey Spermatozoa Before And After Freezing,70,10.1530/jrf.0.0550001,https://w3id.org/oc/meta/br/062201030317,author_title
ref_6,Maintenance of bioenergetic balance in sperm and prevention of lipid peroxidation: a review of the effect on design of storage preservation systems,Maintenance Of Bioenergetic Balance In Sperm And Prevention Of Lipid Peroxidation: A Review Of The Effect On Design Of Storage Preservation Systems,70,10.1071/rd9930675,https://w3id.org/oc/meta/br/06101854522,author_title
ref_7,Mammalian fertilization,Immunological Block To Mammalian Fertilization: Survival And Organ Distribution Of Immunoglobulin Which Inhibits Fertilization In Vivo.,50,10.1073/pnas.73.7.2405,https://w3id.org/oc/meta/br/062403052152,author_title
ref_8,Spontaneous lipid peroxidation in rabbit epididymal spermatozoa: its effect on sperm motility,Spontaneous Lipid Peroxidation In Rabbit Epididymal Spermatozoa: Its Effect On Sperm Motility,70,10.1095/biolreprod27.5.1102,https://w3id.org/oc/meta/br/0650322044,author_title
ref_12,Sperm nuclear DNA damage and altered chromatin structure: effect on fertilization and embryo development,Sperm Nuclear DNA Damage And Altered Chromatin Structure: Effect On Fertilization And Embryo Development,70,10.1093/humrep/13.suppl_4.11,https://w3id.org/oc/meta/br/06220200016,author_title
ref_14,Role of glutathione peroxidase in protecting mammalian spermatozoa from loss of motility caused by spontaneous lipid peroxidation,Role Of Glutathione Peroxidase In Protecting Mammalian Spermatozoa From Loss Of Motility Caused By Spontaneous Lipid Peroxidation,70,10.1002/mrd.1120230108,https://w3id.org/oc/meta/br/061703146124,author_title
ref_15,Role of antioxidants in the treatment of male infertility,Role Of Antioxidants In The Treatment Of Male Infertility,70,10.1111/j.1442-2042.2009.02280.x,https://w3id.org/oc/meta/br/06901085075,author_title
ref_19,"Oxidative stress, osmotic stress and apoptosis: impacts on sperm function and preservation in the horse","Oxidative Stress, Osmotic Stress And Apoptosis: Impacts On Sperm Function And Preservation In The Horse",70,10.1016/j.anireprosci.2008.04.014,https://w3id.org/oc/meta/br/062502820621,author_title
ref_20,Effect of oxidative stress on male reproduction,Effect Of Oxidative Stress On Male Reproduction,70,10.5534/wjmh.2014.32.1.1,https://w3id.org/oc/meta/br/06601650525,author_title
ref_22,"The effect of antioxidants on motility, viability, acrosome integrity and DNA integrity of frozen-thawed epididymal cat spermatozoa","The Effect Of Antioxidants On Motility, Viability, Acrosome Integrity And DNA Integrity Of Frozen-Thawed Epididymal Cat Spermatozoa",70,10.1016/j.theriogenology.2008.04.005,https://w3id.org/oc/meta/br/06703499074,author_title
ref_23,"Taurine, hypotaurine, epinephrine and albumin inhibit lipid peroxidation in rabbit spermatozoa and protect against loss of motility","Taurine, Hypotaurine, Epinephrine And Albumin Inhibit Lipid Peroxidation In Rabbit Spermatozoa And Protect Against Loss Of Motility",70,10.1095/biolreprod29.3.548,https://w3id.org/oc/meta/br/0620319695,author_title
ref_25,The cryoprotective effects of ascorbic acid supplementation on bovine semen quality,The Cryoprotective Effects Of Ascorbic Acid Supplementation On Bovine Semen Quality,70,10.1016/j.anireprosci.2010.04.180,https://w3id.org/oc/meta/br/062502820197,author_title
ref_30,Differences in ability of jennies and mares to conceive with cooled and frozen semen containing glycerol or not,Differences In Ability Of Jennies And Mares To Conceive With Cooled And Frozen Semen Containing Glycerol Or Not,70,10.1016/j.anireprosci.2008.03.016,https://w3id.org/oc/meta/br/062502820646,author_title
