reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,The correlation of qualitative behavior assessments with Welfare Quality® protocol outcomes in on-farm welfare assessment of dairy cattle,The Correlation Of Qualitative Behavior Assessments With Welfare Quality® Protocol Outcomes In On-Farm Welfare Assessment Of Dairy Cattle,48,10.1016/j.applanim.2012.11.013,https://w3id.org/oc/meta/br/06150790660,author_title
ref_3,Does access to pasture affect claw condition and health in dairy cows?,Does Access To Pasture Affect Claw Condition And Health In Dairy Cows?,48,10.1136/vr.104554,https://w3id.org/oc/meta/br/06801453835,author_title
ref_4,Effect of grazing on the cow welfare of dairy herds evaluated by a multidimensional welfare index,Effect Of Grazing On The Cow Welfare Of Dairy Herds Evaluated By A Multidimensional Welfare Index,48,10.1017/s1751731112002297,https://w3id.org/oc/meta/br/0627064152,author_title
ref_5,Daily grazing time as a risk factor for alterations at the hock joint integument in dairy cows,Daily Grazing Time As A Risk Factor For Alterations At The Hock Joint Integument In Dairy Cows,48,10.1017/s1751731112001395,https://w3id.org/oc/meta/br/0627064244,author_title
ref_6,Does milk yield reflect the level of welfare in dairy herds?,Does Milk Yield Reflect The Level Of Welfare In Dairy Herds?,47,10.1016/j.tvjl.2013.10.011,https://w3id.org/oc/meta/br/061801846278,author_title
ref_7,Sensitivity of the integrated Welfare Quality® scores to changing values of individual dairy cattle welfare measures,Sensitivity Of The Integrated Welfare Quality® Scores To Changing Values Of Individual Dairy Cattle Welfare Measures,48,10.7120/09627286.27.2.157,https://w3id.org/oc/meta/br/06303440941,author_title
ref_8,Assessing dairy cow welfare at the beginning and end of the indoor period using the Welfare Quality® protocol,Assessing Dairy Cow Welfare At The Beginning And End Of The Indoor Period Using The Welfare Quality® Protocol,41,10.7120/09627286.26.2.213,https://w3id.org/oc/meta/br/06303440975,year_volume_page
ref_10,Risk factors for lameness in cubicle housed Austrian Simmental dairy cows,Risk Factors For Lameness In Cubicle Housed Austrian Simmental Dairy Cows,48,10.1016/j.prevetmed.2009.03.014,https://w3id.org/oc/meta/br/0670450808,author_title
ref_11,The relationship between milk yield and the incidence of some diseases in dairy cows,The Relationship Between Milk Yield And The Incidence Of Some Diseases In Dairy Cows,41,10.3168/jds.s0022-0302(01)74646-2,https://w3id.org/oc/meta/br/061503658968,year_volume_page
ref_13,Relationship between herd size and animal welfare in dairy cattle,Relationship Between Herd Size And Measures Of Animal Welfare On Dairy Cattle Farms With Freestall Housing In Germany,40,10.3168/jds.2017-14232,https://w3id.org/oc/meta/br/061702592928,author_title
ref_14,Navigating the iceberg: reducing the number of parameters within the Welfare Quality® Assessment protocol for dairy cows,Navigating The Iceberg: Reducing The Number Of Parameters Within The Welfare Quality® Assessment Protocol For Dairy Cows,48,10.1017/s1751731114002018,https://w3id.org/oc/meta/br/0627063727,author_title
ref_15,Effects of pasture on lameness in dairy cows,Effects Of Pasture On Lameness In Dairy Cows,41,10.3168/jds.s0022-0302(07)71608-9,https://w3id.org/oc/meta/br/061703665287,year_volume_page
ref_17,The effects of providing shade to lactating dairy cows in a temperate climate,The Effects Of Providing Shade To Lactating Dairy Cows In A Temperate Climate,48,10.1016/j.livsci.2006.02.004,https://w3id.org/oc/meta/br/062301904596,author_title
ref_18,Dairy cows trapped between performance demands and adaptability,Dairy Cows Trapped Between Performance Demands And Adaptability,48,10.1002/jsfa.3575,https://w3id.org/oc/meta/br/062501094222,author_title
ref_19,Behaviour of dairy cows kept in extensive (loose housing/pasture) or intensive (tie stall) environments,Behaviour Of Dairy Cows Kept In Extensive (Loose Housing/Pasture) Or Intensive (Tie Stall) Environments II. Lying And Lying-Down Behaviour,48,10.1016/0168-1591(93)90066-x,https://w3id.org/oc/meta/br/06170793878,author_title
ref_20,Climatic effects on milk production traits and somatic cell score in lactating Holstein-Frisian cows in different housing systems,Climatic Effects On Milk Production Traits And Somatic Cell Score In Lactating Holstein-Friesian Cows In Different Housing Systems,48,10.3168/jds.2013-7217,https://w3id.org/oc/meta/br/062202580095,author_title
ref_22,Preference and behavior of lactating dairy cows given free access to pasture at two herbage masses and two distances,Preference And Behavior Of Lactating Dairy Cows Given Free Access To Pasture At Two Herbage Masses And Two Distances1,48,10.2527/jas.2014-8046,https://w3id.org/oc/meta/br/0640877195,author_title
ref_23,N/A,"A Review Of The Impact Of Housing On Dairy Cow Behaviour, Health And Welfare",37,10.3920/978-90-8686-771-4_02,https://w3id.org/oc/meta/br/061702931189,author_title
ref_27,"Observer bias in animal behaviour research: can we believe what we score, if we score what we believe?","Observer Bias In Animal Behaviour Research: Can We Believe What We Score, If We Score What We Believe?",45,10.1016/j.anbehav.2014.02.007,https://w3id.org/oc/meta/br/06250991645,author_title
ref_30,Behaviour and leg injuries in dairy cows kept in cubicle systems with straw bedding or soft lying mats,Behaviour And Leg Injuries In Dairy Cows Kept In Cubicle Systems With Straw Bedding Or Soft Lying Mats,48,10.1016/s0168-1591(00)00134-9,https://w3id.org/oc/meta/br/06130779598,author_title
