reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_4,2018,9,1409,Bhosale,A mechanistic framework for auxin dependent Arabidopsis root hair elongation to low external phosphate,,,,,12,12,N/A,N/A,No,Yes
ref_9,2011,62,185,Chiou,Network in sensing phosphate availability in plants,,,,,15,15,N/A,N/A,No,Yes
ref_12,1999,19,579,Pozo,A type 5 acid phosphatase gene from Arabidopsis thaliana is induced by phosphate starvation and by som other types of phosphate mobilising/oxidative stress conditions,,,,,12,12,N/A,N/A,No,Yes
ref_17,2014,150,95,García,Hypoxia and bicarbonate could block the expression of iron acquisition genes in Strategy I plants by affecting ethylene synthesis and signaling in different ways,,,,,16,16,N/A,N/A,No,Yes
ref_19,2018,9,1325,García,A shoot Fe pathway requiring the OPT3 transporter controls GSNO reductase and ethylene in Arabidopsis thaliana roots,,,,,12,12,N/A,N/A,No,Yes
ref_25,2017,8,285,Kumar,"Involvement of Small RNAs in phosphorus and sulfur sensing, and stress: current update",,,,,22,22,N/A,N/A,No,Yes
ref_31,2015,6,,Lucena,Ethylene participates in the regulation of Fe deficiency responses in Strategy I plants and in rice,,,,,22,22,N/A,N/A,No,Yes
ref_33,1995,,,Marschner,,,,,,N/A,N/A,N/A,N/A,No,No
ref_41,2016,6,,Neumann,The role of ethylene in plant adaptations for phosphate acquisition in soils—A review,,,,,22,22,N/A,N/A,No,Yes
ref_47,2013,5,lt013,Roldán,Ethylene and the responses of plants to phosphate deficiency,,,,,11,11,N/A,N/A,No,Yes
ref_51,2017,5,,Stetter,Increased root hair density by loss of WRKY6 in Arabidopsis thaliana,,,,,N/A,N/A,N/A,N/A,No,No
ref_52,2015,6,796,Song,Ethylene and plant responses to phosphate deficiency,,,,,22,22,N/A,N/A,No,Yes
ref_57,2002,2002,S131,Wang,Ethylene biosynthesis and networks,,,,,22,22,N/A,N/A,No,Yes
