reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_5,N/A,Vocal Expression And Perception Of Emotion,40,10.1111/1467-8721.00013,https://w3id.org/oc/meta/br/06140409009,author_title
ref_6,N/A,Vocal Expression Of Emotion: Acoustic Properties Of Speech Are Associated With Emotional Intensity And Context,40,10.1111/j.1467-9280.1995.tb00596.x,https://w3id.org/oc/meta/br/061802651611,author_title
ref_7,N/A,A Cross-Cultural Investigation Of The Perception Of Emotion In Music: Psychophysical And Cultural Cues,40,10.2307/40285811,https://w3id.org/oc/meta/br/061401002555,author_title
ref_9,N/A,Multidimensional Scaling Of Emotional Responses To Music: The Effect Of Musical Expertise And Of The Duration Of The Excerpts,39,10.1080/02699930500204250,https://w3id.org/oc/meta/br/06603273664,author_title
ref_11,N/A,The Contribution Of Speech Rate And Pitch Variation To The Perception Of Vocal Emotions In A German And An American Sample,40,10.1080/02699930126095,https://w3id.org/oc/meta/br/06603273784,author_title
ref_12,N/A,Diachronic Changes In Jazz Harmony,37,10.1525/mp.2013.31.1.32,https://w3id.org/oc/meta/br/061401002355,author_title
ref_14,N/A,On The Psychometric Principles Of Affect,40,10.1037/1089-2680.3.1.14,https://w3id.org/oc/meta/br/061201015411,author_title
ref_16,N/A,"Musical Scales And Evaluations Of Happiness And Awkwardness: Effects Of Pitch, Direction, And Scale Mode",40,10.2307/1423686,https://w3id.org/oc/meta/br/061602208031,author_title
ref_18,N/A,"Interval Distributions, Mode, And Tonal Strength Of Melodies As Predictors Of Perceived Emotion",40,10.1525/mp.2004.22.1.1,https://w3id.org/oc/meta/br/061601012231,author_title
ref_19,N/A,"Perception Of The Major/Minor Distinction: III. Hedonic, Musical, And Affective Discriminations",40,10.3758/bf03330169,https://w3id.org/oc/meta/br/061701366402,author_title
ref_21,Acoustic intensity causes perceived changes in arousal levels in music: An experimental investigation,Acoustic Intensity Causes Perceived Changes In Arousal Levels In Music: An Experimental Investigation,41,10.1371/journal.pone.0018591,https://w3id.org/oc/meta/br/06601532643,year_volume_page
ref_22,N/A,The Role Of Peripheral Feedback In Emotional Experience With Music,40,10.1525/mp.2004.22.1.79,https://w3id.org/oc/meta/br/061601012246,author_title
ref_28,N/A,Beethoven’s Last Piano Sonata And Those Who Follow Crocodiles: Cross-domain Mappings Of Auditory Pitch In A Musical Context,40,10.1016/j.cognition.2009.10.013,https://w3id.org/oc/meta/br/0610496193,year_author_volume
ref_29,N/A,An Argument For Basic Emotions,40,10.1080/02699939208411068,https://w3id.org/oc/meta/br/06603273346,author_title
ref_32,N/A,Using Listener-Based Perceptual Features As Intermediate Representations In Music Information Retrieval,39,10.1121/1.4892767,https://w3id.org/oc/meta/br/06230545384,author_title
ref_33,N/A,Emotion Perceived And Emotion Felt: Same Or Different?,36,10.1177/10298649020050s105,https://w3id.org/oc/meta/br/06101852401,author_title
ref_37,N/A,The Development Of Affective Responses To Modality And Melodic Contour,40,10.2307/40286184,https://w3id.org/oc/meta/br/061401002743,author_title
ref_38,Affective and physiological responses to environmental noises and music,Affective And Physiological Responses To Environmental Noises And Music,41,10.1016/j.ijpsycho.2004.02.002,https://w3id.org/oc/meta/br/06160148765,year_volume_page
ref_40,N/A,Factors Determining The Characterization Of Musical Phrases,40,10.2307/1416007,https://w3id.org/oc/meta/br/061502199823,author_title
ref_41,N/A,"It's Not What You Play, It'S How You Play It: Timbre Affects Perception Of Emotion In Music",40,10.1080/17470210902765957,https://w3id.org/oc/meta/br/061301852314,author_title
ref_43,N/A,The Affective Characters Of The Major And Minor Modes In Music.,40,10.1037/h0070573,https://w3id.org/oc/meta/br/06260694340,author_title
ref_44,N/A,The Affective Character Of The Major And Minor Modes In Music,40,10.2307/1416710,https://w3id.org/oc/meta/br/061602208084,author_title
ref_45,N/A,Experimental Studies Of The Elements Of Expression In Music,40,10.2307/1415746,https://w3id.org/oc/meta/br/061302194110,author_title
ref_46,N/A,The Affective Value Of Pitch And Tempo In Music,40,10.2307/1416385,https://w3id.org/oc/meta/br/061502199795,author_title
ref_47,N/A,On The Changing Use Of The Major And Minor Modes 1750–1900,40,10.30535/mto.21.1.4,https://w3id.org/oc/meta/br/062402758350,author_title
ref_48,N/A,Mixed Affective Responses To Music With Conflicting Cues,40,10.1080/02699930701438145,https://w3id.org/oc/meta/br/06603273449,author_title
ref_49,N/A,"Feelings And Perceptions Of Happiness And Sadness Induced By Music: Similarities, Differences, And Mixed Emotions.",40,10.1037/a0016873,https://w3id.org/oc/meta/br/0660552070,author_title
ref_51,N/A,"Effects Of Musical Tempo And Mode On Arousal, Mood, And Spatial Abilities",40,10.1525/mp.2002.20.2.151,https://w3id.org/oc/meta/br/061601012279,author_title
ref_52,N/A,A Comparison Of Acoustic Cues In Music And Speech For Three Dimensions Of Affect,40,10.1525/mp.2006.23.4.319,https://w3id.org/oc/meta/br/061401003035,author_title
ref_54,N/A,Emotional Communication In Music Performance: A Functionalist Perspective And Some Data,40,10.2307/40285731,https://w3id.org/oc/meta/br/061401002536,author_title
ref_55,N/A,"Communication Of Emotions In Vocal Expression And Music Performance: Different Channels, Same Code?",40,10.1037/0033-2909.129.5.770,https://w3id.org/oc/meta/br/06801482148,author_title
ref_56,N/A,"Expression, Perception, And Induction Of Musical Emotions: A Review And A Questionnaire Study Of Everyday Listening",40,10.1080/0929821042000317813,https://w3id.org/oc/meta/br/0632016173,author_title
ref_57,N/A,MusicalExpression ofEmotions: ModellingListeners' Judgements ofComposed andPerformedFeatures,39,10.1111/j.1468-2249.2011.00323.x,https://w3id.org/oc/meta/br/0670585758,author_title
ref_58,N/A,The Role Of Timing Patterns In Recognition Of Emotional Expression From Musical Performance,40,10.2307/40285891,https://w3id.org/oc/meta/br/061401002727,author_title
ref_59,N/A,Perception Of The Major/Minor Distinction: IV. Emotional Connotations In Young Children,40,10.2307/40285496,https://w3id.org/oc/meta/br/061401002585,author_title
