reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,,"Bach, J. S. (1953). Bach: The Well-Tempered Clavier Book I - Prelude #24 in B minor, BWV 855 [CD; Recorded by R. Tureck]. RFA-Neef, Wittingen, Germany: Deutsche Grammonphon. (Original work published 1722)",N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,,"Bach, J. S. (1965). Bach: The Well-Tempered Clavier, Book I Prelude #10 in E minor, BWV 855 [CD; Recorded by G. Gould]. New York: Sony Classical. (Original work published 1722)",N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,,"Bach, J. S. (1973). Bach: The Well-Tempered Clavier, Book I - [CD; Recorded by F. Gulda]. MPS-Tonstudio, Villingen, Germany: Decca. (Original work published 1722)",N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,,"Bach, J. S. (1971). Bach: The Well-Tempered Clavier, Book I - Prelude #10 in E minor, BWV 869 [CD; Recorded by A. Newman]. New York: Columbia Records. (Original work published 1722)",N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,,"Beaton, A. E. (1973, March). Commonality. (ERIC Document Reproduction Service No. ED111829).",21,21,N/A,N/A,No,Yes
ref_10,,,,,,,,,"Borod, J. C. (2000). The neuropsychology of emotion (1st ed.). Oxford, UK: Oxford University Press.",21,21,N/A,N/A,No,Yes
ref_13,,,,,,,,,"Capraro, R. M., & Capraro, M. M. (2001) Commonality analysis: Understanding variance contributions to overall canonical correlation effects of attitude toward mathematics on geometry achievement. Multiple Linear Regression Viewpoints, 27, 16–23.",N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,,"Cohen, J., & Cohen, P. (1983). Applied multiple regression/correlation analysis for the behavioral sciences. Hillsdale, NJ: Erlbaum.",21,21,N/A,N/A,No,Yes
ref_17,,,,,,,,10.1111/desc.12100,"Corrigall, K. A., & Trainor, L. J. (2014). Enculturation to musical pitch structure in young children: Evidence from behavioral and electrophysiological methods. Developmental Science, 17, 142–158.",N/A,N/A,N/A,N/A,No,No
ref_20,2001,80,B1,,A developmental study of the affective value of tempo and mode in music,,,10.1016/S0010-0277(00)00136-0,,N/A,N/A,N/A,N/A,No,No
ref_23,,,,,,,,10.1080/09298215.2011.602195,"Eerola, T. (2011). Are the emotions expressed in music genrespecific? An audio-based evaluation of datasets spanning classical, film, pop and mixed genres. Journal of New Music Research, 40, 349–366.",10,10,N/A,N/A,No,Yes
ref_24,,,,,,,,10.3389/fpsyg.2013.00487,"Eerola, T., Friberg, A., & Bresin, R. (2013). Emotional expression in music: Contribution, linearity, and additivity of primary musical cues. Frontiers in Psychology, 4, 1–12.",10,10,N/A,N/A,No,Yes
