reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,N/A,"Acquisition Of Compounds In Estonian And Russian: Frequency, Productivity, Transparency And Simplicity Effect",30,10.5128/erya9.02,https://w3id.org/oc/meta/br/061801825092,author_title
ref_3,N/A,Morphological Productivity,37,10.1017/cbo9780511486210,https://w3id.org/oc/meta/br/061503077221,author_title
ref_4,N/A,The Oxford Reference Guide To English Morphology,37,10.1093/acprof:oso/9780198747062.001.0001,https://w3id.org/oc/meta/br/062302592582,author_title
ref_5,N/A,Between Emergence And Mastery,31,10.1075/tilar.3.05ber,https://w3id.org/oc/meta/br/06603315231,year_author_page
ref_8,N/A,Structuring Sense: Volume III: Taking Form,37,10.1093/acprof:oso/9780199263936.001.0001,https://w3id.org/oc/meta/br/061303060747,author_title
ref_9,N/A,Clausal Order And The Acquisition Of Dutch Deverbal Compounds,34,10.1007/s11525-009-9127-8,https://w3id.org/oc/meta/br/061203132663,year_author_page
ref_11,N/A,Morphology In Language Acquisition,29,10.1002/9781405166348.ch19,https://w3id.org/oc/meta/br/06602109276,author_title
ref_12,N/A,Learning To Coin Agent And Instrument Nouns,34,10.1016/0010-0277(82)90027-0,https://w3id.org/oc/meta/br/0630488752,year_author_page
ref_13,N/A,Coining Complex Compounds In English: Affixes And Word Order In Acquisition,26,10.1515/ling.1986.24.1.7,https://w3id.org/oc/meta/br/06601584411,year_author_volume
ref_14,N/A,Chapter 6. The Early Production Of Compounds In Lithuanian,31,10.1075/lald.61.07dab,https://w3id.org/oc/meta/br/06802872309,year_author_page
ref_15,N/A,Morphological Representationin Specific Language Impairment:Evidence From Greek Word Formation,34,10.1159/000021479,https://w3id.org/oc/meta/br/06603488536,year_author_page
ref_18,N/A,Word-Formation In Natural Morphology,31,10.1007/1-4020-3596-9_11,https://w3id.org/oc/meta/br/06403560744,year_author_page
ref_24,N/A,Synthetic Compounds,31,10.1075/cilt.311.17gae,https://w3id.org/oc/meta/br/061902901597,year_author_page
ref_26,N/A,Recency Effects For Meaning And Form In Word Selection,34,10.1006/brln.2001.2609,https://w3id.org/oc/meta/br/06503524284,year_author_page
ref_28,N/A,Morphosyntactic Sources For Nominal Synthetic Compounds In English And Greek,34,10.3726/b11246_47,https://w3id.org/oc/meta/br/062502001012,year_author_page
ref_30,N/A,Chapter 3. Acquisition Of Nominal Compounds In Russian,31,10.1075/lald.61.04kaz,https://w3id.org/oc/meta/br/06702856402,year_author_page
ref_31,N/A,Asymmetries In The Acquisition Of Word-Initial And Word-Final Consonant Clusters,31,10.1017/s0305000905007130,https://w3id.org/oc/meta/br/0690177006,year_author_page
ref_32,N/A,The Acquisition Of Plural Marking In English And German Revisited: Schemata Versus Rules,34,10.1017/s0305000998003407,https://w3id.org/oc/meta/br/06203931440,year_author_page
ref_33,N/A,On The Lexical Semantics Of Compounds,31,10.1075/cilt.311.11lie,https://w3id.org/oc/meta/br/061902901218,year_author_page
ref_34,N/A,On The Interplay Of Facts And Theory,31,10.1075/la.229.17lie,https://w3id.org/oc/meta/br/062502488108,year_author_page
ref_38,N/A,Why Are Noun-Verb-er Compounds So Difficult For English-speaking Children?,34,10.1075/ml.4.2.05nag,https://w3id.org/oc/meta/br/062301903908,year_author_page
ref_40,N/A,The Comparative Method Of Language Acquisition Research: A Mayan Case Study,34,10.1017/s0305000912000748,https://w3id.org/oc/meta/br/0680172080,year_author_page
ref_41,N/A,Carmens Erwerb Der Deutschen Wortbildung,37,10.1553/0x00237d8b,https://w3id.org/oc/meta/br/062501929253,author_title
ref_42,N/A,Compounding In Modern Greek,37,10.1007/978-94-007-4960-3,https://w3id.org/oc/meta/br/0612053002,author_title
ref_43,N/A,Acquisition Of Derived Nominals In Hebrew: Developmental And Linguistic Principles,34,10.1017/s0305000998003419,https://w3id.org/oc/meta/br/06203931557,year_author_page
ref_44,N/A,Core Morphology In Child Directed Speech: Crosslinguistic Corpus Analyses Of Noun Plurals,31,10.1075/tilar.6.05rav,https://w3id.org/oc/meta/br/06203315460,year_author_page
ref_46,N/A,Does Complexity Matter? Meta-analysis Of Learner Performance In Artificial Grammar Tasks,37,10.3389/fpsyg.2014.01084,https://w3id.org/oc/meta/br/0680296854,author_title
ref_55,N/A,Effects Of Grammar Complexity On Artificial Grammar Learning,27,10.3758/mc.36.6.1122,https://w3id.org/oc/meta/br/061201365218,year_volume_page
ref_56,N/A,Zur Entwicklung Der Synthetischen Komposition In Der Geschichte Des Deutschen,34,10.3726/b11246_73,https://w3id.org/oc/meta/br/062502001011,year_author_page
ref_57,N/A,On The Role Of Morphological Richness In The Early Development Of Noun And Verb Inflection,34,10.1177/0142723711409976,https://w3id.org/oc/meta/br/06501141122,year_author_page
ref_59,N/A,The Price Of Linguistic Productivity,37,10.7551/mitpress/9780262035323.001.0001,https://w3id.org/oc/meta/br/061702398177,author_title
