reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,10.1177/0149206314558302,,N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.1177/1094428105278021,,N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1080/13594320244000201,,N/A,N/A,N/A,N/A,No,No
ref_4,1964,,,M.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,10.1016/j.leaqua.2006.02.004,,N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,10.1177/0018726716636945,,N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1037/0021-9010.89.4.633,,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1037/0021-9010.86.3.425,,N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,10.1037/a0031757,,N/A,N/A,N/A,N/A,No,No
ref_10,2005,,113,A.,,,,,,15,15,N/A,N/A,No,Yes
ref_11,,,,,,,,10.1007/s10869-010-9181-6,,N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,10.1006/jvbe.2001.1791,,N/A,N/A,N/A,N/A,No,No
ref_13,,,,,,,,10.1177/1059601111414561,,N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.1177/0149206305279602,,N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,10.5840/beq200919211,,N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,10.1016/0030-5073(75)90005-7,,N/A,N/A,N/A,N/A,No,No
ref_17,,,,,,,,10.5465/amj.2007.26279183,,N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,10.1287/orsc.1080.0405,,N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,10.1037/a0020929,,N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,10.2307/30040625,,N/A,N/A,N/A,N/A,No,No
ref_21,,,,,,,,10.1111/j.1744-6570.2004.tb02484.x,,N/A,N/A,N/A,N/A,No,No
ref_22,,,,,,,,10.1002/hrm.20404,,N/A,N/A,N/A,N/A,No,No
ref_23,,,,,,,,10.1037/0022-3514.35.2.108,,N/A,N/A,N/A,N/A,No,No
ref_24,,,,,,,,10.4135/9781452225777,,N/A,N/A,N/A,N/A,No,No
ref_25,2001,,1,R.,,,,,,16,16,N/A,N/A,No,Yes
ref_26,,,,,,,,10.1177/0149206311434533,,N/A,N/A,N/A,N/A,No,No
ref_27,,,,,,,,10.1177/1059601112463960,,N/A,N/A,N/A,N/A,No,No
ref_28,,,,,,,,10.1037/0021-9010.82.6.827,,N/A,N/A,N/A,N/A,No,No
ref_29,2009,,,J.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_30,2010,,,J.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_31,,,,,,,,10.1016/j.leaqua.2009.03.006,,N/A,N/A,N/A,N/A,No,No
ref_32,,,,,,,,10.1002/hrm.20406,,N/A,N/A,N/A,N/A,No,No
ref_33,,,,,,,,10.1348/096317999166554,,N/A,N/A,N/A,N/A,No,No
ref_34,,,,,,,,10.1177/0149206307309265,,N/A,N/A,N/A,N/A,No,No
ref_35,,,,,,,,10.1016/0030-5073(78)90023-5,,N/A,N/A,N/A,N/A,No,No
ref_36,,,,,,,,10.1002/job.518,,N/A,N/A,N/A,N/A,No,No
ref_37,,,,,,,,10.1080/09585190903363748,,N/A,N/A,N/A,N/A,No,No
ref_38,,,,,,,,10.1177/0149206307307635,,N/A,N/A,N/A,N/A,No,No
ref_39,,,,,,,,10.1007/978-1-4613-3087-5_2,,N/A,N/A,N/A,N/A,No,No
ref_40,,,,,,,,10.1177/0149206308330557,,N/A,N/A,N/A,N/A,No,No
ref_41,,,,,,,,10.1177/1046496413498119,,N/A,N/A,N/A,N/A,No,No
ref_42,2015,,137,A.,,,,,,15,15,N/A,N/A,No,Yes
ref_43,,,,,,,,10.1037/0021-9010.90.2.242,,N/A,N/A,N/A,N/A,No,No
ref_44,,,,,,,,10.1007/s10490-015-9421-4,,N/A,N/A,N/A,N/A,No,No
ref_45,,,,,,,,10.1002/job.1899,,N/A,N/A,N/A,N/A,No,No
ref_46,,,,,,,,10.1080/1359432X.2014.992421,,N/A,N/A,N/A,N/A,No,No
ref_47,,,,,,,,10.5465/1556364,,N/A,N/A,N/A,N/A,No,No
ref_48,,,,,,,,10.1108/S1534-0856(2010)0000013015,,N/A,N/A,N/A,N/A,No,No
ref_49,,,,,,,,10.4337/9781784711740,,N/A,N/A,N/A,N/A,No,No
ref_50,,,,,,,,10.4324/9781315648194,,N/A,N/A,N/A,N/A,No,No
ref_51,,,,,,,,10.1080/1359432X.2014.960401,,N/A,N/A,N/A,N/A,No,No
ref_52,,,,,,,,10.1037/a0020744,,N/A,N/A,N/A,N/A,No,No
ref_53,,,,,,,,10.1002/(SICI)1099-1379(199803)19:2<131::AID-JOB878>3.0.CO;2-P,,N/A,N/A,N/A,N/A,No,No
ref_54,,,,,,,,10.1111/ijmr.12045,,N/A,N/A,N/A,N/A,No,No
ref_55,,,,,,,,10.2307/1556416,,N/A,N/A,N/A,N/A,No,No
ref_56,,,,,,,,10.1177/10496402033003004,,N/A,N/A,N/A,N/A,No,No
ref_57,,,,,,,,10.1108/PR-05-2013-0073,,N/A,N/A,N/A,N/A,No,No
ref_58,,,,,,,,10.1111/1467-8551.12146,,N/A,N/A,N/A,N/A,No,No
ref_59,,,,,,,,10.1177/0899764012451368,,N/A,N/A,N/A,N/A,No,No
ref_60,,,,,,,,10.1037/0021-9010.88.5.879,,N/A,N/A,N/A,N/A,No,No
ref_61,,,,,,,,10.3102/10769986031004437,,N/A,N/A,N/A,N/A,No,No
ref_62,2002,,,S.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_63,,,,,,,,10.1016/j.jvb.2004.06.001,,N/A,N/A,N/A,N/A,No,No
ref_64,,,,,,,,10.1016/S1475-9144(07)06017-1,,N/A,N/A,N/A,N/A,No,No
ref_65,,,,,,,,10.1016/j.obhdp.2013.10.011,,N/A,N/A,N/A,N/A,No,No
ref_66,,,,,,,,10.2307/2392563,,N/A,N/A,N/A,N/A,No,No
ref_67,,,,,,,,10.1037/0021-9010.69.3.428,,N/A,N/A,N/A,N/A,No,No
ref_68,1959,,,S.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_69,,,,,,,,10.1016/S1048-9843(99)80009-5,,N/A,N/A,N/A,N/A,No,No
ref_70,,,,,,,,10.1177/1059601195201003,,N/A,N/A,N/A,N/A,No,No
ref_71,2005,,155,L.,,,,,,15,15,N/A,N/A,No,Yes
ref_72,,,,,,,,10.1177/1094428109351241,,N/A,N/A,N/A,N/A,No,No
ref_73,,,,,,,,10.1037/0021-9010.88.3.432,,N/A,N/A,N/A,N/A,No,No
ref_74,,,,,,,,10.1111/j.1744-6570.1997.tb00707.x,,N/A,N/A,N/A,N/A,No,No
ref_75,,,,,,,,10.1037/apl0000034,,N/A,N/A,N/A,N/A,No,No
ref_76,1975,,,J.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_77,,,,,,,,10.1177/0149206306294258,,N/A,N/A,N/A,N/A,No,No
ref_78,,,,,,,,10.1207/S15327957PSPR0704_07,,N/A,N/A,N/A,N/A,No,No
ref_79,,,,,,,,10.2307/256902,,N/A,N/A,N/A,N/A,No,No
ref_80,,,,,,,,10.1016/S0001-8791(03)00029-0,,N/A,N/A,N/A,N/A,No,No
ref_81,,,,,,,,10.1016/j.leaqua.2012.06.004,,N/A,N/A,N/A,N/A,No,No
ref_82,,,,,,,,10.1037/0021-9010.87.3.590,,N/A,N/A,N/A,N/A,No,No
ref_83,,,,,,,,10.1037/a0028021,,N/A,N/A,N/A,N/A,No,No
ref_84,,,,,,,,10.1080/09585190701394150,,N/A,N/A,N/A,N/A,No,No
ref_85,,,,,,,,10.1177/1094428108327450,,N/A,N/A,N/A,N/A,No,No
