reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,N/A,Recent Advances In Catalytic Asymmetric Epoxidation Using The Environmentally Benign Oxidant Hydrogen Peroxide And Its Derivatives,27,10.1039/c0cs00077a,https://w3id.org/oc/meta/br/06503287534,year_volume_page
ref_2,N/A,Organocatalytic Asymmetric Epoxidation And Aziridination Of Olefins And Their Synthetic Applications,27,10.1021/cr500064w,https://w3id.org/oc/meta/br/0620119534,year_volume_page
ref_3,N/A,Enantioselective Epoxidation Of Unfunctionalized Olefins Catalyzed By Salen Manganese Complexes,27,10.1021/ja00163a052,https://w3id.org/oc/meta/br/06401552869,year_volume_page
ref_4,N/A,Catalytic Asymmetric Epoxidation Of Unfunctionalized Olefins,34,10.1016/s0040-4039(00)88562-7,https://w3id.org/oc/meta/br/06160722036,year_author_page
ref_5,N/A,CrIII(salen)Cl Catalyzed Asymmetric Epoxidations: Insight Into The Catalytic Cycle,27,10.1021/ic034578w,https://w3id.org/oc/meta/br/061202107395,year_volume_page
ref_6,N/A,Reusable Chiral Dicationic Chromium(III) Salen Catalysts For Aminolytic Kinetic Resolution Of trans-Epoxides,34,10.1002/adsc.201000428,https://w3id.org/oc/meta/br/06103103700,year_author_page
ref_7,N/A,"Iron-Catalyzed Asymmetric Epoxidation Of β,β-Disubstituted Enones",34,10.1021/ja201873d,https://w3id.org/oc/meta/br/061801531055,year_author_page
ref_8,N/A,Design Of A New Bimetallic Catalyst For Asymmetric Epoxidation And Sulfoxidation,34,10.1021/jacs.5b11429,https://w3id.org/oc/meta/br/06401550352,year_author_page
ref_9,N/A,Photocatalytic Asymmetric Epoxidation Of Terminal Olefins Using Water As An Oxygen Source In The Presence Of A Mononuclear Non-Heme Chiral Manganese Complex,27,10.1021/jacs.6b10836,https://w3id.org/oc/meta/br/06201541956,year_volume_page
ref_10,N/A,"Chromium Salen Catalysed Asymmetric Alkene Epoxidation. Influence Of Substituents At The 3,3′-Positions On The Salen Rings",31,10.1016/s0040-4039(99)00488-8,https://w3id.org/oc/meta/br/0670719073,year_author_page
ref_11,N/A,Chromium− And Manganese−salen Promoted Epoxidation Of Alkenes,27,10.1021/cr0306945,https://w3id.org/oc/meta/br/0640122623,year_volume_page
ref_12,N/A,Organic Synthesis “On Water”,34,10.1021/cr800448q,https://w3id.org/oc/meta/br/0630119417,year_author_page
ref_13,N/A,A Highly Selective Method For The Synthesis Of Phenylacetaldehyde,34,10.1016/s0040-4039(00)80328-7,https://w3id.org/oc/meta/br/0650725705,year_author_page
ref_14,N/A,Advances In Nanoreactor Technology Using Polymeric Nanostructures,27,10.1016/j.copbio.2012.11.013,https://w3id.org/oc/meta/br/061201026931,year_volume_page
ref_15,N/A,Single-Chain Nanoparticles As Catalytic Nanoreactors,34,10.1021/jacs.8b02135,https://w3id.org/oc/meta/br/062401513486,year_author_page
ref_16,N/A,Consequences Of Folding A Water-Soluble Polymer Around An Organocatalyst,33,10.1002/anie.201207123,https://w3id.org/oc/meta/br/0680107778,year_author_page
ref_17,N/A,Forced Unfolding Of Single-Chain Polymeric Nanoparticles,27,10.1021/jacs.5b02967,https://w3id.org/oc/meta/br/06501554204,year_volume_page
ref_18,N/A,Compartmentalization Technologies Via Self-Assembly And Cross-Linking Of Amphiphilic Random Block Copolymers In Water,34,10.1021/jacs.7b03152,https://w3id.org/oc/meta/br/062601557719,year_author_page
ref_19,N/A,Photochemistry In Confined Environments For Single-Chain Nanoparticle Design,27,10.1021/jacs.8b04531,https://w3id.org/oc/meta/br/062301534509,year_volume_page
ref_20,N/A,Enzyme-like Click Catalysis By A Copper-Containing Single-Chain Nanoparticle,27,10.1021/jacs.8b06875,https://w3id.org/oc/meta/br/062301534084,year_volume_page
ref_21,N/A,Catalytically Active Single-Chain Polymeric Nanoparticles: Exploring Their Functions In Complex Biological Media,27,10.1021/jacs.8b00122,https://w3id.org/oc/meta/br/062401513764,year_volume_page
ref_22,N/A,Titanium(iv)-folded Single-Chain Polymeric Nanoparticles As Artificial Metalloenzyme For Asymmetric Sulfoxidation In Water,27,10.1039/c8cc05590d,https://w3id.org/oc/meta/br/061603091587,year_volume_page
ref_23,N/A,Chiral Metallosalen Complexes: Structures And Catalyst Tuning For Asymmetric Epoxidation And Cyclopropanation,34,10.1002/1615-4169(200202)344:2<131::aid-adsc131>3.0.co;2-t,https://w3id.org/oc/meta/br/06403091992,year_author_page
ref_26,N/A,Self-Assembly Of Short Chain Poly-N-isopropylacrylamid Induced By Superchaotropic Keggin Polyoxometalates: From Globules To Sheets,34,10.1021/jacs.8b12181,https://w3id.org/oc/meta/br/062101528035,year_author_page
ref_27,N/A,RAFT Polymerization To Form Stimuli-Responsive Polymers,27,10.1039/c6py01849a,https://w3id.org/oc/meta/br/06603197152,year_volume_page
ref_28,N/A,Heterogeneous Chiral Mn(III) Salen Catalysts For The Epoxidation Of Unfunctionalized Olefins Immobilized On Mesoporous Materials With Different Pore Sizes,27,10.1016/j.tet.2008.10.051,https://w3id.org/oc/meta/br/06220713181,year_volume_page
ref_29,N/A,Covalently Anchored Chiral Mn(III) Salen-Containing Ionic Species On Mesoporous Materials As Effective Catalysts For Asymmetric Epoxidation Of Unfunctionalized Olefins,34,10.1016/j.jcat.2007.03.016,https://w3id.org/oc/meta/br/061101652685,year_author_page
ref_30,N/A,The Catalytic Asymmetric Aldol Reaction,34,10.1002/(sici)1521-3773(20000417)39:8<1352::aid-anie1352>3.0.co;2-j,https://w3id.org/oc/meta/br/06230110900,year_author_page
