reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,2010,57,403,Andradottir,,,,10.1002/nav.20408,"Andradottir S, Kim SH (2010) Fully sequential procedures for comparing constrained systems via simulation. Nav Res Logist 57(5):403–421",12,12,N/A,N/A,No,Yes
ref_3,2007,161,1663,Beume,,,,,"Beume N, Naujoks B, Emmerich M (2007) SMS-EMOA: multiobjective selection based on dominated hypervolume. Eur J Oper Res 161(3):1663–1669",N/A,N/A,N/A,N/A,No,No
ref_4,2010,,311,Birattari,,,,10.1007/978-3-642-02538-9_13,"Birattari M, Yuan Z, Balaprakash P, Stützle T (2010) F-race and iterated f-race: an overview. In: Bartz-Beielstein T, Chiarandini M, Paquete L, Preuss M (eds) Experimental methods for the analysis of optimization algorithms. Springer, Berlin, pp 311–336",N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,10.1109/WSC.2005.1574312,"Branke J, Chick S, Schmidt C (2005) New developments in ranking and selection: an empirical comparison of the three main approaches. In: Winter simulation conference. IEEE, pp 708–717",N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,,"Branke J, Gamer J (2007) Efficient sampling in interactive multi-criteria selection. In: INFORMS simulation society research workshop, pp 42–46",N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1109/WSC.2015.7408518,"Branke J, Zhang W (2015) A new myopic sequential sampling algorithm for multi-objective problems. In: Winter simulation conference. IEEE, pp 3589–3598",N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,,"Branke J, Zhang W, Tao Y (2016) Multiobjective ranking and selection based on hypervolume. In: Winter simulation conference. IEEE, pp 859–870",N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,10.1109/WSC.2014.7019875,"Chau M, Fu M, Qu H, Ryzhov I (2014) Simulation optimization: a tutorial overview and recent developments in gradient-based methods. In: Winter simulation conference. IEEE, pp 21–35",N/A,N/A,N/A,N/A,No,No
ref_13,2010,,,Chen,,,,10.1142/7437,"Chen CH, Lee LH (2010) Stochastic simulation optimization: an optimal computing budget allocation. World Scientific, New York",N/A,N/A,N/A,N/A,No,No
ref_17,2005,,,DeGroot,,,,,"DeGroot M (2005) Optimal statistical decisions, vol 82. Wiley, New York",N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,,"Feldman G, Hunter SR, Pasupathy R (2015) Multi-objective simulation optimization on finite sets: optimal allocation via scalarization. In: Winter simulation conference. IEEE, pp 3610–3621",N/A,N/A,N/A,N/A,No,No
