reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,10.1177/0022034509338914,,N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.14219/jada.archive.2008.0184,,N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1111/prd.12194,,N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.1016/S0002-9416(76)90316-X,,N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,10.1002/jcp.28108,,N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,10.3892/mmr.2015.4141,,N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1016/j.lfs.2018.03.038,,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1016/j.bone.2012.07.005,,N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,10.1177/0022034517690388,,N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,10.1093/ejo/cjl001,,N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,10.1359/jbmr.2002.17.2.210,,N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,10.1177/154405910608500812,,N/A,N/A,N/A,N/A,No,No
ref_13,,,,,,,,10.1128/mBio.01446-15,,N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.1083/jcb.200412022,,N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,10.1038/nature04724,,N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,10.1038/nature06639,,N/A,N/A,N/A,N/A,No,No
ref_17,,,,,,,,10.1242/jcs.02760,,N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,10.1038/307648a0,,N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,10.1016/j.joca.2013.10.002,,N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,10.4161/auto.7.12.17924,,N/A,N/A,N/A,N/A,No,No
ref_21,,,,,,,,10.1042/BSR20160086,,N/A,N/A,N/A,N/A,No,No
ref_22,1989,15,87,T,Electron microscopic study of periodontal tissues in the pressure side by intermittent forces,,,,,12,12,N/A,N/A,No,Yes
ref_23,,,,,,,,10.4161/auto.36182,,N/A,N/A,N/A,N/A,No,No
ref_24,,,,,,,,10.1080/15548627.2018.1483807,,N/A,N/A,N/A,N/A,No,No
ref_25,,,,,,,,10.1016/j.devcel.2011.08.016,,N/A,N/A,N/A,N/A,No,No
ref_26,,,,,,,,10.1136/annrheumdis-2015-207240,,N/A,N/A,N/A,N/A,No,No
ref_27,,,,,,,,10.3892/mmr.2017.7813,,N/A,N/A,N/A,N/A,No,No
ref_28,,,,,,,,10.1016/j.archoralbio.2013.08.004,,N/A,N/A,N/A,N/A,No,No
ref_29,,,,,,,,10.1016/j.bbrc.2018.05.015,,N/A,N/A,N/A,N/A,No,No
ref_30,,,,,,,,10.1016/j.ajodo.2005.10.007,,N/A,N/A,N/A,N/A,No,No
ref_31,,,,,,,,10.1016/j.arr.2015.08.004,,N/A,N/A,N/A,N/A,No,No
ref_32,,,,,,,,10.1267/ahc.17.571,,N/A,N/A,N/A,N/A,No,No
ref_33,,,,,,,,10.1111/j.1748-1716.2010.02173.x,,N/A,N/A,N/A,N/A,No,No
ref_34,,,,,,,,10.1111/j.1600-0757.2005.00141.x,,N/A,N/A,N/A,N/A,No,No
ref_35,,,,,,,,10.1016/j.jbiomech.2012.09.006,,N/A,N/A,N/A,N/A,No,No
ref_36,,,,,,,,10.1016/j.semcancer.2013.05.008,,N/A,N/A,N/A,N/A,No,No
ref_37,,,,,,,,10.1016/j.molcel.2010.09.023,,N/A,N/A,N/A,N/A,No,No
ref_38,,,,,,,,10.1016/S1534-5807(04)00099-1,,N/A,N/A,N/A,N/A,No,No
ref_39,,,,,,,,10.1038/35044114,,N/A,N/A,N/A,N/A,No,No
ref_40,,,,,,,,10.1111/j.1365-2443.2007.01050.x,,N/A,N/A,N/A,N/A,No,No
ref_41,,,,,,,,10.1083/jcb.152.4.657,,N/A,N/A,N/A,N/A,No,No
ref_42,,,,,,,,10.1093/emboj/19.21.5720,,N/A,N/A,N/A,N/A,No,No
ref_43,,,,,,,,10.1002/jbmr.1668,,N/A,N/A,N/A,N/A,No,No
ref_44,,,,,,,,10.1002/jbmr.36,,N/A,N/A,N/A,N/A,No,No
ref_45,,,,,,,,10.1089/scd.2009.0147,,N/A,N/A,N/A,N/A,No,No
ref_46,,,,,,,,10.1093/ndt/gfr214,,N/A,N/A,N/A,N/A,No,No
ref_47,,,,,,,,10.1007/s00109-011-0823-6,,N/A,N/A,N/A,N/A,No,No
ref_48,,,,,,,,10.1111/j.1601-6343.2009.01444.x,,N/A,N/A,N/A,N/A,No,No
