reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,Transaction costs and predictability: some utility cost calculations,Transaction Costs And Predictability: Some Utility Cost Calculations,48,10.1016/s0304-405x(99)00004-5,https://w3id.org/oc/meta/br/0640803231,author_title
ref_3,Individual investors,Trading Is Hazardous To Your Wealth: The Common Stock Investment Performance Of Individual Investors,24,10.1111/0022-1082.00226,https://w3id.org/oc/meta/br/06401186789,author_title
ref_4,The behavior of individual investors,The Behavior Of Individual Investors,37,10.1016/b978-0-44-459406-8.00022-6,https://w3id.org/oc/meta/br/061202953594,author_title
ref_5,Investing for the long run when returns are predictable,Investing For The Long Run When Returns Are Predictable,45,10.1111/0022-1082.00205,https://w3id.org/oc/meta/br/06401186894,author_title
ref_6,A survey of behavioral finance,Chapter 18 A Survey Of Behavioral Finance,37,10.1016/s1574-0102(03)01027-6,https://w3id.org/oc/meta/br/062402945469,author_title
ref_8,Solving constrained consumption–investment problems by simulation of artificial market strategies,Solving Constrained Consumption–Investment Problems By Simulation Of Artificial Market Strategies,48,10.1287/mnsc.1120.1623,https://w3id.org/oc/meta/br/06302350685,author_title
ref_9,Optimal consumption–portfolio choices and retirement planning,Optimal Consumption–Portfolio Choices And Retirement Planning,48,10.1016/s0165-1889(03)00068-x,https://w3id.org/oc/meta/br/062402784820,author_title
ref_10,Labor supply flexibility and portfolio choice in a life cycle model,Labor Supply Flexibility And Portfolio Choice In A Life Cycle Model,48,10.1016/0165-1889(92)90044-f,https://w3id.org/oc/meta/br/062102785408,author_title
ref_11,Discrete-time implementation of continuous-time portfolio strategies,Discrete-time Implementation Of Continuous-Time Portfolio Strategies,47,10.1080/13518470903075854,https://w3id.org/oc/meta/br/06110293117,author_title
ref_12,Asset allocation: how much model choice matter?,Asset Allocation: How Much Does Model Choice Matter?,48,10.1016/j.jbankfin.2012.02.009,https://w3id.org/oc/meta/br/062502818852,author_title
ref_13,Robust portfolio choice with uncertainty about jump and diffusion risk,Robust Portfolio Choice With Uncertainty About Jump And Diffusion Risk,48,10.1016/j.jbankfin.2013.08.023,https://w3id.org/oc/meta/br/062402822846,author_title
ref_14,Robust portfolio choice with ambiguity and learning about return predictability,Robust Portfolio Choice With Ambiguity And Learning About Return Predictability,48,10.1016/j.jbankfin.2012.05.009,https://w3id.org/oc/meta/br/062502818798,author_title
ref_15,Optimal portfolios when volatility can jump,Optimal Portfolios When Volatility Can Jump,48,10.1016/j.jbankfin.2007.09.015,https://w3id.org/oc/meta/br/062602855478,author_title
ref_16,Model specification and risk premia: evidence from future options,Model Specification And Risk Premia: Evidence From Futures Options,44,10.1111/j.1540-6261.2007.01241.x,https://w3id.org/oc/meta/br/06301178523,author_title
ref_17,Incentives and endogenous risk taking: a structural view on hedge funds alphas,Incentives And Endogenous Risk Taking: A Structural View On Hedge Fund Alphas,47,10.1111/jofi.12167,https://w3id.org/oc/meta/br/062501162116,author_title
ref_18,Down or out: assessing the welfare costs of household investment mistakes,Down Or Out: Assessing The Welfare Costs Of Household Investment Mistakes,48,10.1086/524204,https://w3id.org/oc/meta/br/06603167228,author_title
ref_19,Fight or flight? portfolio rebalancing by individual investors,Fight Or Flight? Portfolio Rebalancing By Individual Investors*,48,10.1162/qjec.2009.124.1.301,https://w3id.org/oc/meta/br/06230275714,author_title
ref_20,Consumption and portfolio decisions when expected returns are time-varying,Consumption And Portfolio Decisions When Expected Returns Are Time Varying,48,10.1162/003355399556043,https://w3id.org/oc/meta/br/062603519477,author_title
ref_21,On the structural estimation of an optimal portfolio rule,On The Structural Estimation Of An Optimal Portfolio Rule,45,10.1016/j.frl.2015.12.012,https://w3id.org/oc/meta/br/061201155904,author_title
ref_22,Consumption and portfolio choice over the life cycle,Consumption And Portfolio Choice Over The Life Cycle,48,10.1093/rfs/hhi017,https://w3id.org/oc/meta/br/061601022179,author_title
ref_23,"Reconsidering the continuous time limit of the GARCH(1, 1) process","Reconsidering The Continuous Time Limit Of The GARCH(1,1) Process",47,10.1016/s0304-4076(99)00053-6,https://w3id.org/oc/meta/br/06120791343,author_title
ref_24,Optimal consumption and portfolio policies when asset prices follow a diffusion process,Optimal Consumption And Portfolio Policies When Asset Prices Follow A Diffusion Process,48,10.1016/0022-0531(89)90067-7,https://w3id.org/oc/meta/br/06240329395,author_title
ref_26,Systemic risk and international portfolio choice,Systemic Risk And International Portfolio Choice,48,10.1111/j.1540-6261.2004.00717.x,https://w3id.org/oc/meta/br/06401186449,author_title
ref_27,Portfolio selection: a review,Portfolio Selection: A Review,48,10.1007/s10957-012-0208-1,https://w3id.org/oc/meta/br/062501372370,author_title
ref_28,A Monte Carlo method for optimal portfolios,A Monte Carlo Method For Optimal Portfolios,40,10.1111/1540-6261.00529,https://w3id.org/oc/meta/br/06401186675,author_title
ref_29,Simulation methods for optimal portfolios,Chapter 21 Simulation Methods For Optimal Portfolios,44,10.1016/s0927-0507(07)15021-0,https://w3id.org/oc/meta/br/061803256395,author_title
ref_30,Asset and commodity prices with multi-attribute durable goods,Asset And Commodity Prices With Multi-Attribute Durable Goods,48,10.1016/0165-1889(95)00907-8,https://w3id.org/oc/meta/br/062402784772,author_title
ref_31,Closed-form solutions for optimal portfolio selection with stochastic interest rate and investment constraints,Closed-Form Solutions For Optimal Portfolio Selection With Stochastic Interest Rate And Investment Constraints,48,10.1111/j.1467-9965.2005.00250.x,https://w3id.org/oc/meta/br/062401053148,author_title
ref_32,Dynamic asset allocation: portfolio decomposition formula and applications,Dynamic Asset Allocation: Portfolio Decomposition Formula And Applications,47,10.1093/rfs/hhp040,https://w3id.org/oc/meta/br/061601021814,author_title
ref_33,Optimal consumption-portfolio policies with habit formation,Optimal Consumption-Portfolio Policies With Habit Formation,48,10.1111/j.1467-9965.1992.tb00032.x,https://w3id.org/oc/meta/br/062401053079,author_title
ref_34,Long-term strategic asset allocation: an out-of-sample evaluation,Long-Term Strategic Asset Allocation: An Out-of-Sample Evaluation,47,10.1287/mnsc.2014.1924,https://w3id.org/oc/meta/br/06302350292,author_title
ref_35,Stochastic differential utility,Stochastic Differential Utility,48,10.2307/2951600,https://w3id.org/oc/meta/br/061201565034,author_title
ref_36,Robust portfolio choice with derivative trading under stochastic volatility,Robust Portfolio Choice With Derivative Trading Under Stochastic Volatility,45,10.1016/j.jbankfin.2015.08.033,https://w3id.org/oc/meta/br/062402822261,author_title
ref_37,Robust portfolio choice with stochastic interest rates,Robust Portfolio Choice With Stochastic Interest Rates,47,10.1007/s10436-013-0234-5,https://w3id.org/oc/meta/br/061802575957,author_title
ref_38,Portfolio selection with parameter and model uncertainty: a multi-prior approach,Portfolio Selection With Parameter And Model Uncertainty: A Multi-Prior Approach,48,10.1093/rfs/hhl003,https://w3id.org/oc/meta/br/061601022108,author_title
ref_39,How does household portfolio diversification vary with financial literacy and financial advice?,How Does Household Portfolio Diversification Vary With Financial Literacy And Financial Advice?,48,10.1111/jofi.12231,https://w3id.org/oc/meta/br/062501162072,author_title
ref_40,Evaluating portfolio policies: a duality approach,Evaluating Portfolio Policies: A Duality Approach,48,10.1287/opre.1060.0279,https://w3id.org/oc/meta/br/06210748709,author_title
ref_41,A closed-form solution for options with stochastic volatility with applications to bond and currency options,A Closed-Form Solution For Options With Stochastic Volatility With Applications To Bond And Currency Options,48,10.1093/rfs/6.2.327,https://w3id.org/oc/meta/br/06702845296,author_title
ref_42,Intertemporal preferences for uncertain consumption: a continuous time approach,Intertemporal Preferences For Uncertain Consumption: A Continuous Time Approach,48,10.2307/2951566,https://w3id.org/oc/meta/br/061101575311,author_title
ref_43,Robust consumption and portfolio rules with time-varying model confidence,Robust Consumption And Portfolio Rules With Time-Varying Model Confidence,45,10.1016/j.frl.2016.05.012,https://w3id.org/oc/meta/br/061201155820,author_title
ref_44,Ambiguity and optimal portfolio choice with value-at-risk constraint,Ambiguity And Optimal Portfolio Choice With Value-at-Risk Constraint,45,10.1016/j.frl.2016.04.013,https://w3id.org/oc/meta/br/061201155860,author_title
ref_46,Decomposition of optimal portfolio weight in a jump-diffusion model and its applications,Decomposition Of Optimal Portfolio Weight In A Jump-Diffusion Model And Its Applications,48,10.1093/rfs/hhs083,https://w3id.org/oc/meta/br/061601021516,author_title
ref_47,Paper millionaires: how valuable is stock to a stockholder who is restricted from selling it?,Paper Millionaires: How Valuable Is Stock To A Stockholder Who Is Restricted From Selling It?,48,10.1016/s0304-405x(02)00258-1,https://w3id.org/oc/meta/br/0690811896,author_title
ref_48,Option pricing and hedging with small transaction costs,Option Pricing And Hedging With Small Transaction Costs,47,10.1111/mafi.12035,https://w3id.org/oc/meta/br/062401052722,author_title
