reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,2017,120,152,Bassin,Revealing the bacterial profile of an anoxic-aerobic moving-bed biofilm reactor system treating a chemical industry wastewater,,,10.1016/j.ibiod.2017.01.036,,11,11,N/A,N/A,No,Yes
ref_3,2005,,,Davies,,,,,,N/A,N/A,N/A,N/A,No,No
ref_4,1996,9,155,Drucker,Support vector regression machines,,,,,12,12,N/A,N/A,No,Yes
ref_6,2008,,,Henze,,,,,,N/A,N/A,N/A,N/A,No,No
ref_7,2000,,,Henze,,,,,,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,,"Hsu, C., Chang, C., and Lin, C. (2010). A practical guide to support vector classification. https://www.csie.ntu.edu.tw/∼cjlin/papers/guide/guide.pdf. Online; accessed 12 Oktober 2018.",N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,10.1371/journal.pone.0152998,"Liu, T., Liu, S., Zheng, M., Chen, Q., and Ni, J. (2016). Performance assessment of full-scale wastewater treatment plants based on seasonal variability of microbial communities via high-throughput sequencing. PLoS ONE, 11.",N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,10.1016/j.ibiod.2015.02.008,"Muszynski, A., Tabernacka, A., and Miobedzka, A. (2015). Long-term dynamics of the microbial community in a full-scale wastewater treatment plant. International Biodeterioration & Biodegradation, 44–51.",N/A,N/A,N/A,N/A,No,No
ref_12,2002,,,Scholkopf,,,,,,N/A,N/A,N/A,N/A,No,No
ref_13,2014,,,Xu,,,,,,N/A,N/A,N/A,N/A,No,No
