reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,A systematic review of low back pain cost of illness studies in the United States and internationally,A Systematic Review Of Low Back Pain Cost Of Illness Studies In The United States And Internationally,41,10.1016/j.spinee.2007.10.005,https://w3id.org/oc/meta/br/06250294206,year_volume_page
ref_2,A systematic review of the global prevalence of low back pain,A Systematic Review Of The Global Prevalence Of Low Back Pain,48,10.1002/art.34347,https://w3id.org/oc/meta/br/062503092534,author_title
ref_4,"The effect of core stability exercises on variations in acceleration of trunk movement, pain, and disability during an episode of acute nonspecific low back pain: a pilot clinical trial","The Effect Of Core Stability Exercises On Variations In Acceleration Of Trunk Movement, Pain, And Disability During An Episode Of Acute Nonspecific Low Back Pain: A Pilot Clinical Trial",48,10.1016/j.jmpt.2012.12.012,https://w3id.org/oc/meta/br/0645027230,author_title
ref_5,Visceral mobilization can lyse and prevent peritoneal adhesions in a rat model,Visceral Mobilization Can Lyse And Prevent Peritoneal Adhesions In A Rat Model,48,10.1016/j.jbmt.2011.02.004,https://w3id.org/oc/meta/br/06150996022,author_title
ref_6,The effect of osteopathic treatment on chronic constipation–a pilot study,The Effect Of Osteopathic Treatment On Chronic Constipation – A Pilot Study,48,10.1016/j.ijosm.2009.10.002,https://w3id.org/oc/meta/br/06902411421,author_title
ref_7,How common is back pain in women with gastrointestinal problems?,How Common Is Back Pain In Women With Gastrointestinal Problems?,41,10.1097/ajp.0b013e31815d3601,https://w3id.org/oc/meta/br/061601246115,year_volume_page
ref_8,Disorders of breathing and continence have a stronger association with back pain than obesity and physical activity,Disorders Of Breathing And Continence Have A Stronger Association With Back Pain Than Obesity And Physical Activity,41,10.1016/s0004-9514(06)70057-5,https://w3id.org/oc/meta/br/062603641244,year_volume_page
ref_9,The relationship between foot motion and lumbopelvic–hip function: a review of the literature,The Relationship Between Foot Motion And Lumbopelvic–Hip Function: A Review Of The Literature,41,10.1016/j.foot.2012.03.006,https://w3id.org/oc/meta/br/061601040733,year_volume_page
ref_12,Does the addition of visceral manipulation improve outcomes for patients with low backpain? Rationale and study protocol,Does The Addition Of Visceral Manipulation Improve Outcomes For Patients With Low Back Pain? Rationale And Study Protocol,48,10.1016/j.jbmt.2012.12.004,https://w3id.org/oc/meta/br/06150995891,author_title
ref_13,Central sensitization: implications for the diagnosis and treatment of pain,Central Sensitization: Implications For The Diagnosis And Treatment Of Pain,24,10.1016/j.pain.2010.09.030,https://w3id.org/oc/meta/br/06140792719,author_title
ref_14,Evidence of augmented central pain processing in idiopathic chronic low back pain,Evidence Of Augmented Central Pain Processing In Idiopathic Chronic Low Back Pain,48,10.1002/art.20063,https://w3id.org/oc/meta/br/061503108350,author_title
ref_16,The immediate effects of sigmoid colon manipulation on pressure pain thresholds in the lumbar spine,The Immediate Effects Of Sigmoid Colon Manipulation On Pressure Pain Thresholds In The Lumbar Spine,41,10.1016/j.jbmt.2012.02.004,https://w3id.org/oc/meta/br/06150995962,year_volume_page
ref_17,Low back pain and kidney mobility: local osteopathic fascial manipulation decreases pain perception and improves renal mobility,Low Back Pain And Kidney Mobility: Local Osteopathic Fascial Manipulation Decreases Pain Perception And Improves Renal Mobility,48,10.1016/j.jbmt.2012.02.001,https://w3id.org/oc/meta/br/06150995966,author_title
ref_19,An updated overview of clinical guidelines for the management of non-specific low back pain in primary care,An Updated Overview Of Clinical Guidelines For The Management Of Non-Specific Low Back Pain In Primary Care,41,10.1007/s00586-010-1502-y,https://w3id.org/oc/meta/br/061602724873,year_volume_page
ref_20,Responsiveness of the numeric pain rating scale in patients with low back pain,Responsiveness Of The Numeric Pain Rating Scale In Patients With Low Back Pain,48,10.1097/01.brs.0000164099.92112.29,https://w3id.org/oc/meta/br/0616096209,author_title
ref_21,"The Modified-Modified Schober Test for range of motion assessment of lumbar flexion in patients with low back pain: a study of criterion validity, intra- and inter-rater reliability and minimum metrically detectable change","The Modified – Modified Schober Test For Range Of Motion Assessment Of Lumbar Flexion In Patients With Low Back Pain: A Study Of Criterion Validity, Intra- And Inter-Rater Reliability And Minimum Metrically Detectable Change",48,10.1080/09638280400018411,https://w3id.org/oc/meta/br/0610666947,year_author_page
ref_22,"Translation, adaptation and validation of the Roland-Morris questionnaire–Brazil Roland-Morris","Translation, Adaptation And Validation Of The Roland-Morris Questionnaire - Brazil Roland-Morris",48,10.1590/s0100-879x2001000200007,https://w3id.org/oc/meta/br/06302254452,author_title
ref_23,"The patient-specific functional scale: psychometrics, clinimetrics, and application as a clinical outcome measure","The Patient-Specific Functional Scale: Psychometrics, Clinimetrics, And Application As A Clinical Outcome Measure",40,10.2519/jospt.2012.3727,https://w3id.org/oc/meta/br/0650401544,year_volume_page
ref_24,Clinimetric testing of three self-report outcome measures for low back pain patients in Brazil: which one is the best?,Clinimetric Testing Of Three Self-report Outcome Measures For Low Back Pain Patients In Brazil,41,10.1097/brs.0b013e3181849dbe,https://w3id.org/oc/meta/br/0690102367,year_volume_page
ref_25,Assessing disability and change on individual patients: a report of a patient specific measure,Assessing Disability And Change On Individual Patients: A Report Of A Patient Specific Measure,48,10.3138/ptc.47.4.258,https://w3id.org/oc/meta/br/062101279946,author_title
ref_26,Exercise therapy for chronic musculoskeletal pain: innovation by altering pain memories,Exercise Therapy For Chronic Musculoskeletal Pain: Innovation By Altering Pain Memories,41,10.1016/j.math.2014.07.004,https://w3id.org/oc/meta/br/06170962665,year_volume_page
ref_27,"Low back Pain: clinical practice guidelines linked to the International Classification of Functioning, Disability, and Health from the Orthopaedic Section of the American Physical Therapy Association",Low Back Pain,48,10.2519/jospt.2012.42.4.a1,https://w3id.org/oc/meta/br/0640406621,year_author_page
ref_28,Ultrasound evidence of altered lumbar connective tissue structure in human subjects with chronic low back pain,Ultrasound Evidence Of Altered Lumbar Connective Tissue Structure In Human Subjects With Chronic Low Back Pain,40,10.1186/1471-2474-10-151,https://w3id.org/oc/meta/br/06160461178,author_title
