reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,10.1016/j.joca.2007.06.010,"1) Toda Y, Tsukimura N: Influence of concomitant heeled footwear when wearing a lateral wedged insole for medial compartment osteoarthritis of the knee. Osteoarthritis Cartilage, 2008, 16: 244–253.",N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.1016/j.joca.2007.12.013,"2) Zhang W, Moskowitz RW, Nuki G, et al.: OARSI recommendations for the management of hip and knee osteoarthritis, Part II: OARSI evidence-based, expert consensus guidelines. Osteoarthritis Cartilage, 2008, 16: 137–162.",N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1002/art.23326,"3) Hinman RS, Payne C, Metcalf BR, et al.: Lateral wedges in knee osteoarthritis: what are their immediate clinical and biomechanical effects and can these predict a three-month clinical outcome? Arthritis Rheum, 2008, 59: 408–415.",N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.1016/j.apmr.2006.08.018,"4) Shimada S, Kobayashi S, Wada M, et al.: Effects of disease severity on response to lateral wedged shoe insole for medial compartment knee osteoarthritis. Arch Phys Med Rehabil, 2006, 87: 1436–1441.",N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,10.1016/j.clinbiomech.2015.07.002,"5) Sousa AS, Silva A, Santos R: Ankle anticipatory postural adjustments during gait initiation in healthy and post-stroke subjects. Clin Biomech (Bristol, Avon), 2015, 30: 960–965.",N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,10.1053/apmr.2001.19022,"6) Cowan SM, Bennell KL, Hodges PW, et al.: Delayed onset of electromyographic activity of vastus medialis obliquus relative to vastus lateralis in subjects with patellofemoral pain syndrome. Arch Phys Med Rehabil, 2001, 82: 183–189.",N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1016/S0003-9993(98)90425-7,"7) Polcyn AF, Lipsitz LA, Kerrigan DC, et al.: Age-related changes in the initiation of gait: degradation of central mechanisms for momentum generation. Arch Phys Med Rehabil, 1998, 79: 1582–1589.",N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1016/S0966-6362(98)00020-4,"8) Halliday SE, Winter DA, Frank JS, et al.: The initiation of gait in young, elderly, and Parkinson’s disease subjects. Gait Posture, 1998, 8: 8–14.",N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,10.1002/mds.870090203,"9) Elble RJ, Moody C, Leffler K, et al.: The initiation of normal walking. Mov Disord, 1994, 9: 139–146.",N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,,"10) Katayama Y, Senda M, Hamada M, et al.: Relationship between postural balance and knee and toe muscle power in young women. Acta Med Okayama, 2004, 58: 189–195.",N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,10.3928/0147-7447-19970901-24,"11) Freeman MA: Soft tissues: a question of balance. Orthopedics, 1997, 20: 827–831.",N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,10.2147/CIA.S149038,"12) de Morais Barbosa C, Bértolo MB, Gaino JZ, et al.: The effect of flat and textured insoles on the balance of primary care elderly people: a randomized controlled clinical trial. Clin Interv Aging, 2018, 13: 277–284.",N/A,N/A,N/A,N/A,No,No
ref_13,,,,,,,,10.1123/jsr.16.4.363,"13) Corbin DM, Hart JM, McKeon PO, et al.: The effect of textured insoles on postural control in double and single limb stance. J Sport Rehabil, 2007, 16: 363–372.",N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.1016/j.gaitpost.2015.09.014,"14) Khanmohammadi R, Talebian S, Hadian MR, et al.: Characteristic muscle activity patterns during gait initiation in the healthy younger and older adults. Gait Posture, 2016, 43: 148–153.",N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,10.1002/art.40808,"15) Felson DT, Parkes M, Carter S, et al.: The efficacy of a lateral wedge insole for painful medial knee osteoarthritis after prescreening: a randomized clinical trial. Arthritis Rheumatol, 2019, 71: 908–915.",N/A,N/A,N/A,N/A,No,No
