reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,10.1039/b210142b,,N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.1016/j.cbpa.2007.01.010,,N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1038/nchembio.186,,N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.1080/1040841X.2016.1192578,,N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,10.1016/j.bbagen.2014.05.006,,N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,10.2174/1381612811319140013,,N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1093/emboj/16.7.1475,,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1146/annurev.nu.08.070188.001431,,N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,10.1074/jbc.M808063200,,N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,10.1021/acsinfecdis.7b00237,,N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,10.1016/j.jsb.2011.04.013,,N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,10.1039/c1cc12929e,,N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.1016/j.jmb.2006.08.083,,N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,10.1074/jbc.M111.331652,,N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,10.1074/jbc.M704951200,,N/A,N/A,N/A,N/A,No,No
ref_17,,,,,,,,10.1002/pro.607,,N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,10.1099/ijsem.0.002519,,N/A,N/A,N/A,N/A,No,No
ref_19,2012,,,Pedrolli,"Riboflavin analogs as antiinfectives: occurrence, mode of action, metabolism and resistance",,,,,N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,10.1128/JB.00646-13,,N/A,N/A,N/A,N/A,No,No
ref_21,,,,,,,,10.1021/bi400348d,,N/A,N/A,N/A,N/A,No,No
ref_22,,,,,,,,10.1007/978-1-4939-0452-5_3,,N/A,N/A,N/A,N/A,No,No
ref_23,,,,,,,,10.1016/j.jmb.2008.11.001,,N/A,N/A,N/A,N/A,No,No
ref_24,,,,,,,,10.1099/mic.0.000662,,N/A,N/A,N/A,N/A,No,No
ref_25,,,,,,,,10.1128/jb.176.8.2252-2258.1994,,N/A,N/A,N/A,N/A,No,No
ref_26,,,,,,,,10.1128/JB.00615-07,,N/A,N/A,N/A,N/A,No,No
ref_27,,,,,,,,10.1016/0378-1097(96)00229-7,,N/A,N/A,N/A,N/A,No,No
ref_28,,,,,,,,10.1007/s11814-009-0074-1,,N/A,N/A,N/A,N/A,No,No
ref_29,,,,,,,,10.1128/JB.186.3.595-600.2004,,N/A,N/A,N/A,N/A,No,No
ref_30,,,,,,,,10.1093/nar/gks616,,N/A,N/A,N/A,N/A,No,No
ref_31,,,,,,,,10.1128/JB.01592-12,,N/A,N/A,N/A,N/A,No,No
