reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,,"Alder, D. Ghafosim: A Projection System for Natural Forest Growth and Yield in Ghana. Manas Systems Ltd., Oxford, 1989. p. 114.",N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.1016/S0963-8695(00)00072-4,"Badel, E., Perré, P. (2001) Using a digital X-ray imaging device to measure the swelling coefficients of a group of wood cells. NDT & E Int. 34:345–353.",N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1007/s00468-006-0105-z,"Badel, E., Perré, P. (2007) The shrinkage of oak predicted from its anatomical pattern: validation of a cognitive model. Trees 21:111–120.",N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.1163/22941932-20160127,"Beeckman, H. (2016) Wood anatomy and trait-based ecology. IAWA J. 37:127–151.",N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,10.1007/s11340-015-0009-1,"Blaber, J., Adair, B., Antoniou, A. (2015) Ncorr: open-source 2D digital image correlation MATLAB software. Exp. Mech. 55:1105–1122.",N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,,"Blaser, J., Sarre, A., Poore, D., Johnson, S. (2011) Status of tropical forest management. In: ITTO Technical Series No 38, International Tropical Timber Organization. Yokohama, Japan.",N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1371/journal.pone.0150777,"Bossu, J., Beauchêne, J., Estevez, Y., Duplais, C., Clair, B. (2016) New insights on wood dimensional stability influenced by secondary metabolites: the case of a fast-growing tropical species. PloS One 11:17.",N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1080/03610927408827101,"Calinski, R.B., Harabasz, J. (1974) A dendrite method for cluster analysis. Commun. Stat. 3:1–27.",N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,10.3390/f9120763,"De Mil, T., Tarelkin, Y., Hahn, S., Hubau, W., Deklerck, V., Debeir, O., Van Acker, J., de Cannière, C., Beeckman, H., Van den Bulcke, J. (2018) Wood density profiles and their corresponding tissue fractions in tropical angiosperm trees. Forests 9:763.",N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,10.1111/j.1365-2745.2011.01939.x,"Fan, Z., Zhang, S., Hao, G., Slik, J.W.F., Cao, K. (2012) Hydraulic conductivity traits predict growth rates and adult stature of 40 Asian tropical tree species better than wood density. J. Ecol. 100:732–741.",N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,,"FAO (2011) Food and Agriculture Organization of the United Nations. State of the World’s Forests, Rome.",N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,10.1111/nph.12632,"Fortunel, C., Ruelle, J., Beauchene, J., Fine, P.V.A., Baraloto, C. (2014) Wood specific gravity and anatomy of branches and roots in 113 Amazonian rainforest tree species across environmental gradients. New Phytol. 202:79–94.",N/A,N/A,N/A,N/A,No,No
ref_13,,,,,,,,10.1016/j.cub.2015.10.002,"Goodwin, Z.A., Harris, D.J., Filer, D., Wood, J.R.I., Scotland, R.W. (2015) Widespread mistaken identity in tropical plant collections. Curr. Biol. 25:R1066–R1067.",N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.1007/s10035-009-0155-1,"Hall, S.A., Muir Wood, D., Ibraim, E., Viggiani, G. (2010) Localised deformation patterning in 2D granular materials revealed by digital image correlation. Granul. Matter 12:1–14.",N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,,"Harilal, R., Ramji, M. (2014) Adaptation of open source 2D DIC software Ncorr for solid mechanics applications. 9th International Symposium on Advanced Science and Technology in Experimental Mechanics, New Delhi, India.",N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,,"Henning, C. (2018) Package “fpc”. https://cran.r-project.org/web/packages/fpc/index.html.",N/A,N/A,N/A,N/A,No,No
ref_17,,,,,,,,,"ITTO. Biennial Review and Assessment of the World Timber Situation. Yokohama, Japan, 2016.",N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,10.1111/j.1365-2745.2006.01186.x,"Jacobsen, A.L., Agenbag, L., Esler, K.J., Pratt, R.B., Ewers, F.W., Davis, S.D. (2007) Xylem density, biomechanics and anatomical traits correlate with water stress in 17 evergreen shrub species of the Mediterranean-type climate region of South Africa. J. Ecol. 95:171–183.",N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,,"Klaassen, R.K.W. (2018) Houtvademecum. Eds. Klaassen, H.M., Zuijdwijk, M. 11th ed. Vakbladen.com & Smartwave, Zwolle. p. 832.",N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,,"Legendre, P. (2018) Package “lmodel2”. https://cran.r-project.org/web/packages/lmodel2/index.html.",N/A,N/A,N/A,N/A,No,No
ref_21,,,,,,,,10.1007/s00107-009-0355-8,"Leonardon, M., Altaner, C.M., Vihermaa, L., Jarvis, M.C. (2010) Wood shrinkage: influence of anatomy, cell wall architecture, chemical composition and cambial age. Eur. J. Wood Prod. 68:87–94.",N/A,N/A,N/A,N/A,No,No
ref_22,,,,,,,,,"Li, W., Van den Bulcke, J., De Windt, I., Dierick, M., Van Acker, J. (2015) Non-destructive monitoring of structure and moisture dynamics of plywood exposed outdoors to improve service life prediction and fit-for-purpose design. Proceedings IRG Annual Meeting. International Research Group on Wood Protection, Viña del Mar, Chile.",N/A,N/A,N/A,N/A,No,No
ref_23,,,,,,,,,"Lindegaard, B., Morsing, N. (2003) Natural durability of European wood species for exterior use above ground. Proceedings IRG Annual Meeting. International Research Group on Wood Protection, Brisbane, Australia.",N/A,N/A,N/A,N/A,No,No
ref_24,,,,,,,,,"Maechler, M., Rousseeuw, P., Struyf, A., Hubert, M., Hornik, K., Studer, M., Roudier, P., Gonzalez, J., Kozlowski, K. (2018) Package “cluster” for RStudio. Repository Cran. Retrieved from http://cran.r-project.org/web/packages/cluster/index.html.",N/A,N/A,N/A,N/A,No,No
ref_25,,,,,,,,10.3832/ifor0575-004,"Maniatis, D., Saint André, L., Temmerman, M., Malhi, Y., Beeckman, H. (2011) The potential of using xylarium wood samples for wood density calculations: a comparison of approaches for volume measurement. IForest 4:150–159.",N/A,N/A,N/A,N/A,No,No
ref_26,,,,,,,,10.1007/BF00192691,"Mantanis, G.I., Young, R.A., Rowell, R.M. (1994) Swelling of wood. Part 1. Swelling in water. Wood Sci. Technol. 28:119–134.",N/A,N/A,N/A,N/A,No,No
ref_27,,,,,,,,10.3732/ajb.0800237,"Martínez-cabrera, H.I., Jones, C.S., Espino, S., Schenk, H.J. (2009) Wood anatomy and wood density in shrubs: responses to varying aridity along transcontinental transects. Am. J. Bot. 96:1388–1398.",N/A,N/A,N/A,N/A,No,No
ref_28,,,,,,,,,"Moore, J. (2012) Professional papers growing fit-for-purpose structural timber, what is the target and how do we get there? New Zeal. J. For. 57:17–24.",N/A,N/A,N/A,N/A,No,No
ref_29,,,,,,,,10.18637/jss.v001.i04,"Mouselimis, L. (2018) Package “ClusterR” for RStudio. Repository Cran. Retrieved from https://doi.org/10.18637/jss.v001.i04.",N/A,N/A,N/A,N/A,No,No
ref_30,,,,,,,,10.1088/0957-0233/20/6/062001,"Pan, B., Qian, K., Xie, H., Asundi, A. (2009) Two-dimensional digital image correlation for in-plane displacement and strain measurement: a review. Meas. Sci. Technol. 20:062001.",N/A,N/A,N/A,N/A,No,No
ref_31,,,,,,,,10.1016/j.optlaseng.2011.05.005,"Pan, B., Dafang, W., Yong, X. (2012) Incremental calculation for large deformation measurement using reliability-guided digital image correlation. Opt. Laser Eng. 50:586–592.",N/A,N/A,N/A,N/A,No,No
ref_32,,,,,,,,10.1007/s00226-017-0960-3,"Patera, A., Van den Bulcke, J., Boone, M.N., Derome, D., Carmeliet, J. (2018) Swelling interactions of earlywood and latewood across a growth ring: global and local deformations. Wood Sci. Technol. 52:91–114.",N/A,N/A,N/A,N/A,No,No
ref_33,,,,,,,,10.1515/hf-2011-0124,"Peng, M., Ho, Y.-C., Wang, W.-C., Chui, Y.H., Gong, M. (2012) Measurement of wood shrinkage in jack pine using three dimensional digital image correlation (DIC). Holzforschung 66:639–643.",N/A,N/A,N/A,N/A,No,No
ref_34,,,,,,,,10.1016/0378-1127(96)03736-X,"Poorter, L., Bongers, F., van Rompaey, R. (1996) Regeneration of canopy tree species at five sites in West African moist forest. For. Ecol. Manage. 84:61–69.",N/A,N/A,N/A,N/A,No,No
ref_35,,,,,,,,10.1111/j.1469-8137.2009.03092.x,"Poorter, L., Mcdonald, I., Alarcón, A., Fichtler, E., Peña-claros, M., Sterck, F., Villegas, Z., Sass-Klaassen, U. (2010) The importance of wood traits and hydraulic conductance for the performance and life history strategies of 42 rainforest species. New Phytol. 185:481–492.",N/A,N/A,N/A,N/A,No,No
ref_36,,,,,,,,10.1111/j.1469-8137.2007.02061.x,"Pratt, R.B., Jacobsen, A.L., Ewers, F.W., Davis, S.D. (2007) Relationships among xylem transport, biomechanics and storage in stems and roots of nine Rhamnaceae species of the California chaparral. New Phytol. 174:787–798.",N/A,N/A,N/A,N/A,No,No
ref_37,,,,,,,,10.1111/j.1469-8137.2006.01712.x,"Preston, K.A., Cornwell, W.K., Denoyer, J.L., Preston, K.A., Cornwell, W.K., Denoyer, J.L. (2006) Wood density and vessel traits as dinstinct correlates of ecological strategy in 51 California coast range angiosperms. New Phytol. 170:807–818.",N/A,N/A,N/A,N/A,No,No
ref_38,,,,,,,,10.1016/j.foreco.2005.04.020,"Ruiz Perez, M., Ezzine-de-Blas, D., Nasi, R., Sayer, J.A., Sassen, M., Angoue, C., Gami, N., Ndoye, O., Ngono, G., Nguinguiri, J.-C., Nzala, D., Toirambe, B., Yalibanda, Y. (2005) Logging in the Congo Basin: a multi-country characterization of timber companies. Forest Ecol. Manag. 214:221–236.",N/A,N/A,N/A,N/A,No,No
ref_39,,,,,,,,10.1038/nmeth.2089,"Schneider, C.A., Rasband, W.S., Eliceiri, K.W. (2012) NIH Image to ImageJ: 25 years of image analysis. Nat. Methods 9:671–675.",N/A,N/A,N/A,N/A,No,No
ref_40,,,,,,,,10.1007/s00226-015-0699-7,"Schulgasser, K., Witztum, A. (2015) How the relationship between denisty and shrinkage of wood depends on its microstructure. Wood Sci. Technol. 49:389–401.",N/A,N/A,N/A,N/A,No,No
ref_41,,,,,,,,10.1016/j.biocon.2011.10.036,"Shearman, P., Bryan, J., Laurance, W.F. (2012) Are we approaching “peak timber” in the tropics? Biol. Conserv. 151:17–21.",N/A,N/A,N/A,N/A,No,No
ref_42,,,,,,,,,"Shukla, S.R., Kamdem, D.P. (2010) Dimensional stability of nine tropical hardwoods from Cameroon. J. Trop. For. Sci. 22:389–396.",N/A,N/A,N/A,N/A,No,No
ref_43,,,,,,,,10.1007/978-3-642-73683-4,"Skaar, C. Wood-Water Relations. Springer, Berlin, 1988.",N/A,N/A,N/A,N/A,No,No
ref_44,,,,,,,,,"Stamm, A.J. Wood and Cellulose Science. The Ronald Press Company, New York, 1964.",N/A,N/A,N/A,N/A,No,No
ref_45,,,,,,,,,"Suchsland, O. The Swelling and Shrinking of Wood: A Practical Technology Primer. Forest Products Society, Madison, WI, 2004.",N/A,N/A,N/A,N/A,No,No
ref_46,,,,,,,,10.3732/ajb.94.3.451,"Swenson, N.G., Enquist, B.J.E. (2007) Ecological and evolutionary determinants of a key plant function trait: wood density and its community-wide variation across latitude and elevation. Nature 94:451–459.",N/A,N/A,N/A,N/A,No,No
ref_47,,,,,,,,,"Van Acker, J., Michon, S., Van den Bulcke, J., De Windt, I. (2011) Limited variability in biological durability of thermally modified timber using vacuum based technology. Proceedings IRG Annual Meeting. International Research Group on Wood Protection, Queenstown, New Zealand.",N/A,N/A,N/A,N/A,No,No
ref_48,,,,,,,,10.1163/22941932-90000496,"Wheeler, E., Baas, P., Gasson, P. (1989) IAWA list of microscopic features for hardwood identification. IAWA Bull. 10:219–332.",N/A,N/A,N/A,N/A,No,No
ref_49,,,,,,,,10.1007/978-0-387-98141-3,"Wickham, H. ggplot2: Elegant Graphics for Data Analysis. Springer-Verlag, New York, 2009.",N/A,N/A,N/A,N/A,No,No
ref_50,,,,,,,,10.3732/ajb.0900178,"Zanne, A.E., Westoby, M., Falster, D.S., Ackerly, D.D., Loarie, S.R., Arnold, S.E.J., Coomes, D.A. (2010) Angiosperm wood structure: global patterns in vessel anatomy and their relation to wood density and potential conductivity. Am. J. Bot. 97:207–215.",N/A,N/A,N/A,N/A,No,No
