reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,N/A,Electronic Health Records: New Opportunities For Clinical Research,34,10.1111/joim.12119,https://w3id.org/oc/meta/br/0610897973,year_author_page
ref_4,N/A,Machine Learning In Automated Text Categorization,27,10.1145/505282.505283,https://w3id.org/oc/meta/br/061603520946,year_volume_page
ref_6,N/A,Understanding Natural Language,34,10.1016/0010-0285(72)90002-3,https://w3id.org/oc/meta/br/0620489592,year_author_page
ref_9,N/A,Toward Electronic Medical Records That Improve Care,34,10.7326/0003-4819-122-9-199505010-00007,https://w3id.org/oc/meta/br/06504294912,year_author_page
ref_10,N/A,Extracting Information From Textual Documents In The Electronic Health Record: A Review Of Recent Research,34,10.1055/s-0038-1638592,https://w3id.org/oc/meta/br/06160889477,year_author_page
ref_12,N/A,The 5-Year Course Of Obsessive-Compulsive Symptoms And Obsessive-Compulsive Disorder In First-Episode Schizophrenia And Related Disorders,27,10.1093/schbul/sbr077,https://w3id.org/oc/meta/br/06180671203,year_volume_page
ref_15,N/A,The Yale-Brown Obsessive Compulsive Scale: Interview Versus Self-Report.,31,10.1016/0005-7967(96)00036-8,https://w3id.org/oc/meta/br/06210527983,year_author_page
ref_16,N/A,The Use Of Confidence Or Fiducial Limits Illustrated In The Case Of The Binomial,37,10.1093/biomet/26.4.404,https://w3id.org/oc/meta/br/06230327821,author_title
ref_17,N/A,Identification Of The Delivery Of Cognitive Behavioural Therapy For Psychosis (CBTp) Using A Cross-Sectional Sample From Electronic Health Records And Open-Text Information In A Large UK-based Mental Health Case Register,34,10.1136/bmjopen-2016-015297,https://w3id.org/oc/meta/br/06802342598,year_author_page
ref_18,N/A,Identification Of Adverse Drug Events From Free Text Electronic Patient Records And Information In A Large Mental Health Case Register,48,10.1371/journal.pone.0134208,https://w3id.org/oc/meta/br/061101526076,year_author_page
ref_19,N/A,Rule-based Information Extraction From Patients’ Clinical Data,34,10.1016/j.jbi.2009.07.007,https://w3id.org/oc/meta/br/06210956297,year_author_page
