reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Characterization of neocortical principal cells and interneurons by network interactions and extracellular features.,Characterization Of Neocortical Principal Cells And Interneurons By Network Interactions And Extracellular Features,48,10.1152/jn.01170.2003,https://w3id.org/oc/meta/br/062401353708,author_title
ref_2,Long-term suppression of tremor by chronic stimulation of the ventral intermediate thalamic nucleus.,Long-term Suppression Of Tremor By Chronic Stimulation Of The Ventral Intermediate Thalamic Nucleus,48,10.1016/0140-6736(91)91175-t,https://w3id.org/oc/meta/br/063404560,author_title
ref_3,Essential tremor severity and anatomical changes in brain areas controlling movement sequencing.,Essential Tremor Severity And Anatomical Changes In Brain Areas Controlling Movement Sequencing,47,10.1002/acn3.681,https://w3id.org/oc/meta/br/06201175120,author_title
ref_4,Measuring burstiness and regularity in oscillatory spike trains.,Measuring Burstiness And Regularity In Oscillatory Spike Trains,48,10.1016/j.jneumeth.2011.08.013,https://w3id.org/oc/meta/br/0620463611,author_title
ref_5,Emerging views of corticothalamic function.,Emerging Views Of Corticothalamic Function,48,10.1016/j.conb.2008.09.002,https://w3id.org/oc/meta/br/06150866668,author_title
ref_6,Cortical volume and folding abnormalities in Parkinson’s disease patients with pathological gambling.,Cortical Volume And Folding Abnormalities In Parkinson's Disease Patients With Pathological Gambling,41,10.1016/j.parkreldis.2014.09.001,https://w3id.org/oc/meta/br/061602432000,year_volume_page
ref_7,Current clinical application of deep-brain stimulation for essential tremor.,Current Clinical Application Of Deep-Brain Stimulation For Essential Tremor,45,10.2147/ndt.s32342,https://w3id.org/oc/meta/br/062103090208,author_title
ref_10,Surgery for dystonia and tremor.,Surgery For Dystonia And Tremor,40,10.1007/s11910-016-0627-8,https://w3id.org/oc/meta/br/06230879631,author_title
ref_14,Microstimulation-induced inhibition of neuronal firing in human globus pallidus.,Microstimulation-Induced Inhibition Of Neuronal Firing In Human Globus Pallidus,48,10.1152/jn.2000.84.1.570,https://w3id.org/oc/meta/br/061601377678,author_title
ref_15,What is essential tremor?,What Is Essential Tremor?,40,10.1007/s11910-013-0353-4,https://w3id.org/oc/meta/br/06230879900,author_title
ref_16,Mechanisms of deep brain stimulation for essential tremor.,Mechanisms Of Deep Brain Stimulation For Essential Tremor,48,10.1093/brain/awt347,https://w3id.org/oc/meta/br/061601876856,author_title
ref_17,Thalamic bursting in rats during different awake behavioral states.,Thalamic Bursting In Rats During Different Awake Behavioral States,48,10.1073/pnas.261273898,https://w3id.org/oc/meta/br/062403047474,author_title
ref_18,Tapping the brakes: cellular and synaptic mechanisms that regulate thalamic oscillations.,Tapping The Brakes: Cellular And Synaptic Mechanisms That Regulate Thalamic Oscillations,48,10.1016/j.neuron.2016.10.024,https://w3id.org/oc/meta/br/062402012395,author_title
ref_19,"A force-plate actometer for quantitating rodent behaviors: illustrative data on locomotion, rotation, spatial patterning, stereotypies, and tremor.","A Force-Plate Actometer For Quantitating Rodent Behaviors: Illustrative Data On Locomotion, Rotation, Spatial Patterning, Stereotypies, And Tremor",41,10.1016/s0165-0270(01)00359-4,https://w3id.org/oc/meta/br/061703729048,year_volume_page
ref_20,Time delay and partial coherence analyses to identify cortical connectivities.,Time Delay And Partial Coherence Analyses To Identify Cortical Connectivities,48,10.1007/s00422-005-0045-5,https://w3id.org/oc/meta/br/062201750257,author_title
ref_21,Harmaline tremor: underlying mechanisms in a potential animal model of essential tremor.,Harmaline Tremor: Underlying Mechanisms In A Potential Animal Model Of Essential Tremor.,37,10.7916/d8td9w2p,https://w3id.org/oc/meta/br/06404289097,author_title
ref_22,The Anesthetic mechanism of urethane: the effects on neurotransmitter-gated ion channels.,The Anesthetic Mechanism Of Urethane: The Effects On Neurotransmitter-Gated Ion Channels,48,10.1213/00000539-200202000-00015,https://w3id.org/oc/meta/br/06501010998,author_title
ref_23,Mouse motor cortex coordinates the behavioral response to unpredicted sensory feedback.,Mouse Motor Cortex Coordinates The Behavioral Response To Unpredicted Sensory Feedback,37,10.1016/j.neuron.2018.07.046,https://w3id.org/oc/meta/br/062603903976,author_title
ref_24,Tremor-correlated cortical activity detected by electroencephalography.,Tremor-correlated Cortical Activity Detected By Electroencephalography,41,10.1016/s1388-2457(00)00248-0,https://w3id.org/oc/meta/br/06104218256,year_volume_page
ref_25,Tremor-correlated cortical activity in essential tremor.,Tremor-correlated Cortical Activity In Essential Tremor,48,10.1016/s0140-6736(00)04044-7,https://w3id.org/oc/meta/br/063801330,author_title
ref_26,Thalamic neuronal activity correlated with essential tremor.,Thalamic Neuronal Activity Correlated With Essential Tremor,48,10.1136/jnnp.64.2.273,https://w3id.org/oc/meta/br/06701368637,author_title
ref_27,Motor thalamic circuits in primates with emphasis on the area targeted in treatment of movement disorders.,Motor Thalamic Circuits In Primates With Emphasis On The Area Targeted In Treatment Of Movement Disorders,40,10.1002/mds.10137,https://w3id.org/oc/meta/br/0620666398,author_title
ref_28,Bursts as a unit of neural information: selective communication via resonance.,Bursts As A Unit Of Neural Information: Selective Communication Via Resonance,41,10.1016/s0166-2236(03)00034-1,https://w3id.org/oc/meta/br/062403736738,year_volume_page
ref_29,Neuronal response to local electrical stimulation in rat thalamus: physiological implications for mechanisms of deep brain stimulation.,Neuronal Response To Local Electrical Stimulation In Rat Thalamus: Physiological Implications For Mechanisms Of Deep Brain Stimulation,41,10.1016/s0306-4522(02)00122-7,https://w3id.org/oc/meta/br/061603744946,year_volume_page
ref_30,The tremor network targeted by successful VIM deep brain stimulation in humans.,The Tremor Network Targeted By Successful VIM Deep Brain Stimulation In Humans,48,10.1212/wnl.0b013e318249f702,https://w3id.org/oc/meta/br/06902147576,author_title
ref_31,Development of harmaline-induced tremor in a swine model.,Development Of Harmaline-induced Tremor In A Swine Model.,37,10.7916/d8j68tv7,https://w3id.org/oc/meta/br/062303857351,author_title
ref_32,Decreased EAAT2 protein expression in the essential tremor cerebellar cortex.,Decreased EAAT2 Protein Expression In The Essential Tremor Cerebellar Cortex,40,10.1186/s40478-014-0157-z,https://w3id.org/oc/meta/br/06230230324,author_title
ref_33,Role of altered cerebello-thalamo-cortical network in the neurobiology of essential tremor.,Role Of Altered Cerebello-Thalamo-Cortical Network In The Neurobiology Of Essential Tremor,48,10.1007/s00234-016-1771-1,https://w3id.org/oc/meta/br/062202114366,author_title
ref_34,Dynamics of human subthalamic neuron phase-locking to motor and sensory cortical oscillations during movement.,Dynamics Of Human Subthalamic Neuron Phase-Locking To Motor And Sensory Cortical Oscillations During Movement,48,10.1152/jn.00964.2016,https://w3id.org/oc/meta/br/061601378130,author_title
ref_36,Neuropathological changes in essential tremor: 33 cases compared with 21 controls.,Neuropathological Changes In Essential Tremor: 33 Cases Compared With 21 Controls,48,10.1093/brain/awm266,https://w3id.org/oc/meta/br/061901868653,author_title
