reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,1960,,,C.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.1186/1478-4491-11-1,,N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1177/1049732316654870,,N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.1080/14780887.2014.955224,,N/A,N/A,N/A,N/A,No,No
ref_5,2014,,,E.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,10.1177/1468794105056924,,N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1080/0376835X.2012.730972,,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1093/acprof:oso/9780199280643.001.0001,,N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,10.1016/j.jvb.2011.01.003,,N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,10.1108/LHS-02-2017-0008,,N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,10.1111/j.1365-2834.2010.01074.x,,N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,10.1111/j.1748-8583.2002.tb00062.x,,N/A,N/A,N/A,N/A,No,No
ref_13,,,,,,,,10.1111/j.1467-9655.2012.01779.x,,N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.12968/ijpn.2010.16.12.599,,N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,10.4135/9781473983304,,N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,10.1111/j.1365-2834.2010.01206.x,,N/A,N/A,N/A,N/A,No,No
ref_17,2019,,,D.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,10.1016/j.iccn.2015.07.006,,N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,10.1016/j.ijnurstu.2013.10.003,,N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,10.1164/rccm.200606-735OC,,N/A,N/A,N/A,N/A,No,No
ref_21,,,,,,,,10.1108/01425451211191841,,N/A,N/A,N/A,N/A,No,No
ref_22,,,,,,,,10.1108/17511870910928010,,N/A,N/A,N/A,N/A,No,No
ref_23,2010,,,L.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_24,,,,,,,,10.1007/BF01384942,,N/A,N/A,N/A,N/A,No,No
ref_25,2000,,,M.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_26,1965,,,H.,,,,,,N/A,N/A,N/A,N/A,No,No
ref_27,,,,,,,,10.1016/j.apnr.2015.02.008,,N/A,N/A,N/A,N/A,No,No
ref_28,2013,,,Council,,,,,,N/A,N/A,N/A,N/A,No,No
ref_29,2014,,,Council,,,,,,N/A,N/A,N/A,N/A,No,No
ref_30,2008,20,295,M.,Characteristics of the supervisor‐subordinate relationship as predictors of psychological contract breach,,,,,15,15,N/A,N/A,No,Yes
ref_31,,,,,,,,10.1007/s00134-011-2300-7,,N/A,N/A,N/A,N/A,No,No
ref_32,,,,,,,,10.1111/j.1365-2834.2012.01467.x,,N/A,N/A,N/A,N/A,No,No
