reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,Chemical biology of natural indolocarbazole products: 30 years since the discovery of staurosporine,Chemical Biology Of Natural Indolocarbazole Products: 30 Years Since The Discovery Of Staurosporine,48,10.1038/ja.2008.4,https://w3id.org/oc/meta/br/06180868159,author_title
ref_3,Chemistry and properties of Indolocarbazoles,Chemistry And Properties Of Indolocarbazoles,41,10.1021/acs.chemrev.8b00186,https://w3id.org/oc/meta/br/06260136874,year_volume_page
ref_4,"A new alkaloid AM-2282 of Streptomyces origin. Taxonomy, fermentation, isolation and preliminary characterization","A New Alkaloid AM-2282 Of Streptomyces Origin Taxonomy, Fermentation, Isolation And Preliminary Characterization.",48,10.7164/antibiotics.30.275,https://w3id.org/oc/meta/br/06150873984,author_title
ref_5,"Staurosporine, a potent inhibitor of phospholipid/Ca++dependent protein kinase","Staurosporine, A Potent Inhibitor Of phospholipidCa++dependent Protein Kinase",48,10.1016/0006-291x(86)90008-2,https://w3id.org/oc/meta/br/061602708195,author_title
ref_6,Protein kinase inhibition by staurosporine revealed in details of the molecular interaction with CDK2,Protein Kinase Inhibition By Staurosporine Revealed In Details Of The Molecular Interaction With CDK2,48,10.1038/nsb1097-796,https://w3id.org/oc/meta/br/0670546291,author_title
ref_7,"K-252 compounds, novel and potent inhibitors of protein kinase C and cyclic nucleotide-dependent protein kinases","K-252 Compounds, Novel And Potent Inhibitors Of Protein Kinase C And Cyclic Nucleotide-Dependent Protein Kinases",45,10.1016/0006-291x(87)90293-2,https://w3id.org/oc/meta/br/061602707517,author_title
ref_9,Induction of Mammalian DNA Topoisomerase I Mediated DNA Cleavage by Antitumor Indolocarbazole Derivatives,Induction Of Mammalian DNA Topoisomerase I Mediated DNA Cleavage By Antitumor Indolocarbazole Derivatives,48,10.1021/bi00163a015,https://w3id.org/oc/meta/br/06110534424,author_title
ref_11,Staurosporine-induced programmed cell death in Blastocystis occurs independently of caspases and cathepsins and is augmented by calpain inhibition,Staurosporine-induced Programmed Cell Death In Blastocystis Occurs Independently Of Caspases And Cathepsins And Is Augmented By Calpain Inhibition,48,10.1099/mic.0.034025-0,https://w3id.org/oc/meta/br/06240574250,author_title
ref_12,Apoptotic-like activity of staurosporine in axenic cultures of Trypanosoma evansi,Apoptotic-like Activity Of Staurosporine In Axenic Cultures Of Trypanosoma Evansi,48,10.1590/s0036-46652012000200008,https://w3id.org/oc/meta/br/061403047327,author_title
ref_13,Protein kinases as drug targets in trypanosomes and Leishmania,Protein Kinases As Drug Targets In Trypanosomes And Leishmania,48,10.1016/j.bbapap.2005.08.018,https://w3id.org/oc/meta/br/062501430812,author_title
ref_14,Staurosporine-Induced Cell Death in Trypanosoma brucei and the Role of Endonuclease G during Apoptosis,Staurosporine-Induced Cell Death In <em>Trypanosoma Brucei</Em> And The Role Of Endonuclease G During Apoptosis,44,10.4236/ojapo.2014.32003,https://w3id.org/oc/meta/br/06301100388,author_title
ref_15,"A new inhibitor of protein kinase c, rk- 1409 (7-oxostaurosporine) I. Taxonomy and biological activity","A New Inhibitor Of Protein Kinase C, RK-1409 (7-Oxostaurosporine). I. Taxonomy And Biological Activity.",48,10.7164/antibiotics.45.189,https://w3id.org/oc/meta/br/06170877007,author_title
ref_16,Further minor metabolites of Staurosporine produced by a Streptomyces longisporoflavus strain,Further Minor Metabolites Of Staurosporine Produced By A Streptomyces Longisporofiavus Strain.,47,10.7164/antibiotics.49.519,https://w3id.org/oc/meta/br/06120861504,author_title
ref_19,In vitro evaluation of antimicrobial agents on Acanthamoeba sp. and evidence of a natural resilience to amphotericin B,In Vitro Evaluation Of Antimicrobial Agents On Acanthamoeba Sp. And Evidence Of A Natural Resilience To Amphotericin B,48,10.1016/j.ijpddr.2017.09.002,https://w3id.org/oc/meta/br/062302010409,author_title
ref_21,N/A,Evaluation Of Oxasqualenoids From The Red Alga Laurencia Viridis Against Acanthamoeba,40,10.3390/md17070420,https://w3id.org/oc/meta/br/062501488685,author_title
ref_22,Evolution of apoptosis-like programmed cell death in unicellular protozoan parasites,Evolution Of Apoptosis-Like Programmed Cell Death In Unicellular Protozoan Parasites,40,10.1186/1756-3305-4-44,https://w3id.org/oc/meta/br/062202636870,author_title
ref_23,Protein kinase inhibition of clinically important staurosporine analogues,Protein Kinase Inhibition Of Clinically Important Staurosporine Analogues,48,10.1039/b923848b,https://w3id.org/oc/meta/br/0610336186,author_title
ref_24,N/A,On The Origins Of Enzyme Inhibitor Selectivity And Promiscuity: A Case Study Of Protein Kinase Binding To Staurosporine,37,10.1111/j.1747-0285.2009.00832.x,https://w3id.org/oc/meta/br/061301853230,author_title
ref_25,"Discovery of antitumor indolocarbazoles: Rebeccamycin, NSC 655649, and fluoroindolocarbazoles","Discovery Of Antitumor Indolocarbazoles: Rebeccamycin, NSC 655649, And Fluoroindolocarbazoles",48,10.2174/1568011023354218,https://w3id.org/oc/meta/br/061901211001,author_title
ref_26,Structure-activity relationships in a series of substituted indolocarbazoles: Topoisomerase I and protein kinase C inhibition and antitumoral and antimicrobial properties,Structure−Activity Relationships In A Series Of Substituted Indolocarbazoles: Topoisomerase I And Protein Kinase C Inhibition And Antitumoral And Antimicrobial Properties,41,10.1021/jm9603779,https://w3id.org/oc/meta/br/06150241731,year_volume_page
ref_28,An overview of recent advances in duplex DNA recognition by small molecules,An Overview Of Recent Advances In Duplex DNA Recognition By Small Molecules,45,10.3762/bjoc.14.93,https://w3id.org/oc/meta/br/06601398689,author_title
