reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,2013,,,Association,,,,10.1176/appi.books.9780890425596,"American Psychiatric Association. (2013). Diagnostic and statistical manual of mental disorders (DSM-5®). Washington, DC: American Psychiatric Association.",N/A,N/A,N/A,N/A,No,No
ref_10,2016,10,346,Billeci,,,,10.3389/fnins.2016.00346,"Billeci, L., Calderoni, S., Conti, E., Gesi, C., Carmassi, C., Dell’Osso, L., et al. (2016). The Broad Autism (Endo)Phenotype: Neurostructural and neurofunctional correlates in parents of individuals with autism spectrum disorders. Frontiers in Neuroscience, 10, 346. https://doi.org/10.3389/fnins.2016.00346 .",12,12,N/A,N/A,No,Yes
ref_13,2018,9,17,Floris,,,,10.1186/s13229-018-0192-x,"Floris, D. L., Lai, M. C., Nath, T., Milham, M. P., & Di Martino, A. (2018). Network-specific sex differentiation of intrinsic brain function in males with autism. Mol Autism, 9, 17. https://doi.org/10.1186/s13229-018-0192-x .",12,12,N/A,N/A,No,Yes
ref_15,2011,2011,545901,Gerdts,,,,10.1155/2011/545901,"Gerdts, J., & Bernier, R. (2011). The broader autism phenotype and its implications on the etiology and treatment of autism spectrum disorders. Autism Research and Treatment, 2011, 545901. https://doi.org/10.1155/2011/545901 .",8,8,N/A,N/A,No,Yes
ref_16,2005,2,8,Goldenfeld,,,,,"Goldenfeld, N., Baron-Cohen, S., & Wheelwright, S. (2005). Empathizing and systemizing in males, females, and autism. Clinical Neuropsychiatry: Journal of Treatment Evaluation, 2(6), 8.",21,21,N/A,N/A,No,Yes
ref_25,,,,,,,,10.1016/j.neuroimage.2012.03.018,"Lai, M. C., Lombardo, M. V., Chakrabarti, B., Ecker, C., Sadek, S. A., Wheelwright, S. J., … Consortium, M. A. (2012). Individual differences in brain structure underpin empathizing-systemizing cognitive styles in male adults. Neuroimage, 61(4), 1347–1354. https://doi.org/10.1016/j.neuroimage.2012.03.018 .",11,11,N/A,N/A,No,Yes
ref_26,2012,,,Lord,,,,,"Lord, C., Rutter, M., DiLavore, P. C., Risi, S., & Gotham, K. (2012). Autism diagnostic observation schedule (2nd ed., Vol. Volume ADOS-2). Torrence, CA: Western Psychological Services.",21,21,N/A,N/A,No,Yes
ref_29,2014,4,e360,Rossignol,,,,10.1038/tp.2014.4,"Rossignol, D. A., Genuis, S. J., & Frye, R. E. (2014). Environmental toxicants and autism spectrum disorders: A systematic review. Translational Psychiatry, 4, e360. https://doi.org/10.1038/tp.2014.4 .",N/A,N/A,N/A,N/A,No,No
ref_31,,,,,,,,10.1007/s10803-017-3248-4,"Rubenstein, E., Edmondson Pretzel, R., Windham, G. C., Schieve, L. A., Wiggins, L. D., DiGuiseppi, C.,… Daniels, J. (2017). The broader autism phenotype in mothers is associated with increased discordance between maternal-reported and clinician-observed instruments that measure child autism spectrum disorder. Journal of Autism and Developmental Disorders, 47(10), 3253–3266. https://doi.org/10.1007/s10803-017-3248-4 .",10,10,N/A,N/A,No,Yes
ref_34,1991,,,Wechsler,,,,,"Wechsler, D. (1991). WISC-III: Wechsler intelligence scale for children: Manual. San Antonio, TX: The Psychological Corporation.",N/A,N/A,N/A,N/A,No,No
ref_35,2002,,,Wechsler,,,,,"Wechsler, D. (2002). The Wechsler preschool and primary scale of intelligence (3rd ed.). San Antonio, TX: The Psychological Corporation Canadian Journal of School Psychology.",21,21,N/A,N/A,No,Yes
