reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,,"Badiene, A. (2013). Croissance Sans urbanisation durable, pas de développement durable [Growth without sustainable urbanization, no sustainable development]. Jeune Afrique, 4(1), 41-47.",N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,,"Demissie, F. (2012). Colonial architecture and urbanism in Africa: Intertwined and contested histories. Burlington: Ashgate.",21,21,N/A,N/A,No,Yes
ref_4,,,,,,,,,"Folkers, A. (2010). The contemporary African city. In A. Folkers (Ed.), Modern architecture in Africa (pp. 140–141). Amsterdam: SUN Architecture.",N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,,"Göckede, R. (2012). The architect as a colonial technocrat of dependent modernisation: Ernst May’s plans for Kampala. In K. Pinther, L. Förster , & C. Hanussek (Eds.), Afropolis. City, media, art (pp. 54-65). Auckland Park: Jacana Media.",N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,,"Gropius, W. (1929). Die Wohnformen: Flach-, Mittel-, oder Hochbau? [Housing types: Low, medium or high building]. Das Neue Berlin, 4, 74-80.",N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,,"Gutschow, K. K. (2009). Das Neue Afrika: Ernst May’s 1947 Kampala plan as cultural program. London: Ashgate.",N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.1093/gerhis/ghu070,"Henderson, S. R. (2013). Building culture: Ernst May and the Frankfurt initiative, 1926–1931. New York, NY: Peter Lang.",N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,,"Herrel, E. (2001). Ernst May. Architekt und Stadtplanner in Afrika 1934–1953 [Ernst May. Architect and urban planner in Africa 1934–1953]. Frankfurt am Main: Deutsches Architektur Museum.",N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,,"Kultermann, U. (1969). New directions in African architecture. London: Studio Vista Limited.",N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,,"Manirakiza, V. (2011). Processus d’urbanisation de la ville de Kigali, Rwanda: Relation entre la dynamique spatiale et démographique [Urbanization process of the city of Kigali, Rwanda: Relationship between spatial and demographic dynamics]. Paper presented at the Conference Urbanisation, Migrations Internes et Comportements Démographiques, Louvain-la-Neuve.",N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,,"May, E. (1922). Stadterweiterung mittels Trabanten [Satellites urban development]. Schlesishes Heim, 11, 271.",N/A,N/A,N/A,N/A,No,No
ref_13,,,,,,,,,"May, E. (1923). Stadterweiterungsplan für den Westteil von Leobschütz [Urban development plan for the western part of Leobschütz]. Schlesishes Heim, 1, 194.",10,10,N/A,N/A,No,Yes
ref_14,,,,,,,,,"May, E. (1928). Der Wohnungsbau der Stadt Frankfurt am Main 1925–1928 [The housing construction of Frankfurt am Main 1925–1928]. Das Neue Frankfurt. Monatschrift für die Fragen der Groβstadt-gestaltung, 1928(7/8).",N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,,"May, E. (1929). Die Wohnung für das Existenzminimum [The apartment for the subsistence minimum]. In Das neue Frankfurt, 11, 209-211.",N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,,"May, E. (1930). Fünf Jahre Wohnungsbautätigkeit in Frankfurt am Main [Five years of housing construction in Frankfurt am Main]. Das Neue Frankfurt. Monatschrift für die Fragen der Groβstadt-gestaltung, 1930(2/3), 31.",N/A,N/A,N/A,N/A,No,No
ref_17,,,,,,,,,"May, E. (1947). Report on the Kampala extension scheme, Kololo-Naguru (Government Report). Nairobi.",N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,,"Michieletto, M. (2013). Le Caire, Lagos Kinshasa. Cosmographie de continents urbaines [Cairo, Lagos Kinshasa. Cosmography of urban continents]. Paper presented at the Conférence Internationale, Nouveau Cosmographie Africaine 2050, Venice, Italy.",N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,,"Michieletto, M. (2011a). Compose the Siedlung: The Niddatal project by Ernst May, Frankfurt 1925–1930 (Unpublished Doctoral dissertation). IUAV University, Venice, Italy.",N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,,"Michieletto, M. (2011b). Von Sparsamen Bauen [On affordable housing]. In S. Malcovati & A. Moro (Eds.), Peter Behrens. Maestro di maestri [Peter Behrens. Master of masters] (pp. 65–68). Milano: Libraccio.",N/A,N/A,N/A,N/A,No,No
ref_21,,,,,,,,,"Michieletto, M. (2011c). Siedlung Praunheim Komponieren [Composing the Praunheim Siedlung]. In H. Preβler & S. Böhner (Eds.), May-Siedlung Praunheim 1927–2011 (pp. 26–29). Frankfurt am Main: Verlagshaus Zarbock.",N/A,N/A,N/A,N/A,No,No
ref_22,,,,,,,,,"Mumford, E. (2002). The CIAM discourse on urbanism, 1928–1960. Cambridge, MA: MIT Press.",N/A,N/A,N/A,N/A,No,No
