reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,2013,,1477,J,,,,,,N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.1016/j.cvsm.2007.12.002,,N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1016/j.jtos.2017.08.003,,N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.2460/ajvr.70.3.394,,N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,10.1046/j.1463-5224.1999.00082.x,,N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,10.1111/j.1463-5224.2005.00362.x,,N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,10.1111/j.1463-5224.2005.00403.x,,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,10.2460/javma.246.4.426,,N/A,N/A,N/A,N/A,No,No
ref_9,2018,4,,L,,,,,,11,11,N/A,N/A,No,Yes
ref_10,,,,,,,,10.1111/j.1463-5224.2005.00390.x,,N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,10.4061/2011/487592,,N/A,N/A,N/A,N/A,No,No
ref_12,2003,116,427,F,,,,,,11,11,N/A,N/A,No,Yes
ref_13,,,,,,,,10.1177/1098612X12464628,,N/A,N/A,N/A,N/A,No,No
ref_14,,,,,,,,10.1016/j.exer.2003.09.003,,N/A,N/A,N/A,N/A,No,No
ref_15,,,,,,,,10.1097/ICO.0b013e31820687dd,,N/A,N/A,N/A,N/A,No,No
ref_16,,,,,,,,10.1111/vop.12436,,N/A,N/A,N/A,N/A,No,No
ref_17,,,,,,,,10.1111/j.1463-5224.2011.00916.x,,N/A,N/A,N/A,N/A,No,No
ref_18,,,,,,,,10.1111/j.1463-5224.2010.00778.x,,N/A,N/A,N/A,N/A,No,No
ref_19,,,,,,,,10.1111/j.1463-5224.2011.00968.x,,N/A,N/A,N/A,N/A,No,No
ref_20,,,,,,,,10.1016/S1542-0124(12)70146-5,,N/A,N/A,N/A,N/A,No,No
ref_21,,,,,,,,10.1016/j.ophtha.2013.02.037,,N/A,N/A,N/A,N/A,No,No
