reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,Estonian Papers in Applied Linguistics,"Acquisition Of Compounds In Estonian And Russian: Frequency, Productivity, Transparency And Simplicity Effect",70,10.5128/erya9.02,https://w3id.org/oc/meta/br/061801825092,author_title
ref_3,Morphological productivity,Morphological Productivity,70,10.1017/cbo9780511486210,https://w3id.org/oc/meta/br/061503077221,year_and_doi
ref_4,The Oxford reference guide to English morphology,The Oxford Reference Guide To English Morphology,70,10.1093/acprof:oso/9780198747062.001.0001,https://w3id.org/oc/meta/br/062302592582,year_and_doi
ref_5,Language childhood and adolescence,Between Emergence And Mastery,70,10.1075/tilar.3.05ber,https://w3id.org/oc/meta/br/06603315231,year_and_doi
ref_7,Construction morphology,Construction Morphology,70,10.1111/j.1749-818x.2010.00213.x,https://w3id.org/oc/meta/br/06230158217,author_title
ref_8,"Structuring sense, Vol. III: Taking form",Structuring Sense: Volume III: Taking Form,65,10.1093/acprof:oso/9780199263936.001.0001,https://w3id.org/oc/meta/br/061303060747,year_and_doi
ref_9,Morphology,Morphology-dependent Hashin–Shtrikman Bounds On The Effective Properties Of Stress-Gradient Materials,50,10.1016/j.euromechsol.2020.104072,https://w3id.org/oc/meta/br/06501339493,author_title
ref_10,The Oxford handbook of construction grammar,Usage-based Theory And Exemplar Representations Of Constructions,70,10.1093/oxfordhb/9780195396683.013.0004,https://w3id.org/oc/meta/br/06403087783,author_title
ref_11,Handbook of morphology,Morphology In Language Acquisition,50,10.1002/9781405166348.ch19,https://w3id.org/oc/meta/br/06602109276,author_title
ref_12,Cognition,Relationship Between Patients' Early Recognition Of Melanoma And Depth Of Invasion,70,10.1002/1097-0142(19820101)49:1<198::aid-cncr2820490138>3.0.co;2-9,https://w3id.org/oc/meta/br/06170800768,author_title
ref_13,Linguistics,Relationships In Linguistics & Biology,50,10.2307/4450045,https://w3id.org/oc/meta/br/061401516711,author_title
ref_14,Nominal compound acquisition,Chapter 6. The Early Production Of Compounds In Lithuanian,70,10.1075/lald.61.07dab,https://w3id.org/oc/meta/br/06802872309,year_and_doi
ref_15,Folia Phoniatrica et Logopaedica,Morphological Representationin Specific Language Impairment:Evidence From Greek Word Formation,65,10.1159/000021479,https://w3id.org/oc/meta/br/06603488536,year_and_doi
ref_18,Handbook of word-formation,Word-Formation In Natural Morphology,70,10.1007/1-4020-3596-9_11,https://w3id.org/oc/meta/br/06403560744,year_and_doi
ref_19,The mental lexicon: Core perspectives,8: Productivity In Word Formation,70,10.1163/9780080548692_009,https://w3id.org/oc/meta/br/062502931029,year_and_doi
ref_20,Papers and Studies in Contemporary Linguistics,The Rise Of Complexity In Inflectional Morphology,70,10.2478/psicl-2011-0013,https://w3id.org/oc/meta/br/062601573820,author_title
