reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,,Using A Digital X-ray Imaging Device To Measure The Swelling Coefficients Of A Group Of Wood Cells,70,10.1016/s0963-8695(00)00072-4,https://w3id.org/oc/meta/br/061601015488,year_and_doi
ref_3,,The Shrinkage Of Oak Predicted From Its Anatomical Pattern: Validation Of A Cognitive Model,65,10.1007/s00468-006-0105-z,https://w3id.org/oc/meta/br/062401672040,year_and_doi
ref_4,,Wood Anatomy And Trait-Based Ecology,70,10.1163/22941932-20160127,https://w3id.org/oc/meta/br/06150138998,year_and_doi
ref_5,,Ncorr: Open-Source 2D Digital Image Correlation Matlab Software,50,10.1007/s11340-015-0009-1,https://w3id.org/oc/meta/br/062301182601,author_title
ref_7,,New Insights On Wood Dimensional Stability Influenced By Secondary Metabolites: The Case Of A Fast-Growing Tropical Species Bagassa Guianensis Aubl.,70,10.1371/journal.pone.0150777,https://w3id.org/oc/meta/br/061801515627,year_and_doi
ref_8,,A Dendrite Method For Cluster Analysis,70,10.1080/03610927408827101,https://w3id.org/oc/meta/br/062301295332,year_and_doi
ref_9,,Wood Density Profiles And Their Corresponding Tissue Fractions In Tropical Angiosperm Trees,70,10.3390/f9120763,https://w3id.org/oc/meta/br/061702882271,year_and_doi
ref_10,,Hydraulic Conductivity Traits Predict Growth Rates And Adult Stature Of 40 Asian Tropical Tree Species Better Than Wood Density,70,10.1111/j.1365-2745.2011.01939.x,https://w3id.org/oc/meta/br/0660337145,year_and_doi
ref_12,,Wood Specific Gravity And Anatomy Of Branches And Roots In 113 A Mazonian Rainforest Tree Species Across Environmental Gradients,65,10.1111/nph.12632,https://w3id.org/oc/meta/br/06602511059,year_and_doi
ref_14,,Localised Deformation Patterning In 2D Granular Materials Revealed By Digital Image Correlation,65,10.1007/s10035-009-0155-1,https://w3id.org/oc/meta/br/06101687938,year_and_doi
