reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Mol Biol Cell,C4orf41 And TTC-15 Are Mammalian TRAPP Components With A Role At An Early Stage In ER-to-Golgi Trafficking,70,10.1091/mbc.e10-11-0873,https://w3id.org/oc/meta/br/0617096969,year_and_doi
ref_2,EMBO J,A Genome-Wide RNA Interference Screen Identifies Two Novel Components Of The Metazoan Secretory Pathway,65,10.1038/emboj.2009.350,https://w3id.org/oc/meta/br/061401849418,year_and_doi
ref_3,Nature,BAG3 Proteomic Signature Under Proteostasis Stress,50,10.3390/cells9112416,https://w3id.org/oc/meta/br/06102202234,author_title
ref_4,EMBO J,TBC1D14 Regulates Autophagy Via theTRAPPcomplex andATG9 Traffic,60,10.15252/embj.201592695,https://w3id.org/oc/meta/br/061201861198,year_and_doi
ref_5,J Cell Sci,TRAPPC13 Modulates Autophagy And The Response To Golgi Stress,70,10.1242/jcs.199521,https://w3id.org/oc/meta/br/061201644000,year_and_doi
ref_6,Traffic,TRAPPC11 Functions In Autophagy By Recruiting ATG2B‐WIPI4/WDR45 To Preautophagosomal Membranes,65,10.1111/tra.12640,https://w3id.org/oc/meta/br/062201409688,year_and_doi
ref_7,Mol Biol Cell,The TRAPP Complex Is A Nucleotide Exchanger For Ypt1 And Ypt31/32,70,10.1091/mbc.11.12.4403,https://w3id.org/oc/meta/br/0616099507,year_and_doi
ref_8,J Cell Biol,The TRAPPIII Complex Activates The GTPase Ypt1 (Rab1) In The Secretory Pathway,65,10.1083/jcb.201705214,https://w3id.org/oc/meta/br/06201653856,year_and_doi
ref_9,Case Rep Genet,Novel TRAPPC11 Mutations In A Chinese Pedigree Of Limb Girdle Muscular Dystrophy,70,10.1155/2018/8090797,https://w3id.org/oc/meta/br/06101526597,year_and_doi
ref_10,J Cell Biol,The Two TRAPP Complexes Of Metazoans Have Distinct Roles And Act On Different Rab GTPases,65,10.1083/jcb.201705068,https://w3id.org/oc/meta/br/06201653799,year_and_doi
ref_11,Mol Biol Cell,Trappc11Is Required For Protein Glycosylation In Zebrafish And Humans,65,10.1091/mbc.e15-08-0557,https://w3id.org/oc/meta/br/0613095596,year_and_doi
ref_12,J Cell Biol,"TRAMM/TrappC12 Plays A Role In Chromosome Congression, Kinetochore Stability, And CENP-E Recruitment",70,10.1083/jcb.201501090,https://w3id.org/oc/meta/br/06301655301,year_and_doi
ref_13,Sci Rep,Mammalian TRAPPIII Complex Positively Modulates The Recruitment Of Sec13/31 Onto COPII Vesicles,65,10.1038/srep43207,https://w3id.org/oc/meta/br/061102629727,year_and_doi
ref_14,Traffic,Membrane Traffic Fuses With Cartilage Development,50,10.1016/s0014-5793(03)00854-8,https://w3id.org/oc/meta/br/06301365981,author_title
ref_15,Am J Hum Genet,Recessive TRAPPC11 Mutations Cause A Disease Spectrum Of Limb Girdle Muscular Dystrophy And Myopathy With Movement Disorder And Intellectual Disability,70,10.1016/j.ajhg.2013.05.028,https://w3id.org/oc/meta/br/06170927435,year_and_doi
ref_16,J Clin Neuromuscul Dis,Siblings With Mutations In TRAPPC11 Presenting With Limb-Girdle Muscular Dystrophy 2S,70,10.1097/cnd.0000000000000173,https://w3id.org/oc/meta/br/062201498250,year_and_doi
ref_17,J Med Genet,"A novelTRAPPC11mutation In Two Turkish Families Associated With Cerebral Atrophy, Global Retardation, Scoliosis, Achalasia And Alacrima",60,10.1136/jmedgenet-2016-104108,https://w3id.org/oc/meta/br/06220237991,year_and_doi
ref_18,Skelet Muscle,TRAPPC11 And GOSR2 Mutations Associate With Hypoglycosylation Of Α-Dystroglycan And Muscular Dystrophy,70,10.1186/s13395-018-0163-0,https://w3id.org/oc/meta/br/062601099057,year_and_doi
ref_19,Skelet Muscle,Congenital Muscular Dystrophy With Fatty Liver And Infantile-Onset Cataract Caused By TRAPPC11 Mutations: Broadening Of The Phenotype,70,10.1186/s13395-015-0056-4,https://w3id.org/oc/meta/br/062601099164,year_and_doi
ref_20,Hum Mutat,Mutations inTRAPPC11are Associated With A Congenital Disorder Of Glycosylation,60,10.1002/humu.23145,https://w3id.org/oc/meta/br/062096746,year_and_doi
ref_21,Traffic,Validation Of The Peritraumatic Dissociative Experiences Questionnaire And Peritraumatic Distress Inventory In School-Aged Victims Of Road Traffic Accidents,50,10.1016/j.eurpsy.2010.09.007,https://w3id.org/oc/meta/br/06602787359,author_title
ref_22,PLoS One,The Adaptor Function Of TRAPPC2 In Mammalian TRAPPs Explains TRAPPC2-Associated SEDT And TRAPPC9-Associated Congenital Intellectual Disability,70,10.1371/journal.pone.0023350,https://w3id.org/oc/meta/br/06201531778,year_and_doi
ref_23,J Med Genet,Bi-allelic Mutations In TRAPPC2L Result In A Neurodevelopmental Disorder And Have An Impact On RAB11 In Fibroblasts,70,10.1136/jmedgenet-2018-105441,https://w3id.org/oc/meta/br/06220237793,year_and_doi
ref_24,Nucleic Acids Res,CADD: Predicting The Deleteriousness Of Variants Throughout The Human Genome,65,10.17169/refubium-2352,https://w3id.org/oc/meta/br/06601352257,year_and_doi
ref_25,Nat Methods,Synchronization Of Secretory Protein Traffic In Populations Of Cells,70,10.1038/nmeth.1928,https://w3id.org/oc/meta/br/06502146568,year_and_doi
ref_26,Cell,Visualization Of ER-to-Golgi Transport In Living Cells Reveals A Sequential Mode Of Action For COPII And COPI.,70,10.1016/s0092-8674(00)80379-7,https://w3id.org/oc/meta/br/061303693813,year_and_doi
