reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,Diagnostic and statistical manual of mental disorders (DSM-5®),Diagnostic And Statistical Manual Of Mental Disorders,70,10.1176/appi.books.9780890425596,https://w3id.org/oc/meta/br/06903050381,year_and_doi
ref_2,Trends in Cognitive Sciences,The Extreme Male Brain Theory Of Autism,70,10.1016/s1364-6613(02)01904-6,https://w3id.org/oc/meta/br/061603796514,year_and_doi
ref_3,Progress in Neuro-Psychopharmacology and Biological Psychiatry,"The Hyper-Systemizing, Assortative Mating Theory Of Autism",70,10.1016/j.pnpbp.2006.01.010,https://w3id.org/oc/meta/br/06190205871,year_and_doi
ref_4,Annals of the New York Academy of Sciences,Autism: The Empathizing-Systemizing (E-S) Theory,70,10.1111/j.1749-6632.2009.04467.x,https://w3id.org/oc/meta/br/06503103515,year_and_doi
ref_5,Progress in Brain Research,"Empathizing, Systemizing, And The Extreme Male Brain Theory Of Autism",70,10.1016/b978-0-444-53630-3.00011-7,https://w3id.org/oc/meta/br/062603185108,year_and_doi
ref_6,Molecular Psychiatry,Elevated Fetal Steroidogenic Activity In Autism,65,10.1038/mp.2014.48,https://w3id.org/oc/meta/br/06120824181,year_and_doi
ref_7,"Philosophical Transactions of the Royal Society of London. Series B, Biological sciences","The Systemizing Quotient: An Investigation Of Adults With Asperger Syndrome Or High–Functioning Autism, And Normal Sex Differences",70,10.1098/rstb.2002.1206,https://w3id.org/oc/meta/br/061303011109,year_and_doi
ref_8,Journal of Autism and Developmental Disorders,"The Empathy Quotient: An Investigation Of Adults With Asperger Syndrome Or High Functioning Autism, And Normal Sex Differences.",70,10.1023/b:jadd.0000022607.19833.00,https://w3id.org/oc/meta/br/06150588682,year_and_doi
ref_9,Journal of Autism and Developmental Disorders,"The Autism-Spectrum Quotient (AQ): Evidence From Asperger Syndrome/High-Functioning Autism, Males And Females, Scientists And Mathematicians.",70,10.1023/a:1005653411471,https://w3id.org/oc/meta/br/06150589120,year_and_doi
ref_10,Frontiers in Neuroscience,The Broad Autism (Endo)Phenotype: Neurostructural And Neurofunctional Correlates In Parents Of Individuals With Autism Spectrum Disorders,70,10.3389/fnins.2016.00346,https://w3id.org/oc/meta/br/06601718511,year_and_doi
ref_11,Dialogues in Clinical Neuroscience,"Autism Risk Factors: Genes, Environment, And Gene-Environment Interactions",70,10.31887/dcns.2012.14.3/pchaste,https://w3id.org/oc/meta/br/061601512079,year_and_doi
ref_12,Psychological Medicine,The Endophenotype Concept In Psychiatric Genetics,65,10.1017/s0033291706008750,https://w3id.org/oc/meta/br/06501325505,year_and_doi
ref_13,Mol Autism,Network-specific Sex Differentiation Of Intrinsic Brain Function In Males With Autism,45,10.1186/s13229-018-0192-x,https://w3id.org/oc/meta/br/06220710439,year_and_doi
ref_14,Molecular Psychiatry,The Genetics Of Autistic Disorders And Its Clinical Relevance: A Review Of The Literature,65,10.1038/sj.mp.4001896,https://w3id.org/oc/meta/br/06130828167,year_and_doi
ref_15,Autism Research and Treatment,The Broader Autism Phenotype And Its Implications On The Etiology And Treatment Of Autism Spectrum Disorders,50,10.1155/2011/545901,https://w3id.org/oc/meta/br/061401129980,year_and_doi
ref_17,American Journal of Psychiatry,The Endophenotype Concept In Psychiatry: Etymology And Strategic Intentions,70,10.1176/appi.ajp.160.4.636,https://w3id.org/oc/meta/br/06702557202,year_and_doi
ref_18,Proceedings of the National Academy of Sciences of the United States of America,Testing The Empathizing–Systemizing Theory Of Sex Differences And The Extreme Male Brain Theory Of Autism In Half A Million People,70,10.1073/pnas.1811032115,https://w3id.org/oc/meta/br/06403476969,year_and_doi
ref_19,Journal of Abnormal Psychology,"Empathizing, Systemizing, And Autistic Traits: Latent Structure In Individuals With Autism, Their Parents, And General Population Controls.",70,10.1037/a0031919,https://w3id.org/oc/meta/br/062201468907,year_and_doi
ref_20,Psychiatry and Clinical Neurosciences,Broader Autism Phenotype In Mothers Predicts Social Responsiveness In Young Children With Autism Spectrum Disorders,65,10.1111/pcn.12210,https://w3id.org/oc/meta/br/06190423024,year_and_doi
ref_21,Journal of Autism and Developmental Disorders,The Broad Autism Phenotype Questionnaire,65,10.1007/s10803-006-0299-3,https://w3id.org/oc/meta/br/06140579488,year_and_doi
