reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,N/A,Advances In The Identification Of Adulterated Vegetable Oils,31,10.1016/b978-0-08-100220-9.00019-9,https://w3id.org/oc/meta/br/062302486298,year_author_page
ref_2,N/A,"Organically Vs Conventionally-Grown Dark And White Chia Seeds (<em>Salvia Hispanica</Em> L.): Fatty Acid Composition, Antioxidant Activity And Techno-Functional Properties",26,10.3989/gya.0462181,https://w3id.org/oc/meta/br/06101866863,year_author_volume
ref_4,N/A,Characterization Of Sterolic And Alcoholic Fractions Of Some Algerian Olive Oils According To The Variety And Ripening Stage,27,10.1051/ocl/2017026,https://w3id.org/oc/meta/br/0650449446,year_and_doi
ref_5,N/A,Plukenetia Huayllabambanasp. Nov. (Euphorbiaceae) From The Upper Amazon Of Peru,27,10.1111/j.1756-1051.2009.00460.x,https://w3id.org/oc/meta/br/061602424734,year_and_doi
ref_6,N/A,Characterization Of Glyceridic And Unsaponifiable Compounds Of Sacha Inchi (Plukenetia Huayllabambana L.) Oils,27,10.1021/jf5028697,https://w3id.org/oc/meta/br/06180931836,year_and_doi
ref_7,N/A,Markers Of Quality And Genuineness Of Commercial Extra Virgin Sacha Inchi Oils,26,10.3989/gya.0457161,https://w3id.org/oc/meta/br/06101866980,year_author_volume
ref_8,N/A,"Sacha Inchi (Plukenetia Volubilis): A Seed Source Of Polyunsaturated Fatty Acids, Tocopherols, Phytosterols, Phenolic Compounds And Antioxidant Capacity",27,10.1016/j.foodchem.2013.04.078,https://w3id.org/oc/meta/br/06403470673,year_and_doi
ref_9,N/A,Comparison Of The Physico-Chemical And Phytochemical Characteristics Of The Oil Of Two Plukenetia Species,31,10.1016/j.foodchem.2014.10.120,https://w3id.org/oc/meta/br/06103478350,year_author_page
ref_11,N/A,Chemical Characterization Of Sacha Inchi (Plukenetia Volubilis L.) Oil,27,10.1021/jf203184y,https://w3id.org/oc/meta/br/06230932291,year_and_doi
ref_13,N/A,Supercritical CO2 Extraction Of Omega-3 Rich Oil From Sacha Inchi (Plukenetia Volubilis L.) Seeds,27,10.1016/j.supflu.2009.03.010,https://w3id.org/oc/meta/br/0610368198,year_and_doi
ref_14,N/A,Unsaponifiable Matter In Plant Seed Oils,30,10.1007/978-3-642-35710-7,https://w3id.org/oc/meta/br/0624053616,year_and_doi
