reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_5,N/A,Vocal Expression And Perception Of Emotion,33,10.1111/1467-8721.00013,https://w3id.org/oc/meta/br/06140409009,year_and_doi
ref_6,N/A,Vocal Expression Of Emotion: Acoustic Properties Of Speech Are Associated With Emotional Intensity And Context,33,10.1111/j.1467-9280.1995.tb00596.x,https://w3id.org/oc/meta/br/061802651611,year_and_doi
ref_7,N/A,A Cross-Cultural Investigation Of The Perception Of Emotion In Music: Psychophysical And Cultural Cues,33,10.2307/40285811,https://w3id.org/oc/meta/br/061401002555,year_and_doi
ref_9,N/A,Multidimensional Scaling Of Emotional Responses To Music: The Effect Of Musical Expertise And Of The Duration Of The Excerpts,32,10.1080/02699930500204250,https://w3id.org/oc/meta/br/06603273664,doi_title
ref_11,N/A,The Contribution Of Speech Rate And Pitch Variation To The Perception Of Vocal Emotions In A German And An American Sample,33,10.1080/02699930126095,https://w3id.org/oc/meta/br/06603273784,year_and_doi
ref_12,N/A,Diachronic Changes In Jazz Harmony,30,10.1525/mp.2013.31.1.32,https://w3id.org/oc/meta/br/061401002355,year_and_doi
ref_14,N/A,On The Psychometric Principles Of Affect,33,10.1037/1089-2680.3.1.14,https://w3id.org/oc/meta/br/061201015411,year_and_doi
ref_16,N/A,"Musical Scales And Evaluations Of Happiness And Awkwardness: Effects Of Pitch, Direction, And Scale Mode",33,10.2307/1423686,https://w3id.org/oc/meta/br/061602208031,year_and_doi
ref_17,N/A,Enculturation To Musical Pitch Structure In Young Children: Evidence From Behavioral And Electrophysiological Methods,32,10.1111/desc.12100,https://w3id.org/oc/meta/br/0660956510,year_and_doi
ref_18,N/A,"Interval Distributions, Mode, And Tonal Strength Of Melodies As Predictors Of Perceived Emotion",33,10.1525/mp.2004.22.1.1,https://w3id.org/oc/meta/br/061601012231,year_and_doi
ref_19,N/A,"Perception Of The Major/Minor Distinction: III. Hedonic, Musical, And Affective Discriminations",33,10.3758/bf03330169,https://w3id.org/oc/meta/br/061701366402,year_and_doi
ref_20,A developmental study of the affective value of tempo and mode in music,A Developmental Study Of The Affective Value Of Tempo And Mode In Music.,30,10.1016/s0010-0277(00)00136-0,https://w3id.org/oc/meta/br/06240480967,year_and_doi
ref_21,Acoustic intensity causes perceived changes in arousal levels in music: An experimental investigation,Acoustic Intensity Causes Perceived Changes In Arousal Levels In Music: An Experimental Investigation,41,10.1371/journal.pone.0018591,https://w3id.org/oc/meta/br/06601532643,year_and_doi
ref_22,N/A,The Role Of Peripheral Feedback In Emotional Experience With Music,33,10.1525/mp.2004.22.1.79,https://w3id.org/oc/meta/br/061601012246,year_and_doi
ref_23,N/A,"Are The Emotions Expressed In Music Genre-specific? An Audio-based Evaluation Of Datasets Spanning Classical, Film, Pop And Mixed Genres",33,10.1080/09298215.2011.602195,https://w3id.org/oc/meta/br/0632015883,year_and_doi
ref_24,N/A,"Emotional Expression In Music: Contribution, Linearity, And Additivity Of Primary Musical Cues",30,10.3389/fpsyg.2013.00487,https://w3id.org/oc/meta/br/0690299508,year_and_doi
ref_26,N/A,A Comparison Of The Discrete And Dimensional Models Of Emotion In Music,33,10.1177/0305735610362821,https://w3id.org/oc/meta/br/062502848879,year_and_doi
